"Name","ParticleCount","EmissionTime","MinLife","MaxLife","MinHorizAngle","MaxHorizAngle","MinVertAngle","MaxVertAngle","MinSpeed","MaxSpeed","StartX","StartY","StartZ","TargetedEndZ","Gravity","OrientToMovement","OrientToParentType","BounceFromGround","IsIsoParticle","IsoLayer","ParticleSwf","ParticleExportName","AdditiveBlend","Inertia","Slowdown","StartScale","EndScale","MinRotate","MaxRotate","ParticleFadeOutTime","ScaleTimeline","FadeInTime","FadeOutTime","StartAngleMin","StartAngleMax","ScaleRandomMin","ScaleRandomMax","Alpha","OrientToParent","StartRadiusMin","StartRadiusMax","StartRadius"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","String","boolean","boolean","String","String","String","boolean","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","boolean","int","int","int"
"AirDefence1_hit1",3,300,250,300,0,360,0,90,20,50,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,1,90,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",30,30,0
"AirDefence1_hit2",10,2,800,1500,0,360,0,90,600,1500,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,7,9,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
"AirDefence1_hit3",1,300,600,1200,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,20,100,-10,10,500,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefence2_hit1",4,300,250,300,0,360,0,90,20,50,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,1,125,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",30,30,0
"AirDefence2_hit2",15,2,500,1500,0,360,0,90,600,1500,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,7,9,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
"AirDefence2_hit3",1,500,600,1200,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,20,110,-10,10,300,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefence2_hit4",3,500,450,500,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,20,110,-10,10,400,"TRUE",0,0,0,0,100,100,100,"FALSE",60,60,0
"AirDefence3_hit1",5,400,250,300,0,360,0,90,20,50,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,1,150,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",40,40,0
"AirDefence3_hit2",20,2,500,1500,0,360,0,90,600,1500,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,7,9,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
