"Name","TeamSize","PreparationMinutes","WarMinutes","DisableProduction","AllowArrangedWar"
"String","int","int","int","boolean","boolean"
"Test_1",1,2,5,"TRUE","FALSE"
"Test_2",2,2,5,"TRUE","FALSE"
"Test_3",3,2,5,"TRUE","FALSE"
"Mini_1",5,1380,1440,,"TRUE"
"Small_1",10,1380,1440,,"TRUE"
"Small_2",15,1380,1440,,"TRUE"
"Medium_1",20,1380,1440,,"TRUE"
"Medium_2",25,1380,1440,,"TRUE"
"Large_1",30,1380,1440,,"TRUE"
"Large_2",35,1380,1440,"TRUE","TRUE"
"Epic_1",40,1380,1440,,"TRUE"
"Epic_2",45,1380,1440,"TRUE","TRUE"
"Epic_3",50,1380,1440,,"TRUE"
