"Name","TID","InfoTID","ShortTID","SWF","ExportName","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","AttackRange","AttackSpeed","DPS","CoolDownOverride","AttackEffect","AttackEffect2","HitEffect","Projectile","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","PushBack","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DieDamageSpell","StrengthWeight","ActivationEffect","SpellOnDamage","DamageToTriggerSpell","SpellOnDamageCount","SelfAsAoeCenter","CustomTargetHitBuildingInRange","CopyOwnerUpgradeLevel","AttackCenterOnDeath","HighlightEffectRed","HighlightEffectGreen","HighlightEffectBlue"
"String","String","String","String","String","String","int","int","int","int","String","int","int","int","int","int","String","String","String","String","boolean","boolean","boolean","int","int","int","int","String","int","String","int","String","String","int","int","boolean","boolean","boolean","boolean","int","int","int"
"Townhall12","TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","town_hall_lvl12_t1",0,0,0,0,"Gold",0,1000,500,150,,"th12_teslat1_attack_bolt","th12_teslat1_attack","Tesla Hit",,"TRUE","TRUE","TRUE",2,120,,,,,,700,"th12_teslat1_activate",,,,,,,,,,
,,,,,"town_hall_lvl12_t2",1,12,0,0,,3000000,1000,500,175,,"th12_teslat1_attack_bolt","th12_teslat2_attack","Tesla Hit",,"TRUE","TRUE","TRUE",2,,,,,,,700,"th12_teslat1_activate",,,,,,,,,,
,,,,,"town_hall_lvl12_t3",2,18,0,0,,4200000,1000,500,175,,"th12_teslat3_attack_bolt","th12_teslat3_attack","Tesla Hit",,"TRUE","TRUE","TRUE",3,,,,,,,600,"th12_teslat3_activate",,,,,,,,,,
,,,,,"town_hall_lvl12_t4",4,6,0,,,5600000,1000,500,200,,"th12_teslat4_attack_bolt","th12_teslat3_attack","Tesla Hit",,"TRUE","TRUE","TRUE",3,,,,,,,600,"th12_teslat3_activate",,,,,,,,,,
,,,,,"town_hall_lvl12_t5",5,12,0,,,7000000,1000,500,200,,"th12_teslat5_attack_bolt","th12_teslat5_attack","Tesla Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,550,"th12_teslat5_activate",,,,,,,,,,
"GoblinTh02","TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","goblin_th02",0,0,0,0,"Gold",0,1000,200,150,,"Goblin Townhall Attack",,"Generic Hit","Goblin Townhall Arrow","TRUE","TRUE","TRUE",3,,,,,,,800,"Goblin Townhall Activate",,,,,,,,,,
"Townhall13","TID_WEAPON_TOWN_HALL_13","TID_TOWN_HALL_13_WEAPON_INFO",,"sc/buildings.sc","town_hall_lvl13_t1",0,0,0,0,"Gold",0,1000,128,200,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,120,1000,400,"Super_Bomb",1600,"TH13Freeze",550,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl13_t2",4,12,0,0,,7500000,1000,128,225,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,550,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl13_t3",6,0,0,0,,9000000,1000,128,250,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,550,"TH13_inferno_activate",,,,,,,,,,
