"Barbarian",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","TRUE",,,"barbarian1_run","TRUE","TRUE",,,,,,,,,,,
,"idle","TRUE",1,,"barbarian1_idle1","TRUE","TRUE",,,,,,,,,,,
,,"TRUE",1,,"barbarian1_idle1","TRUE","TRUE",,,,,,,,,,,
,"attack","TRUE",1,11,"barbarian1_attack1","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian1_attack2","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian1_attack1","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian1_attack2","FALSE","TRUE",,,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian1_cheer1","TRUE","TRUE",,,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian1_cheer1","TRUE","TRUE",,,,,,,,,,,
"Barbarian3",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","TRUE",,,"barbarian3_run","TRUE","TRUE",,,,,,,,,,,
,"idle","TRUE",1,,"barbarian3_idle1","TRUE","TRUE",,,,,,,,,,,
,,"TRUE",1,,"barbarian3_idle1","TRUE","TRUE",,,,,,,,,,,
,"attack","TRUE",1,11,"barbarian3_attack1","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian3_attack2","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian3_attack1","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian3_attack2","FALSE","TRUE",,,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian3_cheer1","TRUE","TRUE",,,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian3_cheer1","TRUE","TRUE",,,,,,,,,,,
"Barbarian5",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","TRUE",,,"barbarian5_run","TRUE","TRUE",,,,,,,,,,,
,"idle","TRUE",1,,"barbarian5_idle1","TRUE","TRUE",,,,,,,,,,,
,,"TRUE",1,,"barbarian5_idle1","TRUE","TRUE",,,,,,,,,,,
,"attack","TRUE",1,11,"barbarian5_attack1","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian5_attack2","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian5_attack1","FALSE","TRUE",,,,,,,,,,,
,,"TRUE",1,11,"barbarian5_attack2","FALSE","TRUE",,,,,,,,,,,
,"celebrate","TRUE",1,,"barbarian5_cheer1","TRUE","TRUE",,,,,,,,,,,
,"die","FALSE",1,,"barbarian_death_1","FALSE","TRUE",,,,,,,,,,,
,"spawn","TRUE",1,,"barbarian5_cheer1","TRUE","TRUE",,,,,,,,,,,
"Barbarian6",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
