"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","Effect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPositionOnCharacters","SmallRandomHitPositionOnBuildings","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","HitSpellInheritAffectType","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent","UseNormalizeLenghtFix","MaxBounceDistance","StopToTargetTime","CanBounceOverWall","SmoothDamage","StartOffsetFromGunBone","PenetratingHitBoxWidth","MaxHitBuildings"
"String","String","String","boolean","int","String","String","int","int","int","boolean","String","String","boolean","boolean","boolean","boolean","boolean","boolean","int","String","int","boolean","boolean","int","int","int","int","String","String","int","int","boolean","int","int","boolean","boolean","boolean","int","int"
"Cannonball","sc/buildings.sc","basic_turret_ammo","FALSE",0,,,1200,50,50,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball2","sc/buildings.sc","basic_turret_ammo2","FALSE",0,,,1200,48,54,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball4","sc/buildings.sc","basic_turret_ammo4","FALSE",0,,,1200,54,58,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball5","sc/buildings.sc","basic_turret_ammo5","FALSE",0,,,1200,56,62,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball7","sc/buildings.sc","basic_turret_ammo7","FALSE",0,,,1200,60,66,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball10","sc/buildings.sc","basic_turret_ammo10","FALSE",0,,,1200,65,70,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball12","sc/buildings.sc","basic_turret_ammo12","FALSE",0,"Spark Trail",,1200,70,72,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball13","sc/buildings.sc","basic_turret_ammo13","FALSE",0,"Spark Trail B",,1200,75,74,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
"Cannonball14","sc/buildings.sc","basic_turret_ammo14","FALSE",0,"Spark Trail B",,1200,75,76,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE","FALSE",0,0
