"Name","Items","ItemAmounts","Costs"
"String","String","int","int"
1,"BoostProduction",1,0
,"BoostResource",1,115
,"FillGold2Storage",1,1500
2,"BoostClocktower",1,75
,"MaxLevelArmy",1,300
,"FillElixir2Storage",1,1500
3,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishBuildingUpgrade",1,925
4,"BoostProduction",1,25
,"MaxLevelArmy",1,300
,"BoostBuilders",1,285
5,"BoostClocktower",1,75
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
6,"BoostClocktower",1,75
,"MaxLevelArmy",1,300
,"BoostBuilders",1,285
7,"BoostClocktower",1,75
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
8,"UpgradeWall",10,1000
,"MoveObstacle",1,500
,"BoostBuilders",1,285
9,"BoostProduction",1,25
,"BoostResource",1,115
,"FillGoldStorage",1,1500
10,"BoostClocktower",1,0
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
11,"BoostClocktower",1,75
,"BoostResource",1,115
,"FillDarkElixirStorage",1,3000
12,"UpgradeWall",10,1000
,"HeroPotion",1,300
,"FinishHeroUpgrade",1,500
13,"UpgradeWall",5,500
,"BoostResource",1,115
,"BoostBuilders",1,285
14,"BoostClocktower",1,75
,"HeroPotion",1,300
,"BoostBuilders",1,285
15,"BoostProduction",1,25
,"MaxLevelArmy",1,300
,"BoostBuilders",1,285
16,"BoostClocktower",1,75
,"MaxLevelArmy",1,300
,"FillGoldStorage",1,1500
17,"UpgradeWall",10,1000
,"BoostResource",1,115
,"BoostBuilders",1,285
18,"UpgradeWall",5,500
,"BoostResource",1,115
,"FinishHeroUpgrade",1,500
19,"BoostProduction",1,25
,"BoostResource",1,115
,"BoostBuilders",1,285
20,"BoostClocktower",1,0
,"MaxLevelArmy",1,300
,"FinishBuildingUpgrade",1,925
21,"BoostProduction",1,25
,"MaxLevelArmy",1,300
,"BoostBuilders",1,285
22,"UpgradeWall",5,500
,"MaxLevelArmy",1,300
,"FinishHeroUpgrade",1,500
23,"BoostClocktower",1,75
,"HeroPotion",1,300
,"BoostBuilders",1,285
24,"BoostProduction",1,0
,"HeroPotion",1,300
,"FinishBuildingUpgrade",1,925
25,"BoostProduction",1,25
,"MoveObstacle",1,500
,"BoostBuilders",1,285
26,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishSpellUpgrade",1,925
27,"UpgradeWall",5,500
,"BoostResource",1,115
,"BoostBuilders",1,285
28,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishBuildingUpgrade",1,925
29,"BoostClocktower",1,0
,"BoostResource",1,115
,"BoostBuilders",1,285
30,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
31,"BoostClocktower",1,75
,"BoostResource",1,115
,"BoostBuilders",1,285
32,"BoostProduction",1,25
,"BoostResource",1,115
,"FillElixir2Storage",1,1500
33,"BoostClocktower",1,75
,"HeroPotion",1,300
,"FillElixirStorage",1,1500
34,"BoostProduction",1,25
,"BoostResource",1,115
,"FinishHeroUpgrade",1,500
35,"BoostProduction",1,25
,"MaxLevelArmy",1,300
,"FinishSpellUpgrade",1,925
36,"BoostProduction",1,0
,"BoostResource",1,115
,"BoostBuilders",1,285
37,"UpgradeWall",10,1000
,"BoostResource",1,115
,"FinishTroopUpgrade",1,925
38,"BoostProduction",1,25
,"MaxLevelArmy",1,300
,"FinishBuildingUpgrade",1,925
39,"BoostClocktower",1,75
,"HeroPotion",1,300
,"BoostBuilders",1,285
