"Name","TID","PosX","PosY","Radius","DeployType","DeployCount","UseAbility","PauseGame","Duration","SlowdownPercentage","ForceType","ForceLocation","ShowObject","WaitUntilDestroyed","ObjectGID"
"String","String","int","int","int","String","int","boolean","boolean","int","int","boolean","boolean","boolean","boolean","int"
"Test",,15,15,500,,,,"true",10000,,,,"true",,500000127
"Test2",,27,27,500,,,,"false",10000,,,,,"true",504000002
"Test3",,5,5,500,,,,"false",,,,,"true","true",500000127
"delay4",,,,,,,,,4000,,,,,,
"delay4_no_deploy",,,,,,,,,4000,,,,,,
"test_g",,38,38,500,"Golem",1,,,0,,"true","true",,,
"test_w",,40,30,500,"Warlock",2,,"true",0,50,"true","true",,,
,,30,40,,,2,,,,,,,,,
"test_bowler",,30,30,500,"Bowler",7,,"true",0,50,"true","true",,,
,,40,30,,,7,,,,,,,,,
,,30,40,,,7,,,,,,,,,
"test_eq",,27,27,500,"Earthquake",3,,,,,"true","true",,,
"Challenge02_Step1",,38,37,200,"Electro Dragon",1,,"true",,10,"true","true",,,
,,20,7,200,"Electro Dragon",1,,,,10,,,,,
"Challenge02_Step3",,,,,,,,,4000,,,,,,
"Challenge02_Step4",,31,7,100,"Freeze",1,,"true",,10,"true","true",,,
,,38,25,100,"Freeze",1,,,,,"true","true",,,
"Challenge02_Step5",,,,,,,,,3000,,,,,,
"Wait_500ms",,,,,,,,,500,,"true",,,,
"Wait_1000ms",,,,,,,,,1000,,"true",,,,
"Wait_2500ms",,,,,,,,,2500,,"true",,,,
"Wait_5000ms",,,,,,,,,5000,,"true",,,,
"Wait_7500ms",,,,,,,,,7500,,"true",,,,
"TH6_Giwiwa_Giant1","TID_NPC_CHALLENGE_TH6_GIWIWA_GIANT",17,36,100,"Giant",1,,"true",,,"true",,,,
"TH6_Giwiwa_WallBreakers1","TID_NPC_CHALLENGE_TH6_GIWIWA_WALL_BREAKERS1",17,36,150,"Wall Breaker",3,,"true",,,"true",,,,
"TH6_Giwiwa_Giant2","TID_NPC_CHALLENGE_TH6_GIWIWA_GIANTS",19,36,150,"Giant",13,,"true",,,"true",,,,
"TH6_Giwiwa_WallBreakers2","TID_NPC_CHALLENGE_TH6_GIWIWA_WALL_BREAKERS2",19,36,150,"Wall Breaker",5,,"true",,,"true",,,,
"TH6_Giwiwa_Wizards1","TID_NPC_CHALLENGE_TH6_GIWIWA_WIZARDS1",29,31,200,"Wizard",5,,"true",,25,"true",,,,
,,8,31,200,"Wizard",5,,,,,,,,,
"TH6_Giwiwa_Wizards2","TID_NPC_CHALLENGE_TH6_GIWIWA_WIZARDS2",18,36,200,"Wizard",6,,"true",,,"true",,,,
"TH6_Giwiwa_Heal1","TID_NPC_CHALLENGE_TH6_GIWIWA_HEAL1",18,28,100,"HealingWave",1,,"true",,,"true","true",,,
"TH6_Giwiwa_Wait_For_Heal",,,,,,,,,,,,,,"true",500000132
"TH6_Giwiwa_Heal2","TID_NPC_CHALLENGE_TH6_GIWIWA_HEAL2",20,21,100,"HealingWave",1,,,,,"true",,,,
"TH5_Loon_Loons1","TID_NPC_CHALLENGE_LOON_1",0,10,150,"Balloon",12,,"true",,,,,,,
"TH5_Loon_Loons2","TID_NPC_CHALLENGE_LOON_2",17,0,150,"Balloon",5,,"true",,,,,,,
,,21,0,150,"Balloon",5,,"true",,,,,,,
"TH5_Loon_Loons3","TID_NPC_CHALLENGE_LOON_3",,,,,,,,5000,,"true",,,,
"TH5_Loon_Loons4","TID_NPC_CHALLENGE_LOON_4",14,23,150,"Balloon",5,,"true",,,,,,,
"TH7_Dragon_Info_AirSweeper","TID_NPC_CHALLENGE_INFO_AIR_SWEEPER",,,,,,,,5000,,"true",,"true",,500000230
"TH7_Dragon_Lightning","TID_NPC_CHALLENGE_TH7_DRAGON_LIGHTNING",23,13,100,"LighningStorm",3,,,,,"true",,,,
"TH7_Dragon_BarbarianKing","TID_NPC_CHALLENGE_TH7_DRAGON_BARBARIAN_KING",35,3,150,"Barbarian King",1,,,,,"true",,,,
"TH7_Dragon_Dragons1","TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS1",35,3,150,"Dragon",1,,"true",,,"true",,,,
,,35,32,150,,1,,,,,,,,,
"TH7_Dragon_Dragons2","TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS2",5,32,150,"Dragon",1,,"true",,,"true",,,,
"TH7_Dragon_Dragons3","TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS3",35,18,200,"Dragon",7,,,,,"true",,,,
"TH12_Bowigi_Healers_TextOnly","TID_NPC_CHALLENGE_BOWIGI_HEALERS",,,,,,,,3000,,,,,,
"TH12_Bowigi_Healers","TID_NPC_CHALLENGE_BOWIGI_HEALERS",0,40,150,"Healer",5,,"true",,,"true",,,,
"TH12_Bowigi_ArcherQueen","TID_NPC_CHALLENGE_BOWIGI_ARCHERQUEEN",5,35,150,"Archer Queen",1,,"true",,,"true",,,,
"TH12_Bowigi_Balloon1","TID_NPC_CHALLENGE_BOWIGI_BALLOON1",5,33,200,"Balloon",1,,"true",,,"true",,,,
"TH12_Bowigi_Rage1","TID_NPC_CHALLENGE_BOWIGI_RAGE1",10,35,500,"Haste",1,,"true",,,"true",,,,
"TH12_Bowigi_Giants","TID_NPC_CHALLENGE_BOWIGI_GIANTS",23,39,200,"Giant",3,,"true",,25,"true",,,,
,,36,36,200,"Giant",2,,,,,,,,,
"TH12_Bowigi_WallWrecker","TID_NPC_CHALLENGE_BOWIGI_WALLWRECKER",23,39,200,"Siege Machine Ram",1,,"true",,,"true",,,,
