"Name","TaskType","ProgressType","Set","TID","InfoTID","IconSWF","IconExportName","Score","DurationMinutes","Quantity","Quantity2","Data1","Data2","SelectionWeight","Disabled"
"String","String","String","String","String","String","String","String","int","int","int","int","String","String","int","boolean"
"DailyTask1","GetHomeBattleStars","Accumulative","Regular","TID_DAILY_TASK_1_TITLE","TID_DAILY_TASK_1_DESC","sc/ui.sc","Get_Daily_Home_Star_Icon",20,1440,1,,,,27,
"DailyTask2","GetBuilderBattleStars","Accumulative","Regular","TID_DAILY_TASK_2_TITLE","TID_DAILY_TASK_2_DESC","sc/ui.sc","Get_Daily_BB_Star_Icon",20,1440,1,,,,27,
"DailyTask3","DonateTroopCapacity","Accumulative","Regular","TID_TASK_DONATE_TROOPS","TID_CLANGAMES_TASK_INFO_DONATE_TROOPS","sc/ui.sc","Home_Donate_Troops",20,1440,15,,,,27,
"DestroyEagleArtillery","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",100,480,5,,"Ancient Artillery",,,
"DestroyElixirPumps","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRPUMPS","sc/buildings.sc","elixir_pump_lvl6",80,480,40,,"Elixir Pump",,,
"DestroyGoldMines","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDMINES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDMINES","sc/buildings.sc","goldmine_lvl6",80,480,40,,"Gold Mine",,,
"DestroyElixirStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRSTORAGES","sc/buildings.sc","elixir_storage_level6",80,480,30,,"Elixir Storage",,,
"DestroyGoldStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDSTORAGES","sc/buildings.sc","gold_storage_lvl6",80,480,30,,"Gold Storage",,,
"DestroyMortars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_MORTARS","TID_CLANGAMES_TASK_INFO_DESTROY_MORTARS","sc/buildings.sc","mortar_lvl4",80,480,20,,"Mortar",,,
