"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_TUTORIAL_ATTACK_NPC_2","Well done. Now let's kick some green butt!","أحسنت. والآن فلنلقن الكائنات الخضراء درسًا!","干得好！现在就让我们给那些绿矮子点颜色看看！","做得很好。現在我們就給那些綠矮子一點顏色瞧瞧！","Gut gemacht. Jetzt lass uns ein paar grüne Hintern versohlen!","Bien hecho. Ahora, ¡vamos a darles patadas en sus verdes traseros!","کارتان عالی بود. احالا بیابید چند تای دیگر را هم نابود کنبم!","Mainiota! Nyt mennään ja nitistetään hiidet!","Bien joué. Maintenant, allons botter leurs fesses vertes !","Bagus. Ayo tendang bokong hijau mereka!","Ben fatto. Andiamo a prendere a pugni qualche muso verde!","できましたね。ゴブリンどもに\n思い知らせてやりましょう！","잘했어요. 이제 녀석들에게 본때를 보여 주러 가죠!","Bagus. Sekarang, mari hapuskan Goblin!","Goed gedaan. Tijd voor een stevig potje groen geweld!","Godt gjort. Kom igjen, la oss banke de grønne svina gule og blå!","Bom trabalho. Agora vamos detonar uns verdinhos!","Славно. А теперь зададим им жару!","ดีมาก คราวนี้ก็เตะก้นเขียวๆ พวกนั้นได้เลย!","İyi işti. Artık bu yeşil yaratıklara günlerini gösterme zamanı geldi!","Làm rất tốt. Bây giờ, hãy đánh bại vài tên tay mơ nào!"
"TID_EVENT_TEXT_HALLOWEEN_GIANT_SKELETON","Bravely haunt your enemies and earn 200 Gems and a Power potion by using the Giant Skeleton during the Haunted & Undaunted event!","طارد أعداءك بشجاعة واربح 200 جوهرة وجرعة قوة باستخدام الهيكل العظمي العملاق خلال حدث الشبح العملاق!","看谁胆子大！在“勇闯惊魂夜”活动中使用骷髅巨人进攻敌军，赢取200颗宝石和一瓶力量药水！","看誰膽子大！在“骷髏巨人嚇嚇叫“活動中使用骷髏巨人進攻敵軍，贏得200顆寶石一瓶力量藥水！！","Suche deine Feinde heim und verdiene 200 Juwelen und einen Machttrank, indem du das Riesenskelett im Todesschreck-Ereignis einsetzt!","Acaba con tus enemigos con valentía y consigue 200 gemas y una pócima de fuerza al usar el esqueleto gigante durante el evento Miedo en los huesos.","با استفاده از اسکلت غول پیکر در طول رویداد تسخیرشده و رام‌نشده، دشمنانتان را شجاعانه تسخیر کنید و 200 جواهر و یک معجون قدرت بگیرید!","Pelottele vihollisiasi ja ansaitse 200 jalokiveä ja voimarohto käyttämällä jättiluurankoa Karmiva kummittelu -tapahtuman aikana!","Hantez vaillamment vos ennemis pour gagner 200 gemmes et une potion de puissance en utilisant le squelette géant pendant l’événement hanté et déjanté !","Tanpa gentar hantui musuhmu dan raih 200 Permata serta Ramuan Kuat dengan menggunakan Jerangkong Raksasa selama acara Tak Takut Menghantui!","Attacca con coraggio i nemici usando lo scheletro gigante durante l'evento ""Infesta senza paura"" e ottieni 200 gemme e una pozione di forza!","「不気味に大胆に」イベント中に、巨大スケルトンを使って敵を震え上がらせると、200エメラルドとパワーポーションを獲得できます！","이벤트 동안 자이언트 해골을 사용해 적을 처치하고 보석 200개와 힘의 포션을 획득하세요!","Memberanikan diri untuk menghantui musuh anda dan dapatkan 200 permata serta posyen Kuasa dengan menggunakan Rangka Gergasi semasa acara Berhantu & Tidak Gentar!","Jaag je vijanden de schrik op het lijf en verdien 200 edelstenen en een krachtdrankje door het reuzenskelet te gebruiken tijdens het knokenspook-evenement.","Hjemsøk uforferdet fiendene dine og tjen 200 juveler og en kraftdrikk ved å bruke kjempeskjelettet i hendelsen «Gjenferd og uforferdet».","Apavore seus inimigos sem piedade usando o Esqueleto Gigante durante o evento Assustador e destemido para ganhar 200 gemas e uma poção do poder!","Наведите страх на врагов и заработайте 200 кристаллов и зелье силы, воспользовавшись гигантским скелетом во время события «Страшный и бесстрашный»!","หลอกหลอนศัตรูของท่านอย่างห้าวหาญและรับอัญมณี 200 เม็ดกับน้ำยาพลังด้วยการใช้โครงกระดูกยักษ์ระหว่างอีเวนท์หลอกหลอนแต่ไม่ถอนตัว","Lanetli ve Cesur etkinliğinde Dev İskeleti kullanarak düşmanlarınla cesurca yüzleşip 200 Taş ve bir Güç İksiri kazanabilirsin!","Hãy khiến kẻ địch kinh sợ và kiếm 200 Ngọc cùng một lọ Thuốc Sức mạnh khi sử dụng Bộ xương Khổng lồ trong sự kiện Ma ám & Dũng cảm!"
"TID_EVENT_TEXT_HALLOWEEN_SKEL_BARREL","Drop Skeleton Barrels on your foes and watch the pandemonium unfold! Oh, you can earn 200 Gems and a Power potion for your efforts too!","ألقِ براميل الهياكل العظمية على أعدائك وشاهد الهرج والمرج! يمكنك أن تربح 200 جوهرة وجرعة قوة مقابل مجهوداتك أيضًا!","活动期间，在敌方领空投放骷髅飞桶，看敌军被骷髅海包围！对啦，您还可以赢得200颗宝石和一瓶力量药水哦！","活動期間，在敵方領空投放骷髏飛桶，看敵軍被骷髏海包圍！對啦，您還可以贏得200顆寶石和一瓶力量藥水唷！","Setze Skelettfässer gegen deine Feinde ein und weide deine Augen am höllischen Durcheinander! Oh! Und für deine Mühe kannst du außerdem 200 Juwelen und einen Machttrank verdienen!","¡Lanza barriles de esqueletos a tus enemigos y ponlo todo patas arriba! Puedes conseguir 200 gemas y una pócima de fuerza.","بشکه‌های اسکلت را روی سر دشمنانتان بریزید و ببینید چه قیامتی به راه میفتد! تازه می‌توانید 200 جواهر و یک معجون قدرت را برای تلاش‌هایتان بگیرید!","Pudota luurankotynnyreitä vihollistesi niskaan ja seuraa, millainen kaaos syntyy. Ai niin, voit ansaita samalla 200 jalokiveä ja voimarohdon palkkioksi vaivannäöstäsi!","Lâchez des fûts à squelettes sur vos ennemis pour semer la panique dans leurs rangs ! Vous pourrez même gagner 200 gemmes pour la peine !","Jatuhkan Tong Jerangkong ke musuhmu dan tonton kekacauan yang ditimbulkannya! Oh, juga ada hadiah 200 Permata dan ramuan Kuat untuk usahamu!","Semina il caos bombardando i nemici con i barili d'ossa! I tuoi sforzi ti faranno anche guadagnare 200 gemme e una pozione di forza!","敵陣にスケルトンバレルを送り込み、大パニックに陥る様子を見物しましょう！ 実行すると、200エメラルドとパワーポーションをもらえますよ！","해골 통을 던져 적진을 혼란에 빠트리세요! 보석 200개와 힘의 포션도 잊지 말고 획득하세요!","Jatuhkan Tong Rangka di tempat musuh anda dan lihat huru-hara berlaku! Oh, anda juga boleh mendapat 200 permata dan posyen Kuasa untuk usaha anda!","Laat skelettentonnen op je vijanden vallen en kijk naar de chaos die ontstaat. O, en je krijgt ook nog eens 200 edelstenen en een krachtdrankje voor de moeite.","Slipp skjellettønner på fiendene dine, og se tumultene spre seg! Innsatsen kan dessuten gi deg 200 juveler og en kraftdrikk!","Veja o circo pegar fogo ao lançar Barris de Esqueletos nos adversários! Ah, e você também pode ganhar 200 gemas e uma poção do poder pelo seu empenho!","Обрушьте бочки со скелетами на своих врагов и полюбуйтесь на устроенную свистопляску! Ах да, за свои труды вы также можете заработать 200 кристаллов и зелье силы!","ปล่อยถังโครงกระดูกลงบนศัตรูของท่านและรอดูความโกลาหลที่จะเกิด! โอ้ ท่านจะได้รับอัญมณี 200 เม็ดกับน้ำยาพลังจากการเล่นของท่านด้วยนะ!","Düşmanlarına İskelet Fıçıları fırlat ve ortaya çıkan kargaşayı izle! Bir yandan da 200 Taş ve bir Güç İksiri kazanma fırsatını kaçırma!","Thả Thùng Bộ xương vào kẻ thù và chứng kiến cảnh hỗn loạn! À, nếu nỗ lực chiến đấu, bạn còn có thể kiếm được 200 Ngọc cùng một lọ Thuốc Sức mạnh nữa đấy!"
"TID_EVENT_TEXT_TH12_INFERNO_PACK","Town Hall 12 Inferno Pack","مجموعة النار لقاعة المدينة 12","12级大本营地狱之塔礼包","12級大本營地獄之塔特惠包","Infernopaket: Rathaus-Level 12","Lote infernal de ayuntamiento de nivel 12","بسته جهنمی تالار شهر 12","Tason 12 päärakennuksen Inferno-paketti","Pack incendiaire hôtel de ville 12","Paket Inferno Balai Kota level 12","Pacchetto infernale municipio 12","TH12 インフェルノパック","마을회관 12레벨 인페르노 팩","Pek Neraka Dewan Bandaran 12","Stadhuis 12-infernopakket","Rådhus 12 – infernopakke","Pacote infernal do Centro da Vila de nível 12","Адский набор ратуши 12-го уровня","แพ็คเพลิงนรกศาลากลางเลเวล 12","12. Belediye Binası Cehennem Paketi","Gói Hỏa ngục cho Nhà Chính 12"
"TID_DETAILS_TEXT_TH12_INFERNO_PACK","Townhall 12 Exclusive for a Limited Time Only!","مجموعة حصرية لقاعة المدينة 12 لفترة محدودة فقط!","12级大本营专属礼包，限时供应哦！","12級大本營專屬特惠包，限時供應唷！","Exklusiv für Rathaus-Level-Level 12 und nur für begrenzte Zeit!","Solo para ayuntamientos de nivel 12. ¡Disponible por tiempo limitado!","بسته انحصاری تالار شهر 12 فقط برای مدت زمان محدود!","Saatavilla rajoitetun ajan vain päärakennuksen tasolla 12!","Spécial hôtel de ville 12 à durée limitée !","Berbatas Waktu dan Eksklusif untuk Balai Kota level 12!","Pacchetto disponibile per un periodo limitato solo per villaggi con municipio 12!","タウンホールレベル12専用、期間限定パックです！","마을회관 12레벨 기간 한정 팩!","Dewan Bandaran 12 Eksklusif untuk Masa Terhad sahaja!","Exclusief voor stadhuislevel 12 en tijdelijk beschikbaar","Eksklusivt for rådhus 12 kun i en begrenset periode!","Centro da Vila de nível 12 exclusivo e disponível por tempo limitado!","Эксклюзивное временное предложение ратуши 12-го уровня!","ศาลากลางเลเวล 12 พิเศษเฉพาะในเวลาจำกัดเท่านั้น!","12. Belediye Binasına Özel, Sınırlı Süreli!","Ưu đãi Độc quyền chỉ có trong thời gian có hạn dành cho Nhà Chính 12!"
"TID_NOTIFICATION_WL_SIGNUP_STARTED","Sign up for Clan War Leagues is open! Glory and rewards await!","تم فتح الاشتراك في دوريات حروب القبائل! المجد والجوائز بانتظارك!","部落对战联赛报名现已开启！为荣誉和奖励而战！","部落對戰聯盟賽報名現已開始！為榮譽和獎勵而戰！","Die Anmeldung für die Clankriegsligen hat begonnen! Ruhm und Belohnungen erwarten dich!","¡Ya están abiertas las inscripciones para las ligas de guerra de clanes! La gloria y las recompensas te esperan.","ثبت نام برای لیگ‌های جنگ قبیله‌ای باز است! افتخارات و جوایز منتظرتان هستند!","Klaanisotaliigojen ilmoittautuminen on alkanut! Kunnia ja palkinnot odottavat!","Les inscriptions aux ligues de guerre de clan sont ouvertes ! La gloire et les récompenses vous attendent !","Pendaftaran untuk Liga Perang Klan telah dibuka! Kejayaan dan hadiah telah menanti!","Sono aperte le iscrizioni alle leghe della guerra tra clan! Ottieni gloria e ricompense!","クラン対戦リーグの登録が始まりました！ 栄光と報酬が待っています！","클랜전 리그에 참가하세요! 승리의 영광과 보상이 대장님을 기다립니다!","Pendaftaran terbuka untuk Liga Perang Klan! Kegemilangan dan ganjaran menunggu!","Je kunt je nu aanmelden voor de clanoorlogsdivisies. Roem en beloningen wachten op je!","Registreringen for klankrigligaene har åpnet! Ære og belønninger venter deg!","As inscrições para as Ligas das Guerras de Clãs estão abertas! Conquiste a glória e várias recompensas!","Запись в лиги войн кланов уже началась! Слава и награды ждут!","ลีกสงครามแคลนเปิดรับสมัครแล้ว! เกียรติยศและรางวัลรอท่านอยู่!","Klan Savaşı Liglerine kayıtlar açıldı! Zafer ve ödüller bekliyor!","Khâu đăng ký cho Giải đấu Hội Chiến đã bắt đầu! Vinh quang và phần thưởng đang chờ bạn đấy!"
"TID_NOTIFICATION_WL_LEAGUE_STARTED","Your clan has entered Clan War Leagues!","دخلت قبيلتك دوريات حروب القبائل!","您的部落已加入部落对战联赛！","您的部落已加入部落對戰聯盟賽！","Dein Clan nimmt an den Clankriegsligen teil!","¡Tu clan está participando en las ligas de guerra de clanes!","قبیله شما وارد لیگ‌های جنگ قبیله‌ای شده است!","Klaanisi on mukana klaanisotaliigoissa!","Votre clan est entré dans les ligues de guerre de clan !","Klanmu telah masuk ke Liga Perang Klan!","Il clan si è iscritto alle leghe della guerra tra clan!","クランがクラン対戦リーグに参加しました！","클랜이 클랜전 리그에 참가했습니다!","Klan anda telah memasuki Liga Perang Klan!","Je clan neemt deel aan de clanoorlogsdivisies.","Klanen din er blitt med i klankrigligaene!","Seu clã se inscreveu nas Ligas das Guerras de Clãs!","Ваш клан вошел в лиги войн кланов!","แคลนของท่านได้เข้าร่วมลีกสงครามแคลนแล้ว!","Klanın Klan Savaşı Liglerine girdi!","Hội của bạn đã tham gia Giải đấu Hội Chiến!"
"TID_NOTIFICATION_WL_DAY_CHANGED","New day begins in Clan War Leagues. Today your clan is warring against <clan>.","بدأ يوم جديد في دوريات حروب القبائل. ستحارب قبيلتك اليوم ضد <clan>.","部落对战联赛迎来了新的战斗日。今天您的部落将和“<clan>”部落进行对战。","部落對戰聯盟賽迎來了新的戰鬥日。今天您的部落將和“<clan>”部落進行對戰。","Es ist ein neuer Tag in den Clankriegsligen. Heute kämpft dein Clan gegen <clan>.","Hoy es un nuevo día de liga de guerra de clanes. Tu clan luchará contra <clan>.","روز جدیدی در لیگ‌های جنگ قبیله‌ای آغاز شده است! امروز، قبیله شما در برابر <clan> می‌جنگد.","Uusi päivä klaanisotaliigoissa koittaa. Tänään klaanisi taistelee klaania <clan> vastaan.","Un nouveau jour se lève sur les ligues de guerre de clan. Aujourd'hui, votre clan fait la guerre à : <clan>.","Hari baru dimulai di Liga Perang Klan. Hari ini klanmu berperang melawan <clan>.","Una nuova giornata delle leghe della guerra tra clan ha inizio. Oggi il clan affronterà <clan>.","クラン対戦リーグの新たな1日が始まります。今日、あなたのクランは<clan>と戦います。","신규 클랜전 리그가 시작되었습니다. 오늘 전쟁 상대는 <clan> 클랜입니다!","Hari baharu bermula dalam Liga Perang Klan. Hari ini, klan anda berperang menentang <clan>.","Er begint een nieuwe dag in de clanoorlogsdivisies. Vandaag neemt je clan het op tegen <clan>.","Det er klart for en ny dag i klankrigligaene. I dag kriger klanen din mot <clan>.","É um novo dia nas Ligas das Guerras de Clãs. E hoje o seu clã lutará contra <clan>.","Лиги войн кланов: наступил новый день. Сегодня ваш клан сражается против клана «<clan>».","วันใหม่เริ่มต้นแล้วในลีกสงครามแคลน วันนี้แคลนของท่านจะรบกับ <clan>","Klan Savaşı Liglerinde yeni bir gün başlıyor. Bugün klanın <clan> ile savaşıyor.","Một ngày mới bắt đầu trong Giải đấu Hội chiến. Hôm nay hội của bạn sẽ đối đầu với <clan>."
"TID_NOTIFICATION_WL_ENDED","Clan War Leagues is over! Come see how your clan did!","انتهت دوريات حروب القبائل! تعال لترى كيف أبلت قبيلتك!","部落对战联赛已结束！快来看看您的部落战绩如何！","部落對戰聯盟賽已結束！快來看看您的部落戰績如何！","Die Clankriegsligen sind vorbei! Sieh dir an, wie sich dein Clan geschlagen hat!","¡Las ligas de guerra de clanes han terminado! Comprueba el resultado de tu clan.","لیگ‌های جنگ قبیله‌ای پایان یافته است! عملکرد قبیله خود را ببینید!","Klaanisotaliigat ovat ohi. Käy katsomassa, miten klaanisi pärjäsi!","Les ligues de guerre de clan sont terminées. Allez voir comment votre clan s'en est tiré.","Liga Perang Klan telah berakhir! Ayo lihat performa klanmu!","Le leghe della guerra tra clan sono terminate! Scopri com'è andato il clan!","クラン対戦リーグが終了しました！ 所属クランの戦績を見てみましょう！","클랜전 리그가 종료되었습니다! 결과를 확인하세요!","Liga Perang Klan telah tamat! Mari lihat prestasi klan anda!","De clanoorlogsdivisies zijn afgelopen. Kom snel kijken hoe jouw clan het heeft gedaan!","Klankrigligaene er over! Kom og se hvordan klanen din klarte seg!","As Ligas das Guerras de Clãs acabaram! Confira como o seu clã se saiu!","Лиги войн кланов завершены! Проверьте результаты своего клана!","ลีกสงครามแคลนจบลงแล้ว! มาดูผลงานของแคลนท่านกัน!","Klan Savaşı Ligleri sona erdi! Gel ve klanının aldığı sonuçları gör!","Giải đấu Hội Chiến đã kết thúc! Hãy đến xem thành tích của hội nào!"
