"Name","DefaultValue","AllowSnapshotUpdate"
"String","int","Boolean"
"StarBonusCounter",,
"StarBonusCooldown",,
"StarBonusTimerEndSubTick",,
"StarBonusTimerEndTimestep",,
"StarBonusTimesCollected",,
"ChallengeStarted",,
"ChallengeLayoutIsWar",,
"FriendListLastOpened",,
"BeenInArrangedWar",,
"FILL_ME",,
"AccountBound",,
"EventUseTroop",,
"VillageToGoTo",,
"LootLimitWinCount",,
"LootLimitTimerEndSubTick",,
"LootLimitTimerEndTimestamp",,
"LootLimitCooldown",,
"Village2BarrackLevel",,
"LootLimitFreeSpeedUp",,
"SeenBuilderMenu",,
"MaxArmyTimerEndSubTick",,"true"
"MaxArmyTimerEndTimeStamp",,"true"
"MaxArmyTimerPausedTicksLeft",,"true"
"AllianceUnitDeploymentMethod",,
"ShowOnlyRelevantTroopRequests",1,
