"Name","Tier","TID","TIDShort","IconSWF","IconExportName","SmallIconExportName","MapTopExportName","MapMidExportName","MapBottomExportName","MapEnvDecoLayerExportName","MapDecoLayerExportName","MapWarDecoLayerExportName","PromoteEnabled","DemoteEnabled","WarWinBonusStars","WinMedalReward","StarMedalReward","BonusMedalReward","MinNumMedalBonuses","NumPromotions","NumDemotions","PromoteDemoteDesignBracketSize","SeedA","SeedB"
"String","int","String","String","String","String","String","String","String","String","String","String","String","Boolean","Boolean","int","int","int","int","int","int","int","int","int","int"
"Unranked",,"TID_LEAGUE_UNRANKED",,"sc/ui.sc","WL_No_Badge","WL_No_Badge_small","map_wl_top_t0_nt","map_wl_mid_t1","map_wl_bottom_start","map_wl_env_t1_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,FALSE,10,0,2,0,0,0,0,8,0,0
"Bronze3",3,"TID_LEAGUE_BRONZE3","TID_LEAGUE_BRONZE3_SHORT","sc/ui.sc","WL_Bronze_Badge","WL_Bronze_Badge_small","map_wl_top_t0_nt","map_wl_mid_t1","map_wl_bottom_start","map_wl_env_t1_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,FALSE,10,10,2,35,1,3,0,8,0,0
"Bronze2",2,"TID_LEAGUE_BRONZE2","TID_LEAGUE_BRONZE2_SHORT","sc/ui.sc","WL_Bronze_Badge","WL_Bronze_Badge_small","map_wl_top_t0_nt","map_wl_mid_t1","map_wl_bottom_t1","map_wl_env_t1_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,10,2,35,1,3,2,8,500,700
"Bronze1",1,"TID_LEAGUE_BRONZE1","TID_LEAGUE_BRONZE1_SHORT","sc/ui.sc","WL_Bronze_Badge","WL_Bronze_Badge_small","map_wl_top_t0","map_wl_mid_t1","map_wl_bottom_t1","map_wl_env_t1_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,10,2,35,1,3,2,8,1100,1100
"Silver3",3,"TID_LEAGUE_SILVER3","TID_LEAGUE_SILVER3_SHORT","sc/ui.sc","WL_Silver_Badge","WL_Silver_Badge_small","map_wl_top_t1_nt","map_wl_mid_t2","map_wl_bottom_t2","map_wl_env_t2_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,10,4,35,1,2,2,8,2000,2000
"Silver2",2,"TID_LEAGUE_SILVER2","TID_LEAGUE_SILVER2_SHORT","sc/ui.sc","WL_Silver_Badge","WL_Silver_Badge_small","map_wl_top_t1_nt","map_wl_mid_t2","map_wl_bottom_t2_nt","map_wl_env_t2_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,11,4,40,1,2,2,8,3500,3500
"Silver1",1,"TID_LEAGUE_SILVER1","TID_LEAGUE_SILVER1_SHORT","sc/ui.sc","WL_Silver_Badge","WL_Silver_Badge_small","map_wl_top_t2","map_wl_mid_t2","map_wl_bottom_t2_nt","map_wl_env_t2_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,12,4,45,1,2,2,8,5000,5000
"Gold3",3,"TID_LEAGUE_GOLD3","TID_LEAGUE_GOLD3_SHORT","sc/ui.sc","WL_Gold_Badge","WL_Gold_Badge_small","map_wl_top_t2_nt","map_wl_mid_t3","map_wl_bottom_t3","map_wl_env_t3_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,13,6,50,2,2,2,8,6500,6500
"Gold2",2,"TID_LEAGUE_GOLD2","TID_LEAGUE_GOLD2_SHORT","sc/ui.sc","WL_Gold_Badge","WL_Gold_Badge_small","map_wl_top_t2_nt","map_wl_mid_t3","map_wl_bottom_t3_nt","map_wl_env_t3_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,14,6,55,2,2,2,8,8500,8000
