"Barbarian",,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,
,"walk","true",,,"barbarian1_run","true","true",,,,,,,,,,
,"idle","true",1,,"barbarian1_idle1","true","true",,,,,,,,,,
,,"true",1,,"barbarian1_idle1","true","true",,,,,,,,,,
,"attack","true",1,11,"barbarian1_attack1","false","true",,,,,,,,,,
,,"true",1,11,"barbarian1_attack2","false","true",,,,,,,,,,
,,"true",1,11,"barbarian1_attack1","false","true",,,,,,,,,,
,,"true",1,11,"barbarian1_attack2","false","true",,,,,,,,,,
,"celebrate","true",1,,"barbarian1_cheer1","true","true",,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,
,"spawn","true",1,,"barbarian1_cheer1","true","true",,,,,,,,,,
"Barbarian3",,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,
,"walk","true",,,"barbarian3_run","true","true",,,,,,,,,,
,"idle","true",1,,"barbarian3_idle1","true","true",,,,,,,,,,
,,"true",1,,"barbarian3_idle1","true","true",,,,,,,,,,
,"attack","true",1,11,"barbarian3_attack1","false","true",,,,,,,,,,
,,"true",1,11,"barbarian3_attack2","false","true",,,,,,,,,,
,,"true",1,11,"barbarian3_attack1","false","true",,,,,,,,,,
,,"true",1,11,"barbarian3_attack2","false","true",,,,,,,,,,
,"celebrate","true",1,,"barbarian3_cheer1","true","true",,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,
,"spawn","true",1,,"barbarian3_cheer1","true","true",,,,,,,,,,
"Barbarian5",,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,
,"walk","true",,,"barbarian5_run","true","true",,,,,,,,,,
,"idle","true",1,,"barbarian5_idle1","true","true",,,,,,,,,,
,,"true",1,,"barbarian5_idle1","true","true",,,,,,,,,,
,"attack","true",1,11,"barbarian5_attack1","false","true",,,,,,,,,,
,,"true",1,11,"barbarian5_attack2","false","true",,,,,,,,,,
,,"true",1,11,"barbarian5_attack1","false","true",,,,,,,,,,
,,"true",1,11,"barbarian5_attack2","false","true",,,,,,,,,,
,"celebrate","true",1,,"barbarian5_cheer1","true","true",,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,
,"spawn","true",1,,"barbarian5_cheer1","true","true",,,,,,,,,,
"Barbarian6",,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,
,"walk","true",,,"barbarian6_run","true","true",,,,,,,,,,
,"idle","true",1,,"barbarian6_idle1","true","true",,,,,,,,,,
,,"true",1,,"barbarian6_idle1","true","true",,,,,,,,,,
