"Name","Dependencies","MissionCategory","VillageType","FirstStep","Deprecated","Action","Character","FixVillageObject","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","ShowMap","TutorialText","TutorialStep","Darken","TutorialTextBox","TutorialCharacter","CharacterSWF","LoopAnim","SwitchAnim","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialMusicAlt","TutorialSound","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData","ShowInstructor","Villagers","ForceCamera","WaitUntilPopupIsClosed"
"String","String","int","int","boolean","boolean","String","String","String","String","int","int","String","String","int","int","boolean","String","int","boolean","String","String","String","boolean","boolean","String","boolean","String","String","String","String","String","int","int","String","int","int","boolean","int","boolean","boolean"
"step1 cannon",,0,0,,,,,,"Cannon",1,1,,,2000,,,"TID_TUTORIAL_CANNON_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_1b",,"true","tutorial_enemy","character_enemy_goblin","sc/tutorial_characters.sc",,,"bubble_no_button_right","true",,"music/goblin_talk.mp3",,"sfx/goblin_talk_4.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_3",1,,"tutorial_friendly_scared","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,"music/fem_talk_scared.mp3",,"sfx/tutor_urgency_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_4",2,,"tutorial_friendly_scared","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_5",3,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"step2 defend","step1 cannon",0,0,,,,,,,,,"TutorialNPC",,,,,"TID_TUTORIAL_DEFEND_1",1,"true","tutorial_enemy","character_enemy_goblin","sc/tutorial_characters.sc",,,"bubble_with_button_right","true","TID_TUTORIAL_DEFEND_BUTTON","music/gob_attack.mp3",,"sfx/goblin_talk_3.ogg",,,,"Wizard",5,,,,,
,,,,,,,,,,,,,,1000,,,"TID_TUTORIAL_DEFEND_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_relief_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_4",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"step3 first attack","step2 defend",0,0,,,,,,,,,,"TutorialNPC",,,,"TID_TUTORIAL_ATTACK_NPC_1",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_with_button_left","false","TID_TUTORIAL_ATTACK_NPC_BUTTON",,,"sfx/tutor_hey_01.ogg",,,,,,0,,,,
"step4 second builder","step3 first attack",0,0,,,,,,"Worker Building",1,2,,,,,,"TID_TUTORIAL_WORKER_1",,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/home_music_part_1.ogg",,"sfx/tutor_wow_01.ogg",,,,,,,,,,
