"Name","HomeType","EnabledByCalendar","DefaultBackground","FreeBackground","PurchasePrice","TID","SWF","Foreground","Background","Icon","Thumbnail"
"String","String","boolean","boolean","boolean","int","String","String","String","String","String","String"
"HomeDefault","HOME",,"true","true",,"TID_SCENERY_CLASSIC","sc/background_player.sc","Player_Background",,"image/background_icons/scenery_homevillage.png","image/background_icons/village_bgr_image.png"
"BBDefault","BB",,"true","true",,"TID_SCENERY_CLASSIC","sc/background_player_2.sc","Second_player_village",,"image/background_icons/scenery_builderbase_original.png","image/background_icons/village2_bgr_image.png"
"WarDefault","WAR",,"true","true",,"TID_SCENERY_CLASSIC","sc/background_war.sc","Player_war_bg",,"image/background_icons/scenery_warbase_original.png","image/background_icons/war_bgr_image.png"
"NPCDefault","NPC",,"true","true",,"TID_SCENERY_CLASSIC","sc/background_npc.sc","NPC_village_bg",,"image/background_icons/scenery_homevillage.png","image/background_icons/village_bgr_image.png"
"ClashyConstructs","HOME",,,,,"TID_SCENERY_CLASHY_CONSTRUCTS","sc/scenery_clashy_constructs_dl_opt.sc","Player_Background",,"image/background_icons/scenery_clashy_constructs_dl_opt.png","image/background_icons/clashy_constructs_bgr_image_dl_opt.png"
"VillageBackground002",,"true",,,,,,,,,
"VillageBackground003",,"true",,,,,,,,,
"VillageBackground004",,"true",,,,,,,,,
"VillageBackground005",,"true",,,,,,,,,
"VillageBackground006",,"true",,,,,,,,,
"VillageBackground007",,"true",,,,,,,,,
"VillageBackground008",,"true",,,,,,,,,
"VillageBackground009",,"true",,,,,,,,,
"VillageBackground010",,"true",,,,,,,,,
"VillageBackground011",,"true",,,,,,,,,
"VillageBackground012",,"true",,,,,,,,,
"VillageBackground013",,"true",,,,,,,,,
"VillageBackground014",,"true",,,,,,,,,
"VillageBackground015",,"true",,,,,,,,,
"VillageBackground016",,"true",,,,,,,,,
"VillageBackground017",,"true",,,,,,,,,
"VillageBackground018",,"true",,,,,,,,,
"VillageBackground019",,"true",,,,,,,,,
"VillageBackground020",,"true",,,,,,,,,
