"Name","AttachToBone","BoundsCheck","Emitter","LockTransformation","OnTop","ParticleSizeForBoundsCheck","DepthBias"
"String","String","boolean","String","boolean","boolean","int","int"
"autumn_Celebrate","spine_mid_s","true","hero_autumn_burst_3D","true","false",1800,
"autumn_Walk","back_item_03_s","true","hero_autumn_walk","true","false",600,
"champ_sword","R_gunbone_01_s","true","hero_champion_sword","true","false",500,45
,"R_gunbone_01_s","true","hero_champion_sword_02","false","false",500,46
,"R_gunbone_01_s","true","hero_champion_sword_spark","false","false",1200,46
,"R_gunbone_01_s","true","hero_champion_sword_glow","true","false",450,47
"champ_sword_menu","R_gunbone_01_s","false","hero_champion_sword","true","false",500,33
,"R_gunbone_01_s","true","hero_champion_sword_02","false","false",500,34
,"R_gunbone_01_s","true","hero_champion_sword_spark","false","false",900,34
,"R_gunbone_01_s","true","hero_champion_sword_glow","true","false",450,35
"champ_sword_02","R_gunbone_01_s","true","hero_champion_sword_smoke","true","false",1000,11
,"R_gunbone_01_s","false","hero_champion_sword_glow_faint","true","false",0,10
"clockwork_battery","L_gunbone_05_s","true","clockwork_battery_fx","true","false",200,
"clockwork_glow","L_gunbone_01_s","true","clockwork_glow","true","false",200,
"clockwork_intensify","L_gunbone_01_s","true","clockwork_electricity_burst","true","true",2000,
"clockwork_intensify2","L_gunbone_01_s","true","clockwork_electricity_burst","true","true",2000,
"empty","spine_mid_s","true","empty","true","false",200,
"ice_Celebrate","spine_mid_s","true","hero_ice_burst","true","false",2000,
,,"true","hero_ice_snow_spiral","true","false",0,
"ice_mist","spine_mid_s","true","hero_ice_mist","true","false",900,
"jolly_sword","L_gunbone_01_s","true","hero_jolly_sword","true","false",300,10
"pekka_sword","L_gunbone_01_s","true","hero_pekka_sword","true","false",300,18
"pirate_warden_puff",,"true","hero_pirate_GW_puff","false","false",650,
"pirate_warden_puff2",,"true","hero_pirate_GW_puff2","false","false",650,
"skeleton_Glow","spine_mid_s","true","test2","true","false",200,
"test","L_gunbone_01_s","true","test","true","false",200,
,"L_gunbone_01_s","true","test2","true","false",200,
"test_sword","R_gunbone_01_s","true","hero_pekka_sword","true","false",300,
