"Name","AdditiveBlend","Alpha","BounceFromGround","EmissionTime","EndScale","FadeInTime","FadeOutTime","Gravity","Inertia","IsIsoParticle","MaxHorizAngle","MaxLife","MaxRotate","MaxSpeed","MaxVertAngle","MinHorizAngle","MinLife","MinRotate","MinSpeed","MinVertAngle","OrientToMovement","OrientToParent","ParticleCount","ParticleExportName","ParticleFadeOutTime","ParticleSwf","ScaleRandomMax","ScaleRandomMin","ScaleTimeline","Slowdown","StartAngleMax","StartAngleMin","StartRadius","StartScale","StartX","StartY","StartZ","TargetedEndZ"
"String","boolean","int","boolean","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","String","int","String","int","int","boolean","int","int","int","int","int","int","int","int","int"
"AirDefence1_hit1",true,100,true,300,90,0,0,-60,20,false,360,300,5,50,90,0,250,-5,20,0,false,true,3,"fireball3b",100,"sc/buildings.sc",100,100,true,0,0,0,30,1,0,0,200,0
"AirDefence1_hit2",true,100,true,2,9,0,0,1000,23,false,360,1500,90,1500,90,0,800,0,600,0,false,true,10,"fireball3b",2000,"sc/buildings.sc",100,100,true,0,0,0,1,7,0,0,200,0
"AirDefence1_hit3",true,100,false,300,100,0,0,0,20,false,360,1200,10,1,0,0,600,-10,1,0,false,false,1,"wizard_tower_explosion",500,"sc/buildings.sc",100,100,true,0,0,0,0,20,0,0,200,0
"AirDefence2_hit1",true,100,true,300,125,0,0,-60,20,false,360,300,5,50,90,0,250,-5,20,0,false,true,4,"fireball3b",100,"sc/buildings.sc",100,100,true,0,0,0,30,1,0,0,200,0
"AirDefence2_hit2",true,100,true,2,9,0,0,1000,23,false,360,1500,90,1500,90,0,500,0,600,0,false,true,15,"fireball3b",2000,"sc/buildings.sc",100,100,true,0,0,0,1,7,0,0,200,0
"AirDefence2_hit3",true,100,false,500,110,0,0,0,20,false,360,1200,10,1,0,0,600,-10,1,0,false,false,1,"wizard_tower_explosion",300,"sc/buildings.sc",100,100,true,0,0,0,0,20,0,0,200,0
"AirDefence2_hit4",true,100,false,500,110,0,0,0,20,false,360,500,10,1,0,0,450,-10,1,0,false,false,3,"wizard_tower_explosion",400,"sc/buildings.sc",100,100,true,0,0,0,60,20,0,0,200,0
"AirDefence3_hit1",true,100,true,400,150,0,0,-60,20,false,360,300,5,50,90,0,250,-5,20,0,false,true,5,"fireball3b",100,"sc/buildings.sc",100,100,true,0,0,0,40,1,0,0,200,0
"AirDefence3_hit2",true,100,true,2,9,0,0,1000,23,false,360,1500,90,1500,90,0,500,0,600,0,false,true,20,"fireball3b",2000,"sc/buildings.sc",100,100,true,0,0,0,1,7,0,0,200,0
"AirDefence3_hit3",true,100,false,900,120,0,0,0,20,false,360,1200,10,1,0,0,600,-10,1,0,false,false,1,"wizard_tower_explosion",300,"sc/buildings.sc",100,100,true,0,0,0,0,20,0,0,200,0
"AirDefence3_hit4",true,100,false,900,120,0,0,0,20,false,360,500,10,1,0,0,450,-10,1,0,false,false,5,"wizard_tower_explosion",400,"sc/buildings.sc",100,100,true,0,0,0,85,20,0,0,200,0
