"Name","AttachLocator","AttachToParent","Beam","CameraShake","CameraShakeInReplay","CameraShakeTimeMS","DestroyWhenParentDies","DetachAfterStart","EmitterDelayMs","IsoLayer","Looping","LowEndMaxPitch","LowEndMinPitch","LowEndSound","LowEndVolume","MaxCount","MaxPitch","MinLifeTime","MinPitch","OffsetFromGunBone","OrientToParent","ParticleEmitter","PitchIncrease","SWF","SortInFrontOfParent","Sound","SoundDelay","StopSound","Targeted","Volume","ExportName","AltParticleEmitter"
"String","String","boolean","boolean","int","boolean","int","boolean","boolean","int","String","boolean","int","int","String","int","int","int","int","int","boolean","boolean","String","int","String","boolean","String","int","boolean","boolean","int","String","String"
"Air Defence Attack",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,,100,0,105,0,95,"false","false","Mortar_smoke",0,,"false","sfx/air_def_attack_02.ogg",0,"false","false",60,,
"Air Defence Barrel Attack",,"false","false",0,"false",0,"false","false",,"Objects","false",100,100,,100,0,,0,,"false","false",,0,,"false",,0,"false","false",,,
"Air Defence Mini Attack",,"false","false",0,"false",0,"false","false",0,"None","false",100,100,,100,0,140,0,120,"false","false","Mortar_smoke",0,,"false","sfx/air_def_attack_02.ogg",0,"false","false",30,,
"Air Defence Mini hit1",,"false","false",0,"false",0,"false","false",0,"Top","false",150,130,"sfx/wizard_hit_01.ogg",30,0,150,0,130,"false","false","AirDefenceMini1_hit1",0,,"false","sfx/air_def_hit_02.ogg",0,"false","false",30,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini1_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini1_hit3",,,,,,,,,,
"Air Defence Mini hit2",,"false","false",0,"false",0,"false","false",0,"Top","false",150,130,"sfx/wizard_hit_01.ogg",30,0,150,0,130,"false","false","AirDefenceMini2_hit1",0,,"false","sfx/air_def_hit_02.ogg",0,"false","false",30,,
,,,,,,,,,0,,,,,,,,150,,130,,,"AirDefenceMini2_hit2",,,,"sfx/air_def_hit_02.ogg",,,,30,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini2_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini2_hit4",,,,,,,,,,
"Air Defence Mini hit3",,"false","false",0,"false",0,"false","false",0,"None","false",150,130,"sfx/wizard_hit_01.ogg",30,0,150,0,130,"false","false","AirDefenceMini3_hit1",0,,"false","sfx/air_def_hit_02.ogg",0,"false","false",30,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini3_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini3_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenceMini3_hit4",,,,,,,,,,
"Air Defence Pickup",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,"sfx/wall_pickup_01.ogg",80,0,100,0,100,"false","false","Grass",0,,"false","sfx/air_def_pickup_03.ogg",0,"false","false",80,,
"Air Defence Placing",,"true","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/cannon_drop2.ogg",60,0,100,0,100,"false","false","Place",0,,"false","sfx/air_defense_place_01.ogg",0,"false","false",70,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
"Air Defence hit1",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,"sfx/wizard_hit_01.ogg",50,0,100,0,100,"false","false","AirDefence1_hit1",0,,"false","sfx/air_def_hit_02.ogg",0,"false","false",65,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence1_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence1_hit3",,,,,,,,,,
"Air Defence hit2",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,"sfx/wizard_hit_01.ogg",50,0,100,0,100,"false","false","AirDefence2_hit1",0,,"false","sfx/air_def_hit_02.ogg",0,"false","false",65,,
,,,,,,,,,0,,,,,,,,100,,100,,,"AirDefence2_hit2",,,,"sfx/air_def_hit_02.ogg",,,,65,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence2_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence2_hit4",,,,,,,,,,
"Air Defence hit3",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,"sfx/wizard_hit_01.ogg",65,0,100,0,100,"false","false","AirDefence3_hit1",0,,"false","sfx/air_def_hit_02.ogg",0,"false","false",65,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence3_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence3_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefence3_hit4",,,,,,,,,,
"Air Defense Barrel Hit",,"false","false",0,"false",0,"false","false",0,"Top","false",105,95,"sfx/mortar_hit_01.ogg",80,0,105,0,95,"false","false","AirDefenseBarrel_flash",0,,"false","sfx/cannon_fire3.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_Fire_explosion",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_Fire_balls",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_mushcloud",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_spark",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_dustring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_bomb_area",,,,,,,,,,
"Air Defense Barrel Hit With Offset",,"false","false",0,"false",0,"false","false",0,"Top","false",105,95,"sfx/mortar_hit_01.ogg",80,0,105,0,95,"false","false","AirDefenseBarrel_flash_z_offset",0,,"false","sfx/cannon_fire3.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_Fire_explosion_z_offset",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_Fire_balls_z_offset",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_mushcloud_z_offset",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_spark_z_offset",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_dustring_z_offset",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"AirDefenseBarrel_bomb_area_z_offset",,,,,,,,,,
"Alliance",,"false","false",0,"false",0,"false","false",,"None","false",100,100,"sfx/xp_gain_06.ogg",80,0,75,0,75,"false","false",,0,,"false","sfx/alliance_jingle_v2.ogg",0,"false","false",90,,
"Alliance Castle Pickup",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,"sfx/wall_pickup_01.ogg",80,0,100,0,100,"false","false","Grass",0,,"false","sfx/alliance_build_pickup_03.ogg",0,"false","false",80,,
"Alliance Castle Placing",,"true","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/cannon_drop2.ogg",60,0,100,0,100,"false","false","Place",0,,"false","sfx/alliance_build_drop_04.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
"AmazonQ ability hit",,"true","false",0,"false",0,"false","false",0,"Objects","false",105,95,"sfx/rg_atk_hit_01.ogg",80,0,105,0,95,"false","false","Spark Trail",0,,"false","sfx/rg_atk_hit_01.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"javelin_hit",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"javelin_hit_sharp",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit4",,,,,,,,,,
"Ancient Hit",,"false","false",0,"false",0,"false","false",0,"Ground","false",105,95,"sfx/explosion_02.ogg",80,0,105,0,95,"false","false","doom_crater",0,,"false","sfx/ancient_explo_01.ogg",0,"false","false",90,,
,,,,,,,,,0,,,,,,,,,,,,,"doom_blast_top",,,,,,,,,,
"Angry Baby Dragon",,"false","false",0,"false",0,"false","false",,"Objects","false",100,100,,100,0,95,0,95,"false","false",,0,,"false","sfx/angry_dragon_01.ogg",0,"false","false",80,,
"Archer Attack",,"false","false",0,"false",0,"false","false",,"None","false",110,90,"sfx/arrow_hit_07.ogg",50,0,110,0,90,"false","false",,0,,"false","sfx/arrow_hit_07.ogg",0,"false","false",50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/arrow_hit_07v2.ogg",,,,50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/arrow_hit_07v3.ogg",,,,50,,
"Archer Deploy",,"false","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/gob_attack_01.ogg",40,0,100,0,100,"false","false","Deploy",0,,"false","sfx/archer_deploy_09.ogg",0,"false","false",70,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,"sfx/archer_deploy_09v2.ogg",,,,70,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,"sfx/archer_deploy_09v3.ogg",,,,70,,
"Archer Die",,"true","false",0,"false",0,"false","false",0,"Top","false",105,95,"sfx/archer_death_05.ogg",40,0,105,0,95,"false","false","Splat",0,,"false","sfx/archer_death_05.ogg",0,"false","false",30,,
