"Name","Character","IsDefaultSkin","EnabledByCalendar","PurchasePrice","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","OpacityMap","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","SkinChangeEffect","ParticleEffect3D","GunBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation"
"String","String","boolean","boolean","int","String","String","String","String","String","String","String","String","String","String","int","int","int","String","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String"
"BarbarianKingDefault","Barbarian King","true",,,"TID_BARBARIAN_KING","image/skin_icons/bk_original.png","sc3d/barbking_default_geo.scw","sc3d/barbking_default_01.pvr",,"sc3d/barbking_default_01_material.pvr",,,"BarbarianKingDefaultSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,
,,,,,,,,,,,,,,,,,,"sfx/barbarian_king_deploy.ogg",90,,,,,,,,,,,,,,,
"BarbarianKingGladiator","Barbarian King",,,1500,"TID_BARBARIAN_KING_GLADIATOR","image/skin_icons/bk_gladiator_dl_opt.png","sc3d/barbking_gladiator_geo_dl_opt.scw","sc3d/barbking_gladiator_01_dl_opt.pvr",,"sc3d/barbking_gladiator_01_material_dl_opt.pvr",,,"BarbarianKingGladiatorSkin",,10000,225,225,"sfx/gladiatorking_celebrate_vo_01_dl_opt.ogg",80,"Gladiator King Deploy","Barbarian King Attack",,,,,"Gladiator King Die","King Ability Effect",,,,,,,
"ArcherQueenDefault","Archer Queen","true",,,"TID_ARCHER_QUEEN","image/skin_icons/aq_original.png","sc3d/archerqueen_default_geo.scw","sc3d/archerqueen_default_01.pvr",,"sc3d/archerqueen_default_01_material.pvr",,,"ArcherQueenDefaultSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,
"GrandWardenDefault","Grand Warden","true",,,"TID_GRAND_WARDEN","image/skin_icons/gw_original.png","sc3d/grandwarden_default_geo.scw","sc3d/grandwarden_default_01.pvr",,"sc3d/grandwarden_default_01_material.pvr","sc3d/grandwarden_default_01_emission.pvr",,"GrandWardenDefaultSkin","GrandWardenFlyDefaultSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,"L_gunbone_01_s",,,,
"PekkaKing","Barbarian King",,,1500,"TID_BARBARIAN_KING_PEKKA","image/skin_icons/bk_pekka_dl_opt.png","sc3d/barbking_pekkabk_geo_dl_opt.scw","sc3d/barbking_pekkabk_01_dl_opt.pvr",,"sc3d/barbking_pekka_01_material_dl_opt.pvr","sc3d/barbking_pekka_01_emission_dl_opt.pvr",,"BarbarianKingPekkaSkin",,10000,225,225,"sfx/gladiatorking_celebrate_vo_01_dl_opt.ogg",80,"Gladiator King Deploy","Barbarian King Attack",,,,,"Gladiator King Die","King Ability Effect","Pekka Spawn Effect","pekka_sword",,,,,
"SkeletonKing","Barbarian King",,,1500,"TID_SKELETON_KING","image/skin_icons/bk_skeleton_dl_opt.png","sc3d/barbking_skeleton_geo_dl_opt.scw","sc3d/barbking_skeleton_01_dl_opt.pvr","sc3d/barbking_skeleton_01_normal_dl_opt.pvr","sc3d/barbking_skeleton_01_material_dl_opt.pvr",,,"BarbarianKingSkeletonSkin",,10000,225,225,,,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect","Skeleton Spawn Effect","skeleton_Glow",,,,,
"JollyKing","Barbarian King",,,1500,"TID_JOLLY_KING","image/skin_icons/bk_jolly_dl_opt.png","sc3d/barbking_santa_geo_dl_opt.scw","sc3d/barbking_jolly_01_dl_opt.pvr","sc3d/barbking_jolly_01_normal_dl_opt.pvr","sc3d/barbking_jolly_01_material_dl_opt.pvr",,,"BarbarianKingJollySkin",,10000,225,225,,,"Jolly King Deploy","Barbarian King Attack",,,,,"Jolly King Die","King Ability Effect",,"jolly_sword",,,,,
