"Name","TID","IconSWF","IconExportName","SortKey","ExcludeFromChina"
"String","String","String","String","int","boolean"
"ClanWars","TID_CLAN_TAG_CLAN_WARS","sc/ui.sc","icon_tag_clan_wars",1,
"CWL","TID_CLAN_TAG_CLAN_WAR_LEAGUE","sc/ui.sc","icon_tag_war_leagues",1,
"TrophyPushing","TID_CLAN_TAG_TROPHY_PUSHING","sc/ui.sc","icon_tag_trophy_pushing",1,
"FriendlyWar","TID_CLAN_TAG_FRIENDLY_WARS","sc/ui.sc","icon_tag_friendly_wars",1,
"ClanGames","TID_CLAN_TAG_CLAN_GAMES","sc/ui.sc","icon_tag_clan_games",2,
"BuilderBase","TID_CLAN_TAG_BUILDER_BASE","sc/ui.sc","icon_tag_builder_base",2,
"BaseDesigning","TID_CLAN_TAG_BASE_DESIGNING","sc/ui.sc","icon_tag_base_design",2,
"International","TID_CLAN_TAG_INTERNATIONAL","sc/ui.sc","icon_tag_international",2,"true"
"Farming","TID_CLAN_TAG_FARMING","sc/ui.sc","icon_tag_farming",2,
"Donations","TID_CLAN_TAG_DONATIONS","sc/ui.sc","icon_tag_donate",2,
"Friendly","TID_CLAN_TAG_FRIENDLY","sc/ui.sc","icon_tag_friendly",3,
"Talkative","TID_CLAN_TAG_TALKATIVE","sc/ui.sc","icon_tag_talkative",3,
"Underdog","TID_CLAN_TAG_UNDERDOG","sc/ui.sc","icon_tag_underdog",3,
"Relaxed","TID_CLAN_TAG_RELAXED","sc/ui.sc","icon_tag_relaxed",3,
"Competitive","TID_CLAN_TAG_COMPETITIVE","sc/ui.sc","icon_tag_serious",3,
"NewbieFriendly","TID_CLAN_TAG_NEWBIE_FRIENDLY","sc/ui.sc","icon_tag_newbie",3,
"ClanCapital","TID_CLAN_TAG_CLAN_CAPITAL","sc/ui.sc","icon_tag_clan_capital",2,
