"Name","BaseStar0","DPctPerTrophyStar0","BaseStar1","DPctPerTrophyStar1","BaseStar2","DPctPerTrophyStar2","BaseStar3","DPctPerTrophyStar3","BaseStar4","DPctPerTrophyStar4","BaseStar5","DPctPerTrophyStar5","BaseStar6","DPctPerTrophyStar6"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
1,0,10,5,9,16,3,40,1000,40,1000,40,1000,40,1000
2,0,10,5,9,16,3,40,1000,40,1000,40,1000,40,1000
3,0,10,5,9,16,3,40,1000,40,1000,40,1000,40,1000
4,0,10,5,9,16,3,40,1000,40,1000,40,1000,40,1000
5,0,10,5,9,16,3,40,1000,40,1000,40,1000,40,1000
6,0,13,4,17,10,7,18,13,22,13,30,5,40,1000
7,0,13,4,17,10,8,17,13,21,13,29,5,40,1000
8,0,13,4,17,10,9,16,13,20,13,28,5,40,1000
9,0,13,4,17,10,10,15,13,19,13,27,5,40,1000
10,0,13,4,17,10,13,14,13,18,13,26,5,40,1000
