"Name","Emitter","AttachToBone","LockTransformation","OnTop","BoundsCheck","ParticleSizeForBoundsCheck","DepthBias"
"String","String","String","boolean","boolean","boolean","int","int"
"autumn_Celebrate","hero_autumn_burst_3D","spine_mid_s","FALSE","FALSE","TRUE",1800,0
"autumn_Walk","hero_autumn_walk","back_item_03_s","FALSE","FALSE","TRUE",1000,0
"battlecopter_fx","battlecopter_fire","fx_L_cannonballFront_s","TRUE","FALSE","TRUE",1000,11
,"battlecopter_sparks","fx_L_cannonballFront_s","FALSE","FALSE","TRUE",0,0
,"battlecopter_fire","fx_L_cannonballRear_s","FALSE","FALSE","TRUE",0,0
,"battlecopter_sparks","fx_L_cannonballRear_s","FALSE","FALSE","TRUE",0,0
,"battlecopter_fire","fx_R_cannonballFront_s","FALSE","FALSE","FALSE",0,0
,"battlecopter_sparks","fx_R_cannonballFront_s","FALSE","FALSE","FALSE",0,0
,"battlecopter_fire","fx_R_cannonballRear_s","FALSE","FALSE","FALSE",0,0
,"battlecopter_sparks","fx_R_cannonballRear_s","FALSE","FALSE","FALSE",0,0
"champ_aq_arrow","hero_champion_aq_firearrow","arrow_s","TRUE","FALSE","TRUE",300,45
,"hero_champion_arrow_spark","arrow_s","FALSE","FALSE","TRUE",300,46
,"hero_champion_arrow_glow_faint","arrow_s","TRUE","FALSE","FALSE",0,0
"champ_aq_firearrow","hero_champion_aq_firearrow","arrow_s","TRUE","FALSE","TRUE",1000,11
"champ_gw_staff","hero_champion_gw_firestaff","bulb_s","TRUE","FALSE","TRUE",300,45
,"hero_champion_gw_sparks","bulb_s","FALSE","FALSE","TRUE",400,46
,"hero_champion_gw_glow","bulb_s","TRUE","FALSE","FALSE",0,0
"champ_sword","hero_champion_sword","R_gunbone_01_s","TRUE","FALSE","TRUE",500,45
,"hero_champion_sword_02","R_gunbone_01_s","FALSE","FALSE","TRUE",500,46
,"hero_champion_sword_spark","R_gunbone_01_s","FALSE","FALSE","TRUE",1200,46
,"hero_champion_sword_glow","R_gunbone_01_s","TRUE","FALSE","TRUE",450,47
"champ_sword_02","hero_champion_sword_smoke","R_gunbone_01_s","TRUE","FALSE","TRUE",1000,11
,"hero_champion_sword_glow_faint","R_gunbone_01_s","TRUE","FALSE","FALSE",0,10
"champ_sword_menu","hero_champion_sword","R_gunbone_01_s","TRUE","FALSE","FALSE",500,33
,"hero_champion_sword_02","R_gunbone_01_s","FALSE","FALSE","TRUE",500,34
,"hero_champion_sword_spark","R_gunbone_01_s","FALSE","FALSE","TRUE",900,34
,"hero_champion_sword_glow","R_gunbone_01_s","TRUE","FALSE","TRUE",450,35
"clockwork_battery","clockwork_battery_fx","L_gunbone_05_s","TRUE","FALSE","TRUE",200,0
"clockwork_glow","clockwork_glow","L_gunbone_01_s","TRUE","FALSE","TRUE",500,0
"clockwork_intensify","clockwork_electricity_burst","L_gunbone_01_s","TRUE","TRUE","TRUE",2000,0
"clockwork_intensify2","clockwork_electricity_burst","L_gunbone_01_s","TRUE","TRUE","TRUE",2000,0
"dark_warden_magicfx","hero_Dark_warden_magicfx","bookBase_s","TRUE","FALSE","TRUE",1000,11
"darkages_aq_fx","darkages_aq_fire","fx_arrowFlame_s","TRUE","FALSE","TRUE",1000,11
,"hero_darkages_aq_sparks","fx_arrowFlame_s","FALSE","FALSE","TRUE",200,0
,"darkages_aq_smoke","fx_arrowFlame_s","FALSE","FALSE","TRUE",1000,0
,"hero_darkages_aq_fire2","fx_arrowFlame_s","FALSE","FALSE","TRUE",1000,0
"electrowl_active","electro_owl_glow",,"TRUE","TRUE","TRUE",1000,0
,"electro_owl_circle",,"TRUE","TRUE","TRUE",1000,0
"electrowl_inactive","electro_owl_glow",,"TRUE","FALSE","TRUE",1000,0
,"electro_owl_circle",,"TRUE","FALSE","TRUE",1000,0
"electrowl_stunned","electro_owl_glow_stunned",,"TRUE","FALSE","TRUE",1000,0
"empty","empty","spine_mid_s","TRUE","FALSE","TRUE",200,0
"flying_fortress_attack","flying_fortress_attack_em","cannonEmitter_jnt","TRUE","TRUE","TRUE",1000,50
"flying_fortress_smoke","flying_fortress_smoke_em","chimneyEmitter_jnt","FALSE","TRUE","TRUE",1700,50
"goblin_aq_fx","hero_goblin_aq_glow","fx_fuse_s","TRUE","FALSE","TRUE",1000,11
,"hero_goblin_aq_sparks","fx_fuse_s","FALSE","FALSE","FALSE",0,0
"grandwarden_darkages_weapon_glow","hero_warden_darkages_weapon_glow","fx_mace_s","TRUE","FALSE","TRUE",500,50
,"hero_warden_darkages_weapon_spark","fx_mace_s","TRUE","FALSE","TRUE",500,50
"hero_cny_king_tulips","hero_cny_tulips","L_toe_s","FALSE","FALSE","TRUE",600,-50
"ice_Celebrate","hero_ice_burst","spine_mid_s","TRUE","FALSE","TRUE",2000,0
,"hero_ice_snow_spiral",,"TRUE","FALSE","TRUE",0,0
"ice_mist","hero_ice_mist","spine_mid_s","TRUE","FALSE","TRUE",900,0
"jolly_sword","hero_jolly_sword","L_gunbone_01_s","TRUE","FALSE","TRUE",300,10
"jungle_warden_staff","hero_jungle_warden_glow2","particle_jnt","FALSE","FALSE","TRUE",0,0
"miner_queen_bomb","miner_fuse_glow_fx","bomb_s","TRUE","FALSE","TRUE",200,0
,"miner_fuse_delay","bomb_s","FALSE","FALSE","FALSE",0,0
,"miner_candle_glow_fx","head_s","FALSE","FALSE","FALSE",0,0
,"miner_aq_candle_fire_asset","head_s","FALSE","FALSE","FALSE",0,0
"miner_queen_bomb_attack","miner_fuse_glow_fx_attack","bomb_s","TRUE","FALSE","TRUE",200,0
,"miner_fuse","bomb_s","FALSE","FALSE","FALSE",0,0
,"miner_candle_glow_fx","head_s","FALSE","FALSE","FALSE",0,0
,"miner_aq_candle_fire_asset","head_s","FALSE","FALSE","FALSE",0,0
"party_bk_purple","party_bk_notes","B_effect_jnt","TRUE","TRUE","TRUE",0,0
"pekka_sword","hero_pekka_sword","L_gunbone_01_s","TRUE","FALSE","TRUE",300,18
"pet_lizard_poison","pet_lizard_bubbles","spine01_s","FALSE","FALSE","TRUE",1000,11
,"pet_lizard_mist","spine01_s","FALSE","FALSE","TRUE",1000,11
"pet_phoenix_sparks1","pet_phoenix_sparks","L_elbow_s","TRUE","TRUE","TRUE",500,11
,"pet_phoenix_sparks","R_elbow_s","FALSE","FALSE","TRUE",500,11
,"pet_phoenix_sparks","tailBase_s","FALSE","FALSE","TRUE",500,11
"pirate_king_sword_sparks","hero_pirateking_sword","R_wrist_s","TRUE","FALSE","TRUE",100,45
"pirate_king_sword_sparks_cheer","hero_pirateking_sword_extended","R_wrist_s","TRUE","FALSE","TRUE",100,45
"pirate_warden_puff","hero_pirate_GW_puff",,"FALSE","FALSE","TRUE",650,0
"pirate_warden_puff2","hero_pirate_GW_puff2",,"FALSE","FALSE","TRUE",650,0
"rocket_trail_01","rocket_trail_01",,"FALSE","FALSE","TRUE",900,-5
,"rocket_trail_02",,"FALSE","FALSE","FALSE",0,-5
"skeleton_Glow","test2","spine_mid_s","TRUE","FALSE","TRUE",200,0
"skin_aq_magic_sparks","skin_magic_sparks_aq","R_hair_effect_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_aq","arrow_effect_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_aq_rotate","bow_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_aq_rotate","bow_effect04_s","FALSE","FALSE","TRUE",300,11
"skin_bk_magic_sparks","skin_magic_sparks_bk","glove_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_bk_rotate","sword_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_bk_rotate","sword_effect02_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_bk_rotate","sword_effect03_s","FALSE","FALSE","TRUE",300,11
"skin_gw_magic_sparks","skin_magic_sparks_gw","R_wing_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_gw","R_wing_effect02_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_gw","L_wing_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_gw","L_wing_effect02_s","FALSE","FALSE","TRUE",300,11
"skin_gw_magic_sparks_menu","skin_magic_sparks_gw","R_wing_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_gw","R_wing_effect02_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_gw","L_wing_effect01_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_gw","L_wing_effect02_s","FALSE","FALSE","TRUE",300,11
,"magic_gw_attack1","R_weapon_01_s","TRUE","FALSE","TRUE",300,14
"skin_rc_magic_sparks","skin_magic_sparks_rc","spear_s","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_rc","ponytail_s1","FALSE","FALSE","TRUE",300,11
,"skin_magic_sparks_rc_rotate","egl_tail01_s","FALSE","FALSE","TRUE",300,11
"test","test","L_gunbone_01_s","TRUE","FALSE","TRUE",200,0
,"test2","L_gunbone_01_s","TRUE","FALSE","TRUE",200,0
"test_sword","hero_pekka_sword","R_gunbone_01_s","TRUE","FALSE","TRUE",300,0
"unicorn_active","unicorn_glow_big","fx_jnt","TRUE","TRUE","TRUE",500,0
,"unicorn_sparks","fx_jnt","TRUE","TRUE","TRUE",0,0
"unicorn_active_menu","unicorn_glow_big_menu","fx_jnt","TRUE","TRUE","TRUE",500,0
,"unicorn_sparks_menu","fx_jnt","TRUE","TRUE","TRUE",0,0
"unicorn_inactive","unicorn_glow_faint","fx_jnt","TRUE","TRUE","TRUE",500,0
"warmachine_weapon_glow","warmachine_electro_sparks","R_weapon_01_s","TRUE","FALSE","TRUE",2000,25
,"warmachine_hammer_glow","R_weapon_01_s","TRUE","FALSE","TRUE",2000,25
"winter_warden_staff","hero_winter_warden_fire","particle_jnt","TRUE","FALSE","TRUE",500,1
,"hero_winter_warden_fire_02","particle_jnt","FALSE","FALSE","TRUE",500,1
,"hero_winter_warden_spark","particle_jnt","FALSE","FALSE","TRUE",1200,1
,"hero_winter_warden_glow","particle_jnt","TRUE","FALSE","TRUE",450,1
