"Name","Buildings","BuildingX","BuildingY","Attacker","AttackerTimeMS","AttackerX","AttackerY","CameraScale","CameraOffsetX","CameraOffsetY"
"String","String","int","int","String","int","int","int","int","int","int"
"Defense","<selected>",24,24,"Barbarian",500,29,29,100,50,50
,,,,"Barbarian",1000,29,26,,,
,,,,"Barbarian",1500,26,29,,,
,,,,,,,,,,
"AirAndGroundDefense","<selected>",24,24,"Barbarian",500,29,29,100,50,50
,,,,"Balloon",5500,29,29,,,
,,,,,,,,,,
,,,,,,,,,,
"Defense2","<selected>",24,24,"Barbarian2",500,31,31,100,50,50
,,,,"Barbarian2",600,30,31,,,
,,,,,,,,,,
,,,,,,,,,,
"DefenseLongRange","<selected>",24,24,"Barbarian",1000,35,35,100,100,100
,"Wall",22,22,"Barbarian",2000,35,15,,,
,"Wall",23,22,"Barbarian",3000,15,35,,,
,"Wall",24,22,"Barbarian",4000,35,35,,,
,"Wall",25,22,,,,,,,
,"Wall",26,22,,,,,,,
,"Wall",27,22,,,,,,,
,"Wall",28,22,,,,,,,
,"Wall",27,22,,,,,,,
,"Wall",28,22,,,,,,,
,"Wall",22,28,,,,,,,
,"Wall",23,28,,,,,,,
,"Wall",24,28,,,,,,,
,"Wall",25,28,,,,,,,
,"Wall",26,28,,,,,,,
,"Wall",27,28,,,,,,,
,"Wall",28,28,,,,,,,
,"Wall",22,23,,,,,,,
,"Wall",22,24,,,,,,,
,"Wall",22,25,,,,,,,
,"Wall",22,26,,,,,,,
,"Wall",22,27,,,,,,,
,"Wall",28,23,,,,,,,
,"Wall",28,24,,,,,,,
,"Wall",28,25,,,,,,,
,"Wall",28,26,,,,,,,
,"Wall",28,27,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DefenseLongRange2","<selected>",24,24,"Barbarian2",1000,35,35,100,50,50
,"WallStraight",22,22,"Barbarian2",2000,35,15,,,
,"WallStraight",23,22,"Barbarian2",3000,15,35,,,
,"WallStraight",24,22,,,,,,,
,"WallStraight",25,22,,,,,,,
,"WallStraight",26,22,,,,,,,
,"WallStraight",27,22,,,,,,,
,"WallStraight",28,22,,,,,,,
,"WallStraight",27,22,,,,,,,
,"WallStraight",28,22,,,,,,,
,"WallStraight",22,28,,,,,,,
,"WallStraight",23,28,,,,,,,
,"WallStraight",24,28,,,,,,,
,"WallStraight",25,28,,,,,,,
,"WallStraight",26,28,,,,,,,
,"WallStraight",27,28,,,,,,,
,"WallStraight",28,28,,,,,,,
,"WallStraight",22,23,,,,,,,
,"WallStraight",22,24,,,,,,,
,"WallStraight",22,25,,,,,,,
,"WallStraight",22,26,,,,,,,
,"WallStraight",22,27,,,,,,,
,"WallStraight",28,23,,,,,,,
,"WallStraight",28,24,,,,,,,
,"WallStraight",28,25,,,,,,,
,"WallStraight",28,26,,,,,,,
