"Name","ExpPoints","IsVisible","TroopRequestCooldown","TroopDonationLimit","SpellDonationLimit","TroopDonationUpgrade","WarLootCapacityPercent","WarLootMultiplierPercent","BadgeLevel","BannerSWF"
"String","int","boolean","int","int","int","int","int","int","int","String"
1,500,"TRUE",20,6,1,,100,100,0,"badge_lvl1"
2,1200,"TRUE",15,,,,110,,,
3,1900,"TRUE",,,,,,110,,
4,3100,"TRUE",,7,2,,120,,,
5,3800,"TRUE",,,,1,,115,1,"badge_lvl2"
6,4500,"TRUE",,,,,130,,,
7,5200,"TRUE",10,,,,,120,,
8,5900,"TRUE",,9,3,,140,,,
9,7900,"TRUE",,,,,,125,,"badge_lvl3"
10,8600,"TRUE",,,,2,150,,2,
11,9300,"TRUE",,,,,,,,"badge_lvl4"
12,10000,"TRUE",,,,,,,3,
13,10700,"TRUE",,,,,,,,"badge_lvl5"
14,15700,"TRUE",,,,,,,4,"badge_lvl5"
15,16400,"TRUE",,,,,,,,"badge_lvl6"
16,17100,"TRUE",,,,,,,5,"badge_lvl7"
17,17800,"TRUE",,,,,,,,
18,18500,"TRUE",,,,,,,6,
19,23500,"TRUE",,,,,,,,
20,24200,"TRUE",,,,,,,7,
21,24900,,,,,,,,,
22,25600,,,,,,,,,
23,26300,,,,,,,,,
24,31300,,,,,,,,,
25,32000,,,,,,,,,
26,32700,,,,,,,,,
27,33400,,,,,,,,,
28,34100,,,,,,,,,
29,39100,,,,,,,,,
30,39800,,,,,,,,,
31,40500,,,,,,,,,
32,41200,,,,,,,,,
33,41900,,,,,,,,,
34,46900,,,,,,,,,
35,47600,,,,,,,,,
36,48300,,,,,,,,,
37,49000,,,,,,,,,
38,49700,,,,,,,,,
39,54700,,,,,,,,,
40,55400,,,,,,,,,
41,56100,,,,,,,,,
42,56800,,,,,,,,,
43,57500,,,,,,,,,
44,62500,,,,,,,,,
45,63200,,,,,,,,,
46,63900,,,,,,,,,
47,64600,,,,,,,,,
48,65300,,,,,,,,,
49,70300,,,,,,,,,
50,71000,,,,,,,,,
