"Name","TID","IconSWF","IconExportName","SortKey"
"String","String","String","String","int"
"ClanWars","TID_CLAN_TAG_CLAN_WARS","sc/ui.sc","icon_tag_clan_wars",1
"CWL","TID_CLAN_TAG_CLAN_WAR_LEAGUE","sc/ui.sc","icon_tag_war_leagues",1
"TrophyPushing","TID_CLAN_TAG_TROPHY_PUSHING","sc/ui.sc","icon_tag_trophy_pushing",1
"FriendlyWar","TID_CLAN_TAG_FRIENDLY_WARS","sc/ui.sc","icon_tag_friendly_wars",1
"ClanGames","TID_CLAN_TAG_CLAN_GAMES","sc/ui.sc","icon_tag_clan_games",2
"BuilderBase","TID_CLAN_TAG_BUILDER_BASE","sc/ui.sc","icon_tag_builder_base",2
"BaseDesigning","TID_CLAN_TAG_BASE_DESIGNING","sc/ui.sc","icon_tag_base_design",2
"Farming","TID_CLAN_TAG_FARMING","sc/ui.sc","icon_tag_farming",2
"ActiveDonator","TID_CLAN_TAG_ACTIVE_DONATOR","sc/ui.sc","icon_tag_donate",2
"ActiveDaily","TID_CLAN_TAG_ACTIVE_DAILY","sc/ui.sc","icon_tag_active_daily",3
"HungryLearner","TID_CLAN_TAG_HUNGRY_LEARNER","sc/ui.sc","icon_tag_hungry_learner",3
"Friendly","TID_CLAN_TAG_FRIENDLY","sc/ui.sc","icon_tag_friendly",3
"Talkative","TID_CLAN_TAG_TALKATIVE","sc/ui.sc","icon_tag_talkative",3
"Teacher","TID_CLAN_TAG_TEACHER","sc/ui.sc","icon_tag_teacher",3
"Competitive","TID_CLAN_TAG_COMPETITIVE","sc/ui.sc","icon_tag_serious",3
"Veteran","TID_CLAN_TAG_VETERAN","sc/ui.sc","icon_tag_veteran",3
"Newbie","TID_CLAN_TAG_NEWBIE","sc/ui.sc","icon_tag_newbie",3
"AmateurAttacker","TID_CLAN_TAG_AMATEUR_ATTACKER","sc/ui.sc","icon_tag_amateur_attacker",3
"ClanCapital","TID_CLAN_TAG_CLAN_CAPITAL","sc/ui.sc","icon_tag_clan_capital",2
