"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","RotateEmitter","Effect","RotateEffect","SpawnEffect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPositionOnCharacters","SmallRandomHitPositionOnBuildings","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","HitSpellInheritAffectType","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","MaxTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent","UseNormalizeLenghtFix","MaxBounceDistance","StopToTargetTime","SmoothDamage","StartOffsetFromGunBone","PenetratingHitBoxWidth","MaxHitBuildings","ReturningProjectile","RetargetRadius","RetargetTimer","3D","DepthBiasFront","DepthBiasBack"
"String","String","String","boolean","int","String","boolean","String","boolean","String","int","int","int","boolean","String","String","boolean","boolean","boolean","boolean","boolean","boolean","int","String","int","boolean","boolean","int","int","int","int","int","String","String","int","int","boolean","int","int","boolean","boolean","int","int","boolean","int","int","String","int","int"
"Cannonball","sc/buildings.sc","basic_turret_ammo","FALSE",0,,"FALSE",,"FALSE",,1200,50,50,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball2","sc/buildings.sc","basic_turret_ammo2","FALSE",0,,"FALSE",,"FALSE",,1200,48,54,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball4","sc/buildings.sc","basic_turret_ammo4","FALSE",0,,"FALSE",,"FALSE",,1200,54,58,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball5","sc/buildings.sc","basic_turret_ammo5","FALSE",0,,"FALSE",,"FALSE",,1200,56,62,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball7","sc/buildings.sc","basic_turret_ammo7","FALSE",0,,"FALSE",,"FALSE",,1200,60,66,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball10","sc/buildings.sc","basic_turret_ammo10","FALSE",0,,"FALSE",,"FALSE",,1200,65,70,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball12","sc/buildings.sc","basic_turret_ammo12","FALSE",0,"Spark Trail","FALSE",,"FALSE",,1200,70,72,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball13","sc/buildings.sc","basic_turret_ammo13","FALSE",0,"Spark Trail B","FALSE",,"FALSE",,1200,75,74,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball14","sc/buildings.sc","basic_turret_ammo14","FALSE",0,"Spark Trail B","FALSE",,"FALSE",,1200,75,76,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Cannonball15","sc/buildings.sc","basic_turret_ammo15","FALSE",0,"Spark Trail Jungle","FALSE",,"FALSE",,1200,75,76,"FALSE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Arrow_small","sc/characters.sc","arrow_ammo_small","FALSE",0,,"FALSE",,"FALSE",,1400,45,50,"TRUE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Arrow_small_fire","sc/characters.sc","arrow_ammo_small_fire","FALSE",0,,"FALSE",,"FALSE",,1400,45,50,"TRUE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Arrow_small_elixirFire","sc/characters.sc","arrow_ammo_small_elixirFire","FALSE",0,,"FALSE",,"FALSE",,1400,45,50,"TRUE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
"Arrow_small_darkElixirFire","sc/characters.sc","arrow_ammo_small_darkElixirFire","FALSE",0,,"FALSE",,"FALSE",,1400,45,50,"TRUE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",100,,,"FALSE","FALSE",0,0,0,,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,"FALSE",,,,0,0
