"TID","EN","AR","CN","CNT","DE","ES","FI","FR","FA","ID","IT","JP","KR","MS","NO","NL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_CHARACTER_INFO_SIEGE_CART","A cannon on wheels?! Bet they won't see that coming! Tons of firepower, but not that sturdy!","مدفع يتحرك على عجلات؟! أراهن أنهم لن يتوقعوا ذلك! قوة نارية هائلة، وإن لم تكن ثابتة كثيرًا!","带轮子的加农炮？敌军肯定没料到！加农炮战车火力强劲，但不是那么坚固！","帶輪子的加農炮？敵軍一定沒料到！加農炮戰車火力強勁，但不是那麼堅固！","Eine Kanone auf Rädern?! Das sieht keiner kommen! Die Kanonenkarre hat viel Feuerkraft, ist aber nicht besonders stabil.","¿Un cañón con ruedas? ¡Ver para creer! Es bastante potente, pero no muy resistente.","Pyörillä varustettu tykki?! Tätä viholliset eivät varmasti osanneet odottaa! Se on ladattu täyteen tuhovoimaa, mutta se ei ole kovin kestävä.","Un canon sur roues ? Je parie qu'ils ne l'ont pas vu venir ! Très puissant, mais assez peu résistant.","توپ روی چرخ!؟ شرط می‌بندم انتظار این یکی را نداشتند! قدرت شلیکش فوق‌العاده است، ولی خیلی جوندار نیست!","Meriam di atas roda?! Siapa yang menduga?! Sayangnya, karena meriam yang dipasang terlalu besar, rangkanya menjadi terlalu ringkih!","Un cannone con le ruote?! Chi se lo aspettava, eh? Potenza di fuoco da vendere, ma non è molto robusto!","車輪のついた大砲！？ 敵もまさかと思うでしょう！ あまり頑丈ではありませんが、素晴らしい火力を発揮します！","바퀴 달린 대포라니!적들이 놀라 자빠지겠군요!화력은 끝내주지만 그리 튼튼하지는 않습니다!","Meriam beroda?! Saya yakin mereka akan terkejut! Banyak kuasa api, tetapi, tidak begitu stabil!","En kanon på hjul? Det kommer nok som julekvelden på kjerringa på dem! Tonnevis av ildkraft, men egentlig ikke så solid.","Een kanon op wielen? Dat zien ze vast niet aankomen. Massa's vuurkracht, maar niet zo robuust.","Um canhão com rodinha: quem podia imaginar? Poderoso, mas não muito firme.","Пушка на колесах?! Спорим, этого никто не ожидал! Мощнейшая военная машина, вот только не очень крепкая.","ปืนใหญ่ติดล้อรึ?! พวกนั้นต้องคาดไม่ถึงแน่ๆ! กำลังยิงเหลือล้น แต่ไม่มั่นคงเท่าไหร่!","Tekerlekli bir top mu? Bunu kimse tahmin edemezdi! Ateş gücü yüksek ama çok dayanıklı değil.","Đã súng đại bác rồi còn được gắn bánh xe? Cá là kẻ địch sẽ không phòng bị được đâu! Hỏa lực cực mạnh, nhưng không chắc chắn lắm!"
"TID_DAILY_TASK_1_TITLE","Daily Multiplayer Battle","نجمة المعركة اليومية","联机模式每日一星","多人遊戲每日一星","Stern aus täglichen Kämpfen","Estrella de batalla diaria","Päivän taistelutähti","Étoile de combat","ستاره نبرد روزانه","Bintang Pertempuran Harian","Stella del multigiocatore","毎日戦場のスター","일일 전투 별","Bintang Pertempuran Harian","Daglig kampstjerne","Dagelijkse gevechtsster","Estrela de batalha diária","Ежедневная боевая звезда","ดาวการรบประจำวัน","Günlük Savaş Yıldızı","Sao Chiến đấu hằng ngày"
"TID_DAILY_TASK_1_DESC","Get a Star from a Home Village Multiplayer Battle.","احصل على نجمة من معركة متعددة اللاعبين.","在联机模式中赢得一颗胜利之星。","在多人遊戲中贏得一顆勝利之星。","Verdiene einen Stern in einem Mehrspieler-Kampf.","Consigue una estrella en una batalla multijugador.","Ansaitse tähti moninpelitaistelusta.","Gagnez une étoile dans un combat multijoueur.","یک ستاره را از نبرد چند نفره بگیرید.","Dapatkan Bintang dari Pertempuran Multipemain.","Ricevi una stella da una battaglia multigiocatore.","マルチプレイで星1個を獲得する。","멀티플레이 전투에서 별 1개 획득","Meraih satu bintang dari pertempuran berbilang pemain.","Få en stjerne fra en flerspillerkamp.","Verdien een ster in een multiplayergevecht.","Ganhe uma estrela numa batalha multijogador.","Заработайте звезду в многопользовательском режиме.","รับดาวจากการต่อสู้แบบผู้เล่นหลายคน","Çok oyunculu bir Savaştan bir Yıldız kazan.","Kiếm một Sao từ Trận chiến Nhiều người chơi."
"TID_DAILY_TASK_2_TITLE","Daily Builder Battle","نجمة المواجهة اليومية","对抗赛每日一星","對抗賽每日一星","Stern aus täglichen Duellen","Estrella de enfrentamiento diaria","Päivän kaksintaistelutähti","Étoile des ouvriers","ستاره رو در رو روزانه","Bintang Versus Harian","Stella dello scontro a due","毎日大工の拠点戦のスター","일일 대전 별","Bintang Berbalas Harian","Daglig duellstjerne","Dagelijkse duelster","Estrela simultânea diária","Ежедневная звезда за бой с противником","ดาวประจันหน้าประจำวัน","Günlük Karşılıklı Savaş Yıldızı","Sao đối đầu hằng ngày"
"TID_DAILY_TASK_2_DESC","Get a Star from a Builder Base Battle.","احصل على نجمة من معركة بنّاء.","在建筑大师基地战斗中赢得一颗胜利之星。","在建築大師戰鬥中贏得1顆勝利之星。","Verdiene einen Stern in einem Baukampf.","Consigue una estrella en una batalla del constructor.","Ansaitse tähti rakentajan taistelussa.","Gagnez une étoile dans un combat des ouvriers.","یک ستاره از نبرد سازنده بگیرید.","Raih satu Bintang dari Pertempuran Tukang.","Vinci una stella in uno scontro tra costruttori.","大工の拠点戦で星1個を獲得する。","장인 전투에서 별 1개 획득","Meraih satu bintang dari Pertempuran Pembina.","Få en stjerne fra en byggerkamp.","Verdien een ster in een bouwersbasisgevecht.","Ganhe uma estrela numa batalha tática.","Получите звезду в бою деревни строителя.","รับดาวจากศึกช่างก่อสร้าง","İnşaatçı Savaşından bir yıldız kazan.","Kiếm được một Sao từ một Trận chiến Thợ xây."
"TID_BUILDER_BASE_BUTTON_STAR_BONUS_COUNTER","<progress>/<total>","<total>/<progress>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>","<progress>/<total>"
"TID_GOBLIN_WARDEN","Goblin Warden","آمر الغيلان","哥布林守护者","哥布林守護者","Koboldwächter","Centinela duende","Hiisisuojelija","Gardien gobelin","نگهبان گابلین","Wali Goblin","Sorvegliante goblin","ゴブリン ウォーデン","고블린 워든","Warden Goblin","Nissevokter","Koboldenwachter","Guardião Goblin","Хранитель-гоблин","ผู้คุมก็อบลิน","Goblin Koruyucu","Quản giáo Yêu tinh"
"TID_SCENERY_BOOKS_OF_CLASH","Books of Clash Scenery","منظر Books of Clash","冲突与战争","CLASH古籍","Clash-Bücher-Szenerie","Paisaje de los Cuentos de Clash","Clash-kirjojen maisema","Décor Légendes de Clash","منظره کتاب‌های کلش","Latar Books of Clash","Villaggio di The Books of Clash","ブック・オブ・クラッシュの背景","클래시 서사시 배경","Latar Books of Clash","Books of Clash-landskap","Boek van Clash-omgeving","Paisagem Books of Clash","Оформление Books of Clash","ฉาก Books of Clash","Clash Kitapları Arka Planı","Phong cảnh Book of Clash"
"TID_DECO_GOBLIN_CELLAR","Goblin's Pit","قبو الغيلان","哥布林地窖","哥布林地窖","Koboldgrube","Sótano de duendes","Hiisien monttu","Fosse gobeline","گودال گابلین","Rubanah Goblin","Sotterraneo dei goblin","ゴブリンの穴ぐら","고블린 구덩이","Ruang bawah tanah Goblin","Nissegrop","Koboldenkuil","Fosso de Goblins","Гоблинское подземелье","หลุมก็อบลิน","Goblin Çukuru","Hầm Yêu tinh"
