"Name","TID","SWF","ExportName","IconSWF","IconExportName","UnlockLevel","RequiredCapitalHallLevels","Layer","Json","DeployAreaX","DeployAreaY","DeployAreaWidth","DeployAreaHeight","RoadConnectionX","RoadConnectionY","WallCostMultiplier","VillageBackground","RaidVillageBackground","AssignHouseOwners"
"String","String","String","String","String","String","int","int","int","String","int","int","int","int","int","int","int","String","String","boolean"
"CapitalPeakDistrict","TID_DISTRICT_CAPITAL_PEAK",,,"sc/ui_cc.sc","generic_district_icon",1,,0,"level/starting_capital_peak.json",48,24,2,3,49,25,280,"CapitalCore","CapitalCore_Raid","true"
,,,,,,,,,,,,,,25,49,,,,
,,,,,,,,,,,,,,30,0,,,,
,,,,,,,,,,,,,,0,16,,,,
"BarbarianCampDistrict","TID_DISTRICT_BARBARIAN_CAMP",,,"sc/ui_cc.sc","generic_district_icon",2,2,1,"level/starting_barbarian_camp.json",48,26,1,23,49,25,200,"Capital_layout_2c_1","Capital_layout_2c_1_Raid",
,,,,,,,3,,,,,,,,,,,,
,,,,,,,5,,,,,,,,,,,,
,,,,,,,7,,,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,,
"WizardValleyDistrict","TID_DISTRICT_WIZARD_VALLEY",,,"sc/ui_cc.sc","generic_district_icon",3,3,1,"level/starting_wizard_valley.json",48,0,2,50,49,25,180,"Capital_layout_2a","Capital_layout_2a_Raid",
,,,,,,,4,,,,,,,,,,,,
,,,,,,,6,,,,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,
"BalloonLagoonDistrict","TID_DISTRICT_BALLOON_LAGOON",,,"sc/ui_cc.sc","generic_district_icon",4,4,1,"level/starting_balloon_lagoon.json",48,15,2,20,49,25,120,"Capital_layout_2a","Capital_layout_2a_Raid",
,,,,,,,5,,,,,,,0,24,,,,
,,,,,,,7,,,,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,
"BuilderWorkshopDistrict","TID_DISTRICT_BUILDERS_WORKSHOP",,,"sc/ui_cc.sc","generic_district_icon",5,5,1,"level/starting_builders_workshop.json",48,32,2,2,49,32,180,"Capital_layout_2a","Capital_layout_2a_Raid",
,,,,,,,6,,,48,13,2,2,49,13,,,,
,,,,,,,7,,,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,
"DragonCliffDistrict","TID_DISTRICT_DRAGON_CLIFFS",,,"sc/ui_cc.sc","generic_district_icon",6,6,1,"level/starting_dragon_cliffs.json",48,20,2,5,49,25,140,"Capital_layout_2d","Capital_layout_2d_Raid",
,,,,,,,7,,,,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,
"GolemQuarryDistrict","TID_DISTRICT_GOLEM_QUARRY",,,"sc/ui_cc.sc","generic_district_icon",7,7,1,"level/starting_golem_quarry.json",49,0,1,35,49,25,160,"Capital_layout_2b","Capital_layout_2b_Raid",
,,,,,,,7,,,47,9,2,26,,,,,,
,,,,,,,8,,,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,
"SkeletonParkDistrict","TID_DISTRICT_SKULL_YARD",,,"sc/ui_cc.sc","generic_district_icon",8,8,1,"level/starting_skeleton_park.json",48,25,5,4,49,25,100,"Capital_layout_2a","Capital_layout_2a_Raid",
,,,,,,,8,,,48,13,2,4,49,18,,,,
,,,,,,,9,,,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,,
,,,,,,,11,,,,,,,,,,,,
