"Name","Disabled","TID","InfoTID","SWF","ExportName","TileX100","TileY100","AutomaticUpgrades","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","RequiresBuilder","BuildResource","BuildCost","TownHallLevel","PickUpEffect","Animations","AnimX","AnimY","AnimID","AnimDir","AnimVisibilityOdds","HasInfoScreen","VillageType","Stage","UnitHousing","HousesUnits","AllianceBuilding","LightsOn","GoToStage"
"String","boolean","String","String","String","String","int","int","boolean","int","int","int","int","boolean","String","int","int","String","String","int","int","int","int","int","boolean","int","int","int","boolean","boolean","boolean","int"
"Shipyard",,"TID_VILLAGE_OBJECT_SHIP","TID_VILLAGE_OBJECT_SHIP_INFO","sc/content.sc","northwestern_wreck","2700","5750",,,,,"1","true","Gold","0","4","Tap Ship",,,,,,,"true",,,,,,"true",
,,,,"sc/content.sc","northwestern","2500","5460",,"0","0","0","5",,,,"4","Tap Ship",,,,,,,,,,,,,,
"Shipyard2",,"TID_VILLAGE_OBJECT_SHIP","TID_VILLAGE_OBJECT_SHIP_INFO","sc/content.sc","northwestern","950","-1600",,,,,,"true",,,"4","Tap Ship",,,,,,,"true","1",1,,,,"true",
"Rowboat",,"TID_VILLAGE_ROWBOAT","TID_VILLAGE_OBJECT_ROWBOAT_INFO","sc/content.sc","rowboat_idle_nowheel","3400","5460",,,,,"1","true","Gold","25000","4","Tap Ship",,,,,,,"true",,,,,,"true",
"Rowboat2",,"TID_VILLAGE_ROWBOAT","TID_VILLAGE_OBJECT_ROWBOAT_INFO","sc/content.sc","rowboat_idle","430","-1300",,,,,,"true",,,"4","Tap Ship",,,,,,,"true","1",1,,,,,
"ClanGate",,"TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_0","-250","2150","true",,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"FALSE",,,,,"true","true",
,,,,,"clan_gate_1",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"clan_gate_2",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"clan_gate_3",,,,,,,,,,,,,,,,,,,,,,,,,,
