"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","RotateEmitter","Effect","RotateEffect","SpawnEffect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPositionOnCharacters","SmallRandomHitPositionOnBuildings","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","HitSpellInheritAffectType","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","MaxTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent","UseNormalizeLenghtFix","MaxBounceDistance","StopToTargetTime","SmoothDamage","StartOffsetFromGunBone","PenetratingHitBoxWidth","MaxHitBuildings","ReturningProjectile","RetargetRadius","RetargetTimer","3D","DepthBiasFront","DepthBiasBack"
"String","String","String","boolean","int","String","boolean","String","boolean","String","int","int","int","boolean","String","String","boolean","boolean","boolean","boolean","boolean","boolean","int","String","int","boolean","boolean","int","int","int","int","int","String","String","int","int","boolean","int","int","boolean","boolean","int","int","boolean","int","int","String","int","int"
"Rocket Artillery Ammo1","sc/buildings_cc.sc","capital_mortar_lvl1_projectile",,,,,,,,400,190,0,"true","sc/buildings.sc","simple_shadow_small",,,"true",,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,"Mortar Rocket",100,
"Rocket Artillery Ammo2","sc/buildings_cc.sc","capital_mortar_lvl1_projectile",,,,,,,,400,190,0,"true","sc/buildings.sc","simple_shadow_small",,,"true",,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,"Mortar Rocket 2",100,
"Giant Cannon Projectile","sc/buildings.sc","basic_turret_ammo",,,,,,,,1200,80,50,,"sc/buildings.sc","shadow_trollBoulder",,,"true",,,"true",350,,,,,,,,,,"trollBoulder_destroyed",,,,,,,,,,,,,,,,
"Cannonball","sc/buildings.sc","basic_turret_ammo",,,,,,,,1200,50,50,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannonball2","sc/buildings.sc","basic_turret_ammo2",,,,,,,,1200,48,54,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannonball4","sc/buildings.sc","basic_turret_ammo4",,,,,,,,1200,54,58,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,
"SuperDragonProjectile","sc/buildings.sc","Flamer_projectile_1",,,"Flamer_trail7-8",,,,,360,90,30,,,,,,"true",,"true",,90,,,,"true",,,,,,,,75,,,,,,,,,,,,,,
"ArcherArrow","sc/characters.sc","arrow_ammo_small",,,,,,,,1050,25,28,"true",,,,,"true",,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moving Cannon Cannonball","sc/buildings.sc","basic_turret_ammo",,,,,,,,900,75,38,,,,,,"true",,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks1","sc/buildings_cc.sc","capital_firecracker_ammo_01",,,"dragon_rider_projectile_fire_trail",,,,,800,90,20,"true",,,,,"true",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks2","sc/buildings_cc.sc","capital_firecracker_ammo_01",,,"dragon_rider_projectile_fire_trail",,,,,800,90,20,"true",,,,,"true",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks3","sc/buildings_cc.sc","capital_firecracker_ammo_03",,,"dragon_rider_projectile_fire_trail_02",,,,,800,90,20,"true",,,,,"true",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,
