"Name","SWF","ExportName","ParticleEmitter","AltParticleEmitter","EmitterDelayMs","IsoLayer","CameraShake","CameraShakeTimeMS","CameraShakeInReplay","AttachToParent","OrientToParent","SortInFrontOfParent","DestroyWhenParentDies","DetachAfterStart","Targeted","Looping","Beam","SpawnLimit","MinLifeTime","Sound","Volume","MinPitch","MaxPitch","SoundDelay","StopSound","PitchIncrease","FadeMusic","OffsetFromGunBone","AttachLocator","OffsetX","OffsetY","OffsetZ","Scale","LifeTimeScale","MaxInstances","SpawnEffect","SpawnEffectDelay","FadeIn","FadeOut","ParticleEmitter3D"
"String","String","String","String","String","int","String","int","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","String","int","int","int","int","boolean","int","boolean","boolean","String","int","int","int","int","int","int","String","int","int","int","String"
"10 Year Cake Pickup",,,"Grass",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/10_anni_cake_01.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"11 Year Cake Pickup",,,"Grass",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/11th_anni_cake_tap_01.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Activate BB Star Bonus",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/activate_your_ring_sfx_01.ogg",60,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Air Defence Attack",,,"Mortar_smoke",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_attack_02.ogg",60,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Air Defence Barrel Attack",,,,,,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,,,,,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Air Defence hit1",,,"AirDefence1_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",65,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"AirDefence1_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence1_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence hit2",,,"AirDefence2_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",65,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"AirDefence2_hit2",,0,,,,,,,,,,,,,,,"sfx/air_def_hit_02.ogg",65,100,100,,,,,,,,,,,,,,,,,
,,,"AirDefence2_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence2_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence hit3",,,"AirDefence3_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",65,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"AirDefence3_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence3_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence3_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Mini Attack",,,"Mortar_smoke",,0,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_attack_02.ogg",30,120,140,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Air Defence Mini hit1",,,"AirDefenceMini1_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",30,130,150,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"AirDefenceMini1_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini1_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Mini hit2",,,"AirDefenceMini2_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",30,130,150,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
