"Name","Dependencies","MissionCategory","VillageType","FirstStep","Deprecated","Action","Character","FixVillageObject","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","ShowMap","ClientCondition","ClientStartAction","TutorialText","TutorialStep","Darken","TutorialTextBox","TutorialCharacter","CharacterSWF","LoopAnim","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialSound","HighlightArrowPath","HighlightArrowDirection","ClientAction","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData","Villagers","ForceCamera","WaitUntilPopupIsClosed","LinkedReengagementStep","RewindOnConditionFail","ProgressWithCondition","LinkedMission"
"String","String","String","int","boolean","boolean","String","String","String","String","int","int","String","String","int","int","boolean","String","String","String","int","boolean","String","String","String","boolean","String","boolean","String","String","String","String","String","String","String","int","int","String","int","int","int","boolean","boolean","int","boolean","boolean","String"
"step1 cannon",,"START",0,,,,,,"Cannon",1,1,,,2000,,,,,"TID_TUTORIAL_CANNON_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,"music/fem_talk.mp3","sfx/tutor_happy_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_1b",,"true","tutorial_enemy","character_enemy_goblin","sc/tutorial_characters.sc",,"bubble_no_button_right","true",,"music/goblin_talk.mp3","sfx/goblin_talk_4.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_3",1,,"tutorial_friendly_scared","character_friendly_fear","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,"music/fem_talk_scared.mp3","sfx/tutor_urgency_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_4",2,,"tutorial_friendly_scared","character_friendly_fear","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_5",3,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
"step2 defend","step1 cannon","START",0,,,,,,,,,"TutorialNPC",,,,,,,"TID_TUTORIAL_DEFEND_1",1,"true","tutorial_enemy","character_enemy_goblin","sc/tutorial_characters.sc",,"bubble_with_button_right","true","TID_TUTORIAL_DEFEND_BUTTON","music/gob_attack.mp3","sfx/goblin_talk_3.ogg",,,,,,,"Wizard",3,,,,,,,,
,,,,,,,,,,,,,,1000,,,,,"TID_TUTORIAL_DEFEND_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,"music/fem_talk.mp3","sfx/tutor_relief_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_4",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
