"Name","ParticleCount","EmissionTime","MinLife","MaxLife","MinHorizAngle","MaxHorizAngle","MinVertAngle","MaxVertAngle","MinSpeed","MaxSpeed","StartX","StartY","StartZ","TargetedEndZ","Gravity","OrientToMovement","OrientToParentType","BounceFromGround","IsIsoParticle","IsoLayer","ParticleSwf","ParticleExportName","AdditiveBlend","Inertia","Slowdown","StartScale","EndScale","MinRotate","MaxRotate","ParticleFadeOutTime","ScaleTimeline","FadeInTime","FadeOutTime","StartAngleMin","StartAngleMax","ScaleRandomMin","ScaleRandomMax","Alpha","OrientToParent","StartRadiusMin","StartRadiusMax","StartRadius"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","String","boolean","boolean","String","String","String","boolean","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","boolean","int","int","int"
"Air_blaster_hit_explo",8,100,500,1500,0,360,15,33,200,400,0,0,10,0,400,"false","Disabled","false","false","Object","sc/buildings.sc","spark_flame2","true",10,0,100,10,-90,90,10,"false",10,100,0,0,100,100,100,,30,30,
"Air_blaster_hit_explo_center",3,100,400,600,0,360,15,80,1,2,0,0,5,0,0,"false","Disabled","false","false","Object","sc/buildings.sc","spark","true",0,0,300,10,-90,90,10,"false",10,50,0,0,100,100,100,,30,30,
"Air_blaster_test",1,10,3200,3200,0,0,0,0,200,200,0,0,100,0,0,"true","HorizontalAngle","false","false","Object","sc/buildings.sc","test_airmortar_fx","false",100,0,100,100,0,0,10,"true",10,10,0,0,100,100,100,,100,100,
"Air_bomb_area",1,100,1000,1041,0,0,0,0,1,10,0,0,100,0,0,"false","Disabled","false","false","Object","sc/buildings.sc","damage_radius_bomb","true",100,0,350,360,0,0,1041,"true",0,0,0,0,100,100,80,,0,0,
"Air_ring",2,20,3200,3200,0,360,0,360,1,1,0,0,0,0,0,"false","Disabled","false","false","Object","sc/buildings.sc","isometric_soft_smokering1","false",100,0,180,220,0,0,400,"true",350,100,0,0,100,100,100,,1,1,
"Air_ring2",1,20,2800,3200,0,360,0,360,1,1,0,0,0,0,0,"false","Disabled","false","false","Object","sc/buildings.sc","isometric_soft_smoke1","false",100,0,100,300,0,0,300,"false",150,1200,0,0,100,100,100,,1,1,
"Air_ring_start",1,20,400,600,0,360,0,360,1,1,0,0,0,0,0,"false","Disabled","false","false","Object","sc/buildings.sc","isometric_soft_smokering1","false",100,0,33,220,0,0,300,"false",10,300,0,0,100,100,100,,1,1,
"Air_smoke_swirl",12,1200,600,1000,0,360,0,360,2,3,0,0,1,0,0,"true","Disabled","false","false","Object","sc/buildings.sc","smoke_swirl1","false",0,0,3,5,0,0,10,"true",0,0,0,0,100,100,100,,100,100,
,,,,,,,,,,,,,,,,,,,,,,"smoke_swirl2","false",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"smoke_swirl3","false",,,,,,,,,,,,,,,,,,,
"AirDefence1_hit1",3,300,250,300,0,360,0,90,20,50,0,0,0,0,-60,"false","HorizontalAngle","true","false","Object","sc/buildings.sc","fireball3b","true",20,0,1,90,-5,5,100,"true",0,0,0,0,100,100,100,,30,30,
