"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","Effect","StartHeight","IsBallistic","ShadowSWF","ShadowExportName","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","BallisticHeight","TrajectoryStyle","DestroyedEffect","BounceEffect","StartOffsetFromGunBone"
"String","String","String","boolean","int","String","String","int","boolean","String","String","boolean","boolean","boolean","boolean","int","int","int","String","String","boolean"
"ArcherQueenCNY arrow","sc/buildings.sc","hero_cny_multi_arrow","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenCNY arrow rage","sc/buildings.sc","hero_cny_multi_arrow_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"RoyalChampionWinter spear","sc/hero_rc_winter_dl_opt.sc","hero_warriorprincess_javelin_winter","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"AmazonQueen_shield_winter","sc/hero_rc_winter_dl_opt.sc","shield_projectile_winter","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"RoyalChampionRogue spear","sc/hero_rc_rogue_dl_opt.sc","hero_warriorprincess_javelin_rogue","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"AmazonQueen_shield_rogue","sc/hero_rc_rogue_dl_opt.sc","shield_projectile_rogue","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"RoyalChampionJungle spear","sc/hero_rc_jungle_dl_opt.sc","hero_warriorprincess_javelin_jungle","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionJungle shield","sc/hero_rc_jungle_dl_opt.sc","shield_projectile_jungle","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"ArcherQueenParty_arrow","sc/hero_aq_party_dl_opt.sc","hero_archerqueen_vinyl_party","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenParty_arrow_rage","sc/hero_aq_party_dl_opt.sc","hero_archerqueen_vinyl_party_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"RoyalChampionGladiator spear","sc/hero_rc_gladiator_dl_opt.sc","hero_warriorprincess_javelin_gladiator","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionGladiator shield","sc/hero_rc_gladiator_dl_opt.sc","shield_projectile_gladiator","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"ArcherQueenChamp arrow","sc/buildings.sc","hero_cny_multi_arrow","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenChamp arrow rage","sc/buildings.sc","hero_cny_multi_arrow_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"RoyalChampionDark spear","sc/hero_rc_dark_dl_opt.sc","hero_warriorprincess_javelin_dark","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionDark shield","sc/hero_rc_dark_dl_opt.sc","shield_projectile_dark","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"ArcherQueenDark arrow","sc/hero_aq_dark_dl_opt.sc","hero_archerqueen_stake_dark","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenDark arrow rage","sc/hero_aq_dark_dl_opt.sc","hero_archerqueen_stake_dark_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"flying_fortress_projectile","sc/characters.sc","projectile_bomb","false",0,"shield_trail_glow",,0,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"true"
"RoyalChampionPrimal spear","sc/hero_rc_primal_dl_opt.sc","hero_warriorprincess_javelin_primal","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionPrimal shield","sc/hero_rc_primal_dl_opt.sc","shield_projectile_primal","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"ArcherQueenMiner arrow","sc/hero_aq_miner_dl_opt.sc","hero_archerqueen_bomb_miner","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenMiner arrow rage","sc/hero_aq_miner_dl_opt.sc","hero_archerqueen_bomb_miner_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenSummer_arrow","sc/hero_aq_summer_dl_opt.sc","hero_archerqueen_arrow_summer","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenSummer arrow rage","sc/hero_aq_summer_dl_opt.sc","hero_archerqueen_arrow_summer_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"RoyalChampionSummer spear","sc/hero_rc_summer_dl_opt.sc","hero_warriorprincess_javelin_summer","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionSummer shield","sc/hero_rc_summer_dl_opt.sc","shield_projectile_summer","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"ArcherQueenPixel_arrow","sc/hero_aq_pixel_dl_opt.sc","hero_archerqueen_arrow_pixel","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"ArcherQueenPixel arrow rage","sc/hero_aq_pixel_dl_opt.sc","hero_archerqueen_arrow_pixel_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
"RoyalChampionPixel spear","sc/hero_rc_pixel_dl_opt.sc","hero_warriorprincess_javelin_pixel","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionPixel shield","sc/hero_rc_pixel_dl_opt.sc","shield_projectile_pixel","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"RoyalChampionParty spear","sc/hero_rc_party_dl_opt.sc","hero_warriorprincess_javelin_party","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true"
"RoyalChampionParty shield","sc/hero_rc_party_dl_opt.sc","shield_projectile_party","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,"trollBoulder_destroyed",,"false"
"ArcherQueenTH15_arrow","sc/hero_aq_th15_dl_opt.sc","hero_archerqueen_arrow_th15","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false"
