"Name","ParameterType","ParameterName","Description","Public"
"String","String","String","String","Boolean"
"OpenShop","int","village","Open the shop. village is optional 0==Home, 1==BuilderBase","TRUE"
"OpenShopBillingPackage","BillingPackage","package","Open the shop and show the billing package","TRUE"
"OpenShopOfferBundle","Bundle","bundle","Open the shop and show bundle","TRUE"
"OpenShopBuilding","Building","building","Open the shop and show the building","TRUE"
"OpenShopTrap","Trap","trap","Open the shop and show the trap","TRUE"
"OpenTraining",,,"Open the training screen","TRUE"
"OpenTrainingTroop","Troop","troop","Open the training screen and show the troop","TRUE"
"OpenTrainingSpell","Spell","spell","Open the training screen and show the spell","TRUE"
"OpenWeb","String","url","Open default browser and go to address","FALSE"
"Share","String","url","Open native share dialogue with message","FALSE"
,"String","message",,
"OpenPlayerProfile","String","tag","Open player profile","TRUE"
"OpenClanProfile","String","tag","Open a clans profile","TRUE"
"OpenEvents","int","eventId","Open event calendar and highlight event","TRUE"
"SelectGameObject","GameObject","name","Select first game object with name","TRUE"
"OpenHelpshift",,,"Open Helpshift. article and section parameters are deprecated.","TRUE"
"OpenClanSearch",,,"Open the clan search screen.","TRUE"
"OpenCreateClan",,,"Open the create clan screen.","TRUE"
"OpenClanGames",,,"Open clan games UI if available","TRUE"
"OpenSCID","String","p","Open SCID UI. Optional p = player guid.","TRUE"
"Purchase","Offer","offer","Initiate offer purchase","FALSE"
"OpenMyClan",,,"Open ”My Clan” page","TRUE"
"OpenClanChat",,,"Open clan chat","TRUE"
"OpenSettings",,,"Open settings","TRUE"
"OpenMoreSettings",,,"Open ”More Settings”","TRUE"
"OpenLayoutEditor","int","village","Open layout editor, optional village parameter 0==Home, 1==BuilderBase","TRUE"
"ChallengeAttack","String","map","Attack challenge npc map","FALSE"
,"int","challegeEventId",,
,"int","sourceEventId",,
"OpenNews",,,"Open News","TRUE"
"OpenLayout","String","id","Description","TRUE"
"OpenSeasonChallenges","boolean","passactivation","Open season challenges UI if available","TRUE"
"OpenShopOffer","Offer","offer","Open the shop and show offer page","TRUE"
"OpenTrader",,,"Open Trader","TRUE"
"SupportCreator","String","id","Creator id","TRUE"
"ShowSuperTroop","String","troop","Troop to focus on","FALSE"
"StartEsportWar","String","opponents","Opponent clan to challenge","FALSE"
,"String","players","comma separated array of own clan players to take part in the war",
,"String","signature","validation signature from API",
"TournamentHub",,,,"TRUE"
"OpenWar",,,"Open War","TRUE"
"CopyArmy","String","army","ArmyShareUtil encoded army composition","TRUE"
"OpenCapital",,,,
