"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","RotateEmitter","Effect","RotateEffect","SpawnEffect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPositionOnCharacters","SmallRandomHitPositionOnBuildings","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","HitSpellInheritAffectType","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent","UseNormalizeLenghtFix","MaxBounceDistance","StopToTargetTime","SmoothDamage","StartOffsetFromGunBone","PenetratingHitBoxWidth","MaxHitBuildings","ReturningProjectile","RetargetRadius","RetargetTimer","3D","DepthBiasFront","DepthBiasBack"
"String","String","String","boolean","int","String","boolean","String","boolean","String","int","int","int","boolean","String","String","boolean","boolean","boolean","boolean","boolean","boolean","int","String","int","boolean","boolean","int","int","int","int","String","String","int","int","boolean","int","int","boolean","boolean","int","int","boolean","int","int","String","int","int"
"Rocket Artillery Ammo1","sc/buildings_cc.sc","capital_mortar_lvl1_projectile",,,,,,,,400,190,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,,,"Mortar Rocket",100,
"Rocket Artillery Ammo2","sc/buildings_cc.sc","capital_mortar_lvl1_projectile",,,,,,,,400,190,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,,,"Mortar Rocket 2",100,
"Giant Cannon Projectile","sc/buildings.sc","basic_turret_ammo",,,,,,,,1200,80,50,,"sc/buildings.sc","shadow_trollBoulder",,,"TRUE",,,"TRUE",350,,,,,,,,,"trollBoulder_destroyed",,,,,,,,,,,,,,,,
"Cannonball","sc/buildings.sc","basic_turret_ammo",,,,,,,,1200,50,50,,,,,,"TRUE",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannonball2","sc/buildings.sc","basic_turret_ammo2",,,,,,,,1200,48,54,,,,,,"TRUE",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannonball4","sc/buildings.sc","basic_turret_ammo4",,,,,,,,1200,54,58,,,,,,"TRUE",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,
"SuperDragonProjectile","sc/buildings.sc","Flamer_projectile_1",,,"Flamer_trail7-8",,,,,360,90,30,,,,,,"TRUE",,"TRUE",,90,,,,"TRUE",,,,,,,75,,,,,,,,,,,,,,
"ArcherArrow","sc/characters.sc","arrow_ammo_small",,,,,,,,1050,25,28,"TRUE",,,,,"TRUE",,,,75,,,,,,,,,,,,,,,,,,,,,,,,,
"Moving Cannon Cannonball","sc/buildings.sc","basic_turret_ammo",,,,,,,,900,75,38,,,,,,"TRUE",,,,190,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks1","sc/buildings_cc.sc","capital_firecracker_ammo_01",,,"dragon_rider_projectile_fire_trail",,,,,800,90,20,"TRUE",,,,,"TRUE",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks2","sc/buildings_cc.sc","capital_firecracker_ammo_01",,,"dragon_rider_projectile_fire_trail",,,,,800,90,20,"TRUE",,,,,"TRUE",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks3","sc/buildings_cc.sc","capital_firecracker_ammo_03",,,"dragon_rider_projectile_fire_trail_02",,,,,800,90,20,"TRUE",,,,,"TRUE",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks4","sc/buildings_cc.sc","capital_firecracker_ammo_04",,,"dragon_rider_projectile_fire_trail_03",,,,,800,110,20,"TRUE",,,,,"TRUE",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireworks5","sc/buildings_cc.sc","capital_firecracker_ammo_05",,,"dragon_rider_projectile_fire_trail_03",,,,,800,110,20,"TRUE",,,,,"TRUE",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
"Bomb Tower Ammo1","sc/buildings.sc","bomb_projectile_lvl1",,,"mortar_trail",,,,,800,200,10,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,
"Bomb Tower Ammo2","sc/buildings.sc","bomb_projectile_lvl3",,,"mortar_trail",,,,,800,200,10,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,
"Air Bomb Projectile1","sc/buildings_cc.sc","cc_air_barrel_projectile_1",,,,,,,,200,60,,"FALSE","sc/buildings.sc","simple_shadow_small",,,"FALSE",,"TRUE","TRUE",100,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Bomb Projectile2","sc/buildings_cc.sc","cc_air_barrel_projectile_2",,,,,,,,200,60,,"FALSE","sc/buildings.sc","simple_shadow_small",,,"FALSE",,"TRUE","TRUE",100,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Bomb Projectile3","sc/buildings_cc.sc","cc_air_barrel_projectile_3",,,,,,,,200,60,,"FALSE","sc/buildings.sc","simple_shadow_small",,,"FALSE",,"TRUE","TRUE",100,,,,,,,,,,,,,,,,,,,,,,,,,
"FlyingFortressProjectile","sc/buildings.sc","bomb_projectile_lvl1",,,"mortar_trail",,,,,1200,0,0,,"sc/buildings.sc","simple_shadow_small",,,"TRUE",,,,100,,,,,,,,,,,,,,,,,"TRUE",,,,,,,75,
"Blast Bow Projectile1","sc/buildings_cc.sc","queen_tower_projectile","FALSE",0,"mortar_trail",,"Blast Bow Trail 1",,,1830,235,160,"TRUE","sc/buildings.sc","bolt_projectile_shadow","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",116,"Blast Bow Strike",0,"TRUE","FALSE",80,0,0,0,,,0,0,"FALSE",0,0,"TRUE","FALSE",0,0,,,,,,
"Blast Bow Projectile2","sc/buildings_cc.sc","queen_tower_projectile","FALSE",0,"mortar_trail",,"Blast Bow Trail 1",,,1830,235,160,"TRUE","sc/buildings.sc","bolt_projectile_shadow","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",116,"Blast Bow Strike",1,"TRUE","FALSE",80,0,0,0,,,0,0,"FALSE",0,0,"TRUE","FALSE",0,0,,,,,,
"Blast Bow Projectile3","sc/buildings_cc.sc","queen_tower_projectile2","FALSE",0,"mortar_trail",,"Blast Bow Trail 1",,,1830,235,160,"TRUE","sc/buildings.sc","bolt_projectile_shadow","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",116,"Blast Bow Strike",2,"TRUE","FALSE",80,0,0,0,,,0,0,"FALSE",0,0,"TRUE","FALSE",0,0,,,,,,
"Blast Bow Projectile4","sc/buildings_cc.sc","queen_tower_projectile2","FALSE",0,"mortar_trail",,"Blast Bow Trail 1",,,1830,235,160,"TRUE","sc/buildings.sc","bolt_projectile_shadow","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",116,"Blast Bow Strike",3,"TRUE","FALSE",80,0,0,0,,,0,0,"FALSE",0,0,"TRUE","FALSE",0,0,,,,,,
"Blast Bow Projectile5","sc/buildings_cc.sc","queen_tower_projectile2","FALSE",0,"mortar_trail",,"Blast Bow Trail 1",,,1830,235,160,"TRUE","sc/buildings.sc","bolt_projectile_shadow","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",116,"Blast Bow Strike",4,"TRUE","FALSE",80,0,0,0,,,0,0,"FALSE",0,0,"TRUE","FALSE",0,0,,,,,,
"Capital Hall Ammo1","sc/buildings.sc","doom_ammo_big_asset_lvl1",,,,,"Artillery Trail",,,500,330,20,"TRUE","sc/buildings.sc",,,,"TRUE",,,"TRUE",,,,,"FALSE",5000,1,5000,0,,,,,,,,"TRUE",,,,,,,,,
"Capital Hall Ammo2","sc/buildings.sc","doom_ammo_big_asset_lvl1",,,,,"Artillery Trail",,,500,420,20,"TRUE","sc/buildings.sc",,,,"TRUE",,,"TRUE",,,,,"FALSE",5000,1,5000,0,,,,,,,,"TRUE",,,,,,,,,
"Capital Hall Ammo3","sc/buildings.sc","doom_ammo_big_asset_lvl2",,,,,"Artillery Trail",,,500,470,20,"TRUE","sc/buildings.sc",,,,"TRUE",,,"TRUE",,,,,"FALSE",5000,1,5000,0,,,,,,,,"TRUE",,,,,,,,,
"GolemExplosion","sc/buildings.sc","trollBoulder_lvl6","FALSE",6,"trollBoulder_dust_emitter_lvl2",,,,,250,200,20,"TRUE",,,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",100,,,,"FALSE",300,0,0,0,"trollBoulder_destroyed",,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,,,,,,
"RapidRocketProjectile","sc/buildings_cc.sc","rapid_rocket_projectile_01","FALSE",0,,,,,,800,110,20,"TRUE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",85,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,,,,,,
"MultiCannonball1","sc/buildings.sc","basic_turret_ammo",,,,,,,,1900,88,40,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinionProjectile","sc/characters.sc","slimeball_projectile","FALSE",0,,,,,,285,94,38,"TRUE",,,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",75,,0,"FALSE","FALSE",0,0,0,0,,,0,0,"FALSE",0,0,"FALSE","FALSE",0,0,,,,,,
"Spear_01","sc/buildings_cc.sc","cc_spear_01",,,,,,,,1050,106,50,"TRUE",,,,,"TRUE",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
"CapitalMortar Ammo1","sc/buildings.sc","mortar_ammo1",,,"mortar_trail",,,,,750,95,20,"TRUE","sc/buildings.sc","bolt_projectile_shadow",,,"TRUE",,,,100,,,,"TRUE",,,2500,,,,150,,,,,,,,,,,,,,
"CapitalMortar Ammo2","sc/buildings.sc","mortar_ammo2",,,"mortar_trail",,,,,750,95,20,"TRUE","sc/buildings.sc","bolt_projectile_shadow",,,"TRUE",,,,105,,,,"TRUE",,,2500,,,,150,,,,,,,,,,,,,,
"CapitalMortar Ammo3","sc/buildings.sc","mortar_ammo3",,,"mortar_trail",,,,,750,95,20,"TRUE","sc/buildings.sc","bolt_projectile_shadow",,,"TRUE",,,,110,,,,"TRUE",,,2500,,,,150,,,,,,,,,,,,,,
"CapitalMortar Ammo4","sc/buildings.sc","mortar_ammo3",,,"mortar_trail",,,,,750,95,20,"TRUE","sc/buildings.sc","bolt_projectile_shadow",,,"TRUE",,,,115,,,,"TRUE",,,2500,,,,150,,,,,,,,,,,,,,
"LogTrapLog1","sc/buildings_cc.sc","cc_log_01",,4,"trollBoulder_dust_emitter_lvl1",,,,,600,-5,135,,"sc/buildings.sc","shadow_trollBoulder",,,"FALSE",,,"TRUE",,,,,,,,,,"Log Die",,,,,,,,,30,4,,,,,,
"LogTrapLog3","sc/buildings_cc.sc","cc_log_03",,4,"trollBoulder_dust_emitter_lvl1",,,,,600,-5,135,,"sc/buildings.sc","shadow_trollBoulder",,,"FALSE",,,"TRUE",,,,,,,,,,"Log Die",,,,,,,,,30,4,,,,,,
"LogTrapLog4","sc/buildings_cc.sc","cc_log_04",,4,"trollBoulder_dust_emitter_lvl1",,,,,600,-5,135,,"sc/buildings.sc","shadow_trollBoulder",,,"FALSE",,,"TRUE",,,,,,,,,,"Log Die",,,,,,,,,30,4,,,,,,
"LogTrapLog5","sc/buildings_cc.sc","cc_log_05",,4,"Flamer_trail4-6",,,,,420,-5,135,,"sc/buildings.sc","shadow_trollBoulder",,,"FALSE",,,"TRUE",,,,,,,,,,"Log Die",,,,,,,,,30,4,,,,,,
"Rocket Artillery Ammo5","sc/buildings_cc.sc","capital_mortar_lvl1_projectile",,,,,,,,400,190,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,,,"Mortar Rocket 5",100,
"MiniMinionProjectile1","sc/buildings_cc.sc","minion_spawn_projectile_01",,,"minion_spawn_trail_glow_blue",,,,,700,140,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",50,,,,"FALSE",250,5,1400,,"minion_spawn_hit",,0,,,,,,,,,"FALSE",35,750,,0,
"MiniMinionProjectile2","sc/buildings_cc.sc","minion_spawn_projectile_01",,,"minion_spawn_trail_glow_blue",,,,,700,140,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",50,,,,"FALSE",250,5,1400,,"minion_spawn_hit",,0,,,,,,,,,"FALSE",35,750,,0,
"MiniMinionProjectile3","sc/buildings_cc.sc","minion_spawn_projectile_01",,,"minion_spawn_trail_glow_blue",,,,,700,140,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",50,,,,"FALSE",250,5,1400,,"minion_spawn_hit",,0,,,,,,,,,"FALSE",35,750,,0,
"MiniMinionProjectile4","sc/buildings_cc.sc","minion_spawn_projectile_02",,,"minion_spawn_trail_glow_purple",,,,,700,140,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",50,,,,"FALSE",250,5,1400,,"minion_spawn_hit",,0,,,,,,,,,"FALSE",35,750,,0,
"MiniMinionProjectile5","sc/buildings_cc.sc","minion_spawn_projectile_02",,,"minion_spawn_trail_glow_purple",,,,,700,140,0,"TRUE","sc/buildings.sc","simple_shadow_small",,,"TRUE",,,"TRUE",50,,,,"FALSE",250,5,1400,,"minion_spawn_hit",,0,,,,,,,,,"FALSE",35,750,,0,
"ReflectorProjectile","sc/buildings_cc.sc","reflector_shield_projectile","FALSE",12,"healer_projectile_trail",,,,,750,100,0,"FALSE",,,,,"FALSE",,,"TRUE",75,,,,"FALSE",,,,,,,,,,,,,,,,,100,,,,
