"Name","TID","InfoTID","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","AttackRange","AltAttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SmallPicture","SmallPictureSWF","Projectile","RageProjectile","PreferedTargetBuilding","DeployEffect","AttackEffect","AttackEffectAlt","HitEffect","HitEffectActive","IsFlying","AirTargets","GroundTargets","IsJumper","AttackCount","DieEffect","Animation","ActivationTime","ActiveDuration","AbilityAttackCount","AnimationActivated","MaxSearchRadiusForDefender","HousingSpace","HealerWeight","SpecialAbilityEffect","RegenerationTimeMinutes","TrainingTime","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilityTriggerEffect","AbilityAffectsHero","AbilityAffectsCharacter","AbilityRadius","AbilityTime","AbilityOnce","AbilityCooldown","AbilitySpeedBoost","AbilitySpeedBoost2","AbilityDamageBoostPercent","AbilitySummonTroop","AbilitySummonTroopCount","AbilityStealth","AbilityDamageBoostOffset","AbilityHealthIncrease","AbilityShieldProjectileSpeed","AbilityShieldProjectileDamageMod","AbilityTID","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","AbilityDelay","StrengthWeight","StrengthWeight2","AlertRadius","Scale","AuraSpell","AuraSpellLevel","AuraTID","AuraDescTID","AuraBigPictureExportName","AbilitySpell","AbilitySpellLevel","RetributionSpell","RetributionSpellLevel","RetributionSpellTriggerHealth","HasAltMode","AltModeFlying","AltModeAnimation","PreferedTargetBuildingClass","NoAttackOverWalls","TargetGroups","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","SmoothJump","WakeUpSpeed","WakeUpSpace","FriendlyGroupWeight","EnemyGroupWeight","AttackEffectShared","TargetedEffectOffset","TriggersTraps","VillageType","NoDefence","PreAttackEffect","AbilityAffectsSummonedUnits","DefaultSkin","AbilityProjectile","AbilityProjectileBounces","AbilityProjectileRange","AbilityProjectileCount","UseAutoHeroAbility","NewTargetAttackDelay","AbilityDamage","Gender"
"String","String","String","int","int","int","String","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","boolean","int","String","String","int","int","int","String","int","int","int","String","int","int","String","int","String","int","int","int","String","boolean","String","int","int","boolean","int","int","int","int","String","int","boolean","int","int","int","int","String","String","String","String","int","int","int","int","int","String","int","String","String","String","String","int","String","int","int","boolean","boolean","String","String","boolean","boolean","boolean","int","int","int","boolean","int","int","int","int","String","int","boolean","int","boolean","String","boolean","String","String","int","int","int","boolean","int","int","String"
"Barbarian King","TID_BARBARIAN_KING","TID_HERO_INSTRUCTIONS_BARBARIAN",200,1700,4,"DarkElixir",6000,7,100,,1200,,120,1,,"sc/ui.sc","icon_hero_barbarianKing","unit_barbarianKing_big","sc/info_barbarian.sc","unit_barbarianKing_small","sc/ui.sc",,,,"Hero Deploy",,,"Barbarian King Hit",,"FALSE","FALSE","TRUE","FALSE",,,,,,,,900,25,21,"Building Ready",10,,"Elixir",,"Barbarian King Scream",70,-40,300,,"TRUE",,,0,"TRUE",0,0,0,0,"Barbarian",0,,0,0,,,"TID_HERO_ABILITY_BARBARIAN_TITLE","TID_HERO_ABILITY_BARBARIAN_DESC","icon_hero_barbarianKing_ability1","unit_barbarianKing_ability_big",0,20,10,1200,,,,,,,,,,,,,,,,,,,,,,,,,2100,2500,,-50,"TRUE",,,,"TRUE","BarbarianKingDefault",,,,,"TRUE",,,"M"
,,,,1742,6,,7000,7,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1786,8,,8000,7,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1830,10,,10000,7,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1876,12,,11000,7,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1923,14,,12000,8,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1971,16,,13000,8,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020,18,,14000,8,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2071,20,,15000,8,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2123,22,,17000,8,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2176,24,,19000,9,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2230,32,,21000,9,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2286,40,,23000,9,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2343,48,,25000,9,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
