"Name","HomeType","EnabledByCalendar","DefaultBackground","FreeBackground","RequiredTHLevel","PurchasePrice","TID","SWF","Foreground","Background","AdditiveLayer","TopLayer","BaseSWF","BuildingBasesSWF","Icon","Thumbnail","MakeCreator","CustomShip","CustomBalloonBus","CustomForge","VillageObjectLocator","ParallaxLayer","ParallaxStrength","NightMode","Music","ClanBadgeClip"
"String","String","boolean","boolean","boolean","int","int","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","String","String","int","boolean","String","String"
"HomeDefault","HOME",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_player.sc","Player_Background",,,,"sc/background_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/village_bgr_image.png",,,,,,,,,,
"BBDefault","BB",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_player_2.sc","Second_player_village",,,,,,"image/background_icons/scenery_builderbase_original.png","image/background_icons/village2_bgr_image.png",,,,,,,,"TRUE",,
"WarDefault","WAR",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_war.sc","Player_war_bg",,,,,,"image/background_icons/scenery_warbase_original.png","image/background_icons/war_bgr_image.png",,,,,,,,,,
"NPCDefault","NPC",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_npc.sc","NPC_village_bg",,,,,,"image/background_icons/scenery_homevillage.png","image/background_icons/village_bgr_image.png",,,,,,,,,,
"ClashyConstructs","HOME",,,,,,"TID_SCENERY_CLASHY_CONSTRUCTS","sc/scenery_clashy_constructs_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_clashy_constructs_dl_opt.png","image/background_icons/clashy_constructs_bgr_image_dl_opt.png",,,,,,,,,,
"Pirate","HOME",,,,,,"TID_SCENERY_PIRATE","sc/scenery_pirate_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_pirate_dl_opt.png","image/background_icons/pirate_bgr_image_dl_opt.png",,,,,,,,,,
"EpicWinter","HOME",,,,,,"TID_SCENERY_EPIC_WINTER","sc/scenery_epic_winter_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_epic_winter_dl_opt.png","image/background_icons/village_bgr_image_epic_winter_dl_opt.png",,,,,,,,,"music/clash_epic_winter_scenery_01_dl_opt.ogg",
"Cny2021","HOME",,,,,,"TID_SCENERY_HOG_MOUNTAIN","sc/scenery_cny2021_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_lunar_ny_dl_opt.png","image/background_icons/cny2021_bgr_image_dl_opt.png",,,,,,,,,,
"Jungle","HOME",,,"TRUE",14,,"TID_SCENERY_JUNGLE","sc/scenery_th14_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_basic_jungle.png","image/background_icons/jungle_bgr_image_dl_opt.png",,,,,,,,,"music/regular_jungle_dl_opt.ogg",
