"Name","Buildings","BuildingX","BuildingY","BuildingAltMode","Character","CharacterTimeMS","CharacterX","CharacterY","CharacterDefense","CharacterMaster","CharacterItem","CharacterAbilityTimeMS","Spell","SpellX","SpellY","SpellTimeMS","CameraScale","CameraOffsetX","CameraOffsetY","VillagersCount","ShouldRestart"
"String","String","int","int","boolean","String","int","int","int","boolean","String","String","int","String","int","int","int","int","int","int","int","boolean"
"Defense","<selected>",24,24,,"Barbarian",500,29,29,,,,,,,,,100,50,50,,
,,,,,"Barbarian",1000,29,26,,,,,,,,,,,,,
,,,,,"Barbarian",1500,26,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseHeavy","<selected>",24,24,,"Golem",500,29,31,,,,,,,,,100,100,100,,
,"Wall",22,22,,,,,,,,,,,,,,,,,,
,"Wall",23,22,,,,,,,,,,,,,,,,,,
,"Wall",24,22,,,,,,,,,,,,,,,,,,
,"Wall",25,22,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",27,22,,,,,,,,,,,,,,,,,,
,"Wall",28,22,,,,,,,,,,,,,,,,,,
,"Wall",27,22,,,,,,,,,,,,,,,,,,
,"Wall",28,22,,,,,,,,,,,,,,,,,,
,"Wall",22,28,,,,,,,,,,,,,,,,,,
,"Wall",23,28,,,,,,,,,,,,,,,,,,
,"Wall",24,28,,,,,,,,,,,,,,,,,,
,"Wall",25,28,,,,,,,,,,,,,,,,,,
,"Wall",26,28,,,,,,,,,,,,,,,,,,
,"Wall",27,28,,,,,,,,,,,,,,,,,,
,"Wall",28,28,,,,,,,,,,,,,,,,,,
,"Wall",22,23,,,,,,,,,,,,,,,,,,
,"Wall",22,24,,,,,,,,,,,,,,,,,,
,"Wall",22,25,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",22,27,,,,,,,,,,,,,,,,,,
,"Wall",28,23,,,,,,,,,,,,,,,,,,
,"Wall",28,24,,,,,,,,,,,,,,,,,,
,"Wall",28,25,,,,,,,,,,,,,,,,,,
,"Wall",28,26,,,,,,,,,,,,,,,,,,
