"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","Effect","StartHeight","IsBallistic","ShadowSWF","ShadowExportName","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","BallisticHeight","TrajectoryStyle","DestroyedEffect","BounceEffect","StartOffsetFromGunBone","RotateEmitter","RotateEffect","SpawnEffect","3D","DepthBiasFront","DepthBiasBack"
"String","String","String","boolean","int","String","String","int","boolean","String","String","boolean","boolean","boolean","boolean","int","int","int","String","String","boolean","boolean","boolean","String","String","int","int"
"AmazonQueen_shield_rogue","sc/hero_rc_rogue_dl_opt.sc","shield_projectile_rogue","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"AmazonQueen_shield_winter","sc/hero_rc_winter_dl_opt.sc","shield_projectile_winter","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"ArcherQueenChamp arrow","sc/buildings.sc","hero_cny_multi_arrow","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenChamp arrow rage","sc/buildings.sc","hero_cny_multi_arrow_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenChess arrow rage","sc/hero_aq_chess_dl_opt.sc","hero_archerqueen_arrow_chess_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenChess_arrow","sc/hero_aq_chess_dl_opt.sc","hero_archerqueen_arrow_chess","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenClashiversary arrow rage","sc/hero_aq_clashiversary_dl_opt.sc","hero_archerqueen_arrow_clashiversary_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenClashiversary_arrow","sc/hero_aq_clashiversary_dl_opt.sc","hero_archerqueen_arrow_clashiversary","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenCNY arrow","sc/buildings.sc","hero_cny_multi_arrow","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenCNY arrow rage","sc/buildings.sc","hero_cny_multi_arrow_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenDark arrow","sc/hero_aq_dark_dl_opt.sc","hero_archerqueen_stake_dark","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenDark arrow rage","sc/hero_aq_dark_dl_opt.sc","hero_archerqueen_stake_dark_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenDarkAges arrow rage","sc/hero_aq_darkages_dl_opt.sc","hero_archerqueen_arrow_darkages_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenDarkAges_arrow","sc/hero_aq_darkages_dl_opt.sc","hero_archerqueen_arrow_darkages","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenGhost arrow rage","sc/hero_aq_ghost_dl_opt.sc","hero_archerqueen_arrow_ghost_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
