"Name","Level","TID","InfoTID","SWF","ExportName","ExportNameAir","ExportNameBuildAnim","ExportNameBuildAnimAir","ExportNameBroken","ExportNameBrokenAir","BigPicture","BigPictureSWF","EffectBroken","Damage","DamageRadius","TriggerRadius","Width","Height","Effect","Effect2","DamageEffect","Passable","BuildResource","BuildTimeD","BuildTimeH","BuildTimeM","BuildCost","TownHallLevel","CapitalHallLevel","EjectVictims","MinTriggerHousingLimit","EjectHousingLimit","ExportNameTriggered","ExportNameTriggeredAir","ActionFrame","PickUpEffect","PlacingEffect","AppearEffect","ToggleAttackModeEffect","DurationMS","SpeedMod","DamageMod","AirTrigger","GroundTrigger","HitDelayMS","HitCnt","Projectile","MaxProjectileCount","MaxTargetRange","Spell","StrengthWeight","PreferredTargetDamageMod","PreferredTarget","SpawnedCharGround","SpawnedCharAir","NumSpawns","SpawnInitialDelayMs","TimeBetweenSpawnsMs","SpawnLvl","Disabled","ThrowDistance","VillageType","Pushback","DoNotScalePushByDamage","EnabledByCalendar","DirectionCount","HasAltMode","UpgradeLevelByTH","HintPriority","PreviewScenario","AltPreviewScenario"
"String","int","String","String","String","String","String","String","String","String","String","String","String","String","int","int","int","int","int","String","String","String","boolean","String","int","int","int","int","int","int","boolean","int","int","String","String","int","String","String","String","String","int","int","int","boolean","boolean","int","int","String","int","int","String","int","int","String","String","String","int","int","int","int","boolean","int","int","int","boolean","boolean","int","boolean","int","int","String","String"
"Mine",1,"TID_TRAP_MINE","TID_TRAP_MINE_INFO","sc/buildings.sc","bomp_trap_lvl1_setup",,"bomb_upg",,"bomp_trap_lvl1_unarmed",,"bombtrap_lvl1_info","sc/ui.sc","Trap broken",20,300,150,1,1,"Bomb Exposion","Bomb Exposion ground","Generic Hit","TRUE","Gold",,,0,400,1,,"FALSE",1,0,"bomp_trap_lvl1",,35,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,,100,,,,,,,,,,,,,,,,,,75,"Trap2",
,2,,,,"bomp_trap_lvl1_setup",,"bomb_upg",,"bomp_trap_lvl1_unarmed",,,,,24,,,,,,,,,,,,6,1000,3,,,,,"bomp_trap_lvl1",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,3,,,,"bomp_trap_lvl3_setup",,"bomb_upg",,"bomp_trap_lvl3_unarmed",,,,,29,,,,,,,,,,,1,0,10000,5,,,,,"bomp_trap_lvl3",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,4,,,,"bomp_trap_lvl3_setup",,"bomb_upg",,"bomp_trap_lvl3_unarmed",,,,,35,,,,,,,,,,,2,0,75000,7,,,,,"bomp_trap_lvl3",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,5,,,,"bomp_trap_lvl5_setup",,"bomb_upg",,"bomp_trap_lvl5_unarmed",,,,,42,,,,,,,,,,,6,0,220000,8,,,,,"bomp_trap_lvl5",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,6,,,,"bomp_trap_lvl5_setup",,"bomb_upg",,"bomp_trap_lvl5_unarmed",,,,,54,,,,,,,,,,,12,0,450000,9,,,,,"bomp_trap_lvl5",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,7,,,,"bomp_trap_lvl7_setup",,"bomb_upg",,"bomp_trap_lvl7_unarmed",,,,,72,,,,,,,,,,,18,0,650000,10,,,,,"bomp_trap_lvl7",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,8,,,,"bomp_trap_lvl7_setup",,"bomb_upg",,"bomp_trap_lvl7_unarmed",,,,,92,,,,,,,,,,1,12,0,1100000,11,,,,,"bomp_trap_lvl7",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,9,,,,"bomp_trap_lvl9_setup",,"bomb_upg",,"bomp_trap_lvl9_unarmed",,,,,125,,,,,,,,,,2,18,0,2000000,13,,,,,"bomp_trap_lvl9",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,10,,,,"bomp_trap_lvl9_setup",,"bomb_upg",,"bomp_trap_lvl9_unarmed",,,,,140,,,,,,,,,,4,,0,4000000,14,,,,,"bomp_trap_lvl9",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,11,,,,"bomp_trap_lvl10_setup",,"bomb_upg",,"bomp_trap_lvl10_unarmed",,,,,155,,,,,,,,,,8,,0,8000000,15,,,,,"bomp_trap_lvl10",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,12,,,,"bomp_trap_lvl10_setup",,"bomb_upg",,"bomp_trap_lvl10_unarmed",,,,,170,,,,,,,,,,8,12,0,9000000,16,,,,,"bomp_trap_lvl10",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
"Ejector",1,"TID_TRAP_EJECTOR","TID_TRAP_EJECTOR_INFO","sc/buildings.sc","eject_trap_lvl1_setup",,"springtrap_upg",,"eject_trap_lvl1_unarmed",,"ejecttrap_lvl1_info","sc/ui.sc","Trap broken",1000,0,80,1,1,"Trap Eject",,"Generic Hit","TRUE","Gold",,,0,2000,1,,"TRUE",1,10,"eject_trap_lvl1",,10,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,,20,,,,,,,,,,,,,,,,,,75,"Trap",
,2,,,,"eject_trap_lvl1_setup",,"springtrap_upg",,"eject_trap_lvl1_unarmed",,,,,1000,,,,,,,,,,,3,0,250000,7,,,,12,"eject_trap_lvl1",,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
,3,,,,"eject_trap_lvl2_setup",,"springtrap_upg",,"eject_trap_lvl2_unarmed",,,,,1000,,,,,,,,,,,9,0,375000,8,,,,14,"eject_trap_lvl2",,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,
,4,,,,"eject_trap_lvl2_setup",,"springtrap_upg",,"eject_trap_lvl2_unarmed",,,,,1000,,,,,,,,,,,18,0,700000,9,,,,16,"eject_trap_lvl2",,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
,5,,,,"eject_trap_lvl3_setup",,"springtrap_upg",,"eject_trap_lvl3_unarmed",,,,,1000,,,,,,,,,,1,,0,800000,10,,,,18,"eject_trap_lvl3",,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
"Superbomb",1,"TID_TRAP_SUPERBOMB","TID_TRAP_SUPERBOMB_INFO","sc/buildings.sc","giant_bomb_setup",,"giant_bomb_upg",,"giant_bomb_unarmed",,"superbomb_lvl1_info","sc/ui.sc","Trap broken",175,300,200,2,2,"Super_Bomb","Super_Bomb ground","Generic Hit","TRUE","Gold",,,0,12500,1,,"FALSE",1,30,"giant_bomb",,37,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,,150,,,,,,,,,,,,,,,,,,75,"Trap2x2",
,2,,,,"giant_bomb_setup",,"giant_bomb_upg",,"giant_bomb_unarmed",,,,,200,350,,,,,,,,,,3,0,75000,6,,,,,"giant_bomb",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,3,,,,"giant_bomb_setup_lvl3",,"giant_bomb_upg",,"giant_bomb_lvl3_unarmed",,,,,225,350,,,,,,,,,,12,0,480000,8,,,,,"giant_bomb_lvl3",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,4,,,,"giant_bomb_setup_lvl3",,"giant_bomb_upg",,"giant_bomb_lvl3_unarmed",,,,,250,400,,,,,,,,,,18,0,1500000,10,,,,,"giant_bomb_lvl3",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,5,,,,"giant_bomb_setup_lvl5",,"giant_bomb_upg",,"giant_bomb_lvl5_unarmed",,,,,275,400,,,,,,,,,1,,0,2000000,11,,,,,"giant_bomb_lvl5",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,6,,,,"giant_bomb_setup_lvl5",,"giant_bomb_upg",,"giant_bomb_lvl5_unarmed",,,,,325,400,,,,,,,,,2,18,0,2500000,13,,,,,"giant_bomb_lvl5",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,7,,,,"giant_bomb_setup_lvl6",,"giant_bomb_upg",,"giant_bomb_lvl6_unarmed",,,,,375,400,,,,,,,,,4,,0,3500000,13,,,,,"giant_bomb_lvl6",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,8,,,,"giant_bomb_setup_lvl6",,"giant_bomb_upg",,"giant_bomb_lvl6_unarmed",,,,,400,400,,,,,,,,,8,,0,6500000,14,,,,,"giant_bomb_lvl6",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,9,,,,"giant_bomb_setup_lvl7",,"giant_bomb_upg",,"giant_bomb_lvl7_unarmed",,,,,425,400,,,,,,,,,11,,0,10500000,15,,,,,"giant_bomb_lvl7",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
,10,,,,"giant_bomb_setup_lvl7",,"giant_bomb_upg",,"giant_bomb_lvl7_unarmed",,,,,450,400,,,,,,,,,12,,0,12000000,16,,,,,"giant_bomb_lvl7",,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
"Halloweenbomb",1,"TID_TRAP_HALLOWEENBOMB","TID_TRAP_HALLOWEENBOMB_INFO","sc/buildings.sc","bomb_halloween_setup",,"bomb_halloween_setup",,"bomb_halloween_setup",,,,"Trap broken",25,300,150,1,1,"Bomb Exposion","Bomb Exposion ground","Generic Hit","TRUE","Gold",,,0,1000,1,,"FALSE",,0,"bomp_trap_halloween",,48,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,
"Slowbomb",1,"TID_TRAP_MINE","TID_TRAP_MINE_INFO","sc/buildings.sc","bomp_trap_lvl1_setup",,"bomp_trap_lvl1_setup",,"bomp_trap_lvl1_setup",,,,"Trap broken",0,400,150,1,1,"Jump deploy lvl1","Jump deploy top lvl1","Generic Hit","TRUE","Gold",,,0,2000,9999,,"FALSE",,0,"bomp_trap_lvl1",,48,"Generic Pick Up","Generic Placing","Bomb Appear",,1000,50,-50,"TRUE","TRUE",500,18,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,
"AirTrap",1,"TID_TRAP_AIR","TID_TRAP_AIR_INFO","sc/buildings.sc","air_trap_setup",,"air_trap_upg",,"air_trap_unarmed",,"airtrap_lvl1_info","sc/ui.sc","Trap broken",100,300,400,1,1,"Small AirTrap",,"Small AirTrap Explosion","TRUE","Gold",,,0,4000,1,,"FALSE",1,0,"air_trap",,7,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"TRUE","FALSE",,,"AirTrapBalloon",,,,100,,,,,,,,,,,,,,,,,,75,"AirTrapSplash",
,2,,,,"air_trap_setup",,"air_trap_upg",,"air_trap_unarmed",,,,,120,,,,,,,,,,,1,0,20000,5,,,,,,,,,,,,,,,,,,,"AirTrapBalloon",,,,100,,,,,,,,,,,,,,,,,,,,
,3,,,,"air_trap_setup_lvl3",,"air_trap_upg",,"air_trap_unarmed",,,,,144,,,,,,,,,,,2,0,150000,7,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl3",,,,100,,,,,,,,,,,,,,,,,,,,
,4,,,,"air_trap_setup_lvl3",,"air_trap_upg",,"air_trap_unarmed",,,,,173,,,,,,,,,,,12,0,540000,9,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl3",,,,100,,,,,,,,,,,,,,,,,,,,
,5,,,,"air_trap_setup_lvl5",,"air_trap_upg",,"air_trap_unarmed",,,,,208,,,,,,,,,,1,,0,1100000,11,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl5",,,,100,,,,,,,,,,,,,,,,,,,,
,6,,,,"air_trap_setup_lvl5",,"air_trap_upg",,"air_trap_unarmed",,,,,232,,,,,,,,,,2,,0,1900000,12,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl5",,,,100,,,,,,,,,,,,,,,,,,,,
,7,,,,"air_trap_setup_lvl6",,"air_trap_upg",,"air_trap_unarmed",,,,,252,,,,,,,,,,2,12,0,2000000,13,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl6",,,,100,,,,,,,,,,,,,,,,,,,,
,8,,,,"air_trap_setup_lvl6",,"air_trap_upg",,"air_trap_unarmed",,,,,280,,,,,,,,,,3,12,0,2600000,13,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl6",,,,100,,,,,,,,,,,,,,,,,,,,
,9,,,,"air_trap_setup_lvl8",,"air_trap_upg",,"air_trap_unarmed",,,,,325,,,,,,,,,,6,,0,5000000,14,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl8",,,,100,,,,,,,,,,,,,,,,,,,,
,10,,,,"air_trap_setup_lvl8",,"air_trap_upg",,"air_trap_unarmed",,,,,350,,,,,,,,,,9,,0,9000000,15,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl8",,,,100,,,,,,,,,,,,,,,,,,,,
,11,,,,"air_trap_setup_lvl11",,"air_trap_upg",,"air_trap_unarmed",,,,,375,,,,,,,,,,9,12,0,10000000,16,,,,,,,,,,,,,,,,,,,"AirTrapBalloon_lvl11",,,,100,,,,,,,,,,,,,,,,,,,,
