"TID","NL"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Nederlands"
"TID_BUILDING_HOUSE","Huis"
"TID_BUILDING_HOUSING","Legerkamp"
"TID_BUILDING_TOWN_HALL","Stadhuis"
"TID_BUILDING_ELIXIR_PUMP","Elixirpomp"
"TID_BUILDING_ELIXIR_STORAGE","Elixirtank"
"TID_BUILDING_GOLD_MINE","Goudmijn"
"TID_BUILDING_GOLD_STORAGE","Goudkluis"
"TID_BUILDING_BARRACK","Kazerne"
"TID_BUILDING_CANNON","Kanon"
"TID_BUILDING_TESLA_TOWER","Verborgen Tesla"
"TID_BUILDING_WALL","Muur"
"TID_BUILDING_FENCE","Hek"
"TID_BUILDING_WIZARD_TOWER","Tovenaarstoren"
"TID_BUILDING_AIR_DEFENSE","Luchtafweer"
"TID_BUILDING_MORTAR","Mortier"
"TID_WORKER_BUILDING","Bouwkeet"
"TID_BUILDING_LABORATORY","Laboratorium"
"TID_TRAP_BOMB","Bomval"
"TID_TRAP_EJECT","Veerval"
"TID_TRAP_TIMETRAP","Tijdval"
"TID_BUTTON_SPEEDUP","Nu voltooien"
"TID_BUTTON_UPGRADE","Upgraden"
"TID_BUTTON_ATTACK","Aanvallen!"
"TID_BUTTON_SHOP","Winkel"
"TID_BUTTON_SELL","Verkopen"
"TID_BUTTON_CANCEL","Annuleren"
"TID_BUTTON_TRAIN","Troepen trainen"
"TID_BUTTON_COLLECT","Verzamelen"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Verwijderen"
"TID_BUTTON_HOME","Naar huis"
"TID_BUTTON_ACCEPT","Accepteren"
"TID_BUTTON_REJECT","Weigeren"
"TID_BUTTON_SEND","Versturen"
"TID_BUTTON_JOIN","Meedoen"
"TID_TAB_GLOBAL_CHAT","Wereldwijd"
"TID_TAB_ALLIANCE_CHAT","Clan"
"TID_OBSTACLE_TREE","Boom"
"TID_OBSTACLE_STONE","Steen"
"TID_OBSTACLE_BUSH","Struik"
"TID_OBSTACLE_TRUNK","Stronk"
"TID_OBSTACLE_MUSHROOM","Paddenstoel"
"TID_DECORATION_BARBARIAN_STATUE","Machtig standbeeld"
"TID_DECORATION_TORCH","Toorts"
"TID_DECORATION_WHITE_FLAG","Witte vlag"
"TID_DECORATION_SKULL_FLAG","Piratenvlag"
"TID_DECORATION_FLOWERBOX1","Korenbloembed"
"TID_DECORATION_FLOWERBOX2","Zonnebloembed"
"TID_DECORATION_WINDMETER","Weervaantje"
"TID_DECORATION_DOWNARROW_FLAG","Verzamelvlag"
"TID_DECORATION_UPARROW_FLAG","Richtingvlag"
"TID_DECORATION_SKULL_ALTAR","Antieke schedel"
