"Name","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","PartsLayout","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","BuildAnimSWF","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnits","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","DamageMulti","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCost","ActivateCombatOnDamageTaken","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SpawnOnAttack","SummonTroopCount","SplashAirAndGround","RandomizeTarget","ReflectsDamage","Loot","Reward","UnoccupiedPartsLayout"
"String","int","String","String","String","String","String","String","String","String","String","String","String","int","int","int","int","String","int","int","int","int","int","String","String","String","String","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","String","int","int","int","String","int","int","int","int","boolean","int","String","int","boolean","int","int","int","boolean","int","int","int","int","int","int","int","int","String","int","boolean","String","String","String","String","int","int","int","int","String","String","String","String","String","String","int","int","int","String","boolean","boolean","boolean","int","int","boolean","boolean","boolean","int","String","int","int","int","int","String","String","String","String","String","String","boolean","String","int","int","int","int","Boolean","int","Boolean","String","String","int","String","String","boolean","boolean","boolean","String","Boolean","int","int","int","int","int","String","String","String","String","int","boolean","int","int","String","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","String","int","String","String","int","int","int","int","int","int","String","int","int","String","boolean","int","int","int","int","int","int","int","String","int","boolean","int","int","int","int","int","int","int","int","String","String","int","int","boolean","int","String","int","String","int","int","String","int","int","String","int","String","String","int","String","int","int","String","int","int","boolean","int","boolean","boolean","boolean","int","int","String"
"Capital Hall",1,"TID_CAPBUILD_CAPHQ","TID_CAPBUILD_CAPHQ_INFO","Town Hall",,,"sc/buildings_cc.sc","d0_HQ_lvl01",,,"dummy_particle",,,,,,"CapitalResource",25000,,,6,6,,"sc/buildings_cc.sc","upgrade_fence_6x6_th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,1500,,,,8000,,5000,0,,,,,,"Town Hall Destroyed",,"Artillery Attack",,,,,,,"Ancient Hit","Capital Hall Ammo1",,"sc/buildings_cc.sc","Capital_Hall_Broken",5,5,,"capitalhall_base","TRUE","TRUE",,,,,,,,,,,250,,,,,,"Town Hall Pickup","Town Hall Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,"TRUE",500,,,,"beam_down",,,,,,,"Artillery Hit",1125,1,"Artillery PreAttack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Defense",,,,1000,,,,,,,,,"TRUE",,,100,45,
,2,,,,,,,"d0_HQ_lvl02",,,,,,,,,,50000,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,80,,,,,,,,,,,,,,,,"Capital Hall Ammo1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,180,
,3,,,,,,,"d0_HQ_lvl03",,,,,,,,,,75000,2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,,,,,,,,,100,,,,,,,,,,,,,,,,"Capital Hall Ammo1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,360,
,4,,,,,,,"d0_HQ_lvl04",,,,,,,,,,100000,3,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,120,,,,,,,,,,,,,,,,"Capital Hall Ammo1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,585,
,5,,,,,,,"d0_HQ_lvl05",,,,,,,,,,150000,4,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,,,,,,140,,,,,,,,,,,,,,,,"Capital Hall Ammo1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,810,
,6,,,,,,,"d0_HQ_lvl06",,,,,,,,,,200000,5,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,,160,,,,,,,,,,,,,,,,"Capital Hall Ammo2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1115,
,7,,,,,,,"d0_HQ_lvl07",,,,,,,,,,400000,6,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000,,,,,,,,,190,,,,,,,,,,,,,,,,"Capital Hall Ammo3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1240,
,8,,,,,,,"d0_HQ_lvl08",,,,,,,,,,600000,7,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,,,,220,,,,,,,,,,,,,,,,"Capital Hall Ammo3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1260,
,9,,,,,,,"d0_HQ_lvl09",,,,,,,,,,800000,8,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,,,,,,,,,250,,,,,,,,,,,,,,,,"Capital Hall Ammo3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1375,
