"Name","Dependencies","MissionCategory","VillageType","FirstStep","Deprecated","Action","Character","FixVillageObject","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","ShowMap","ClientCondition","ClientStartAction","TutorialText","TutorialStep","Darken","TutorialTextBox","TutorialCharacter","CharacterSWF","LoopAnim","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialSound","HighlightArrowPath","HighlightArrowDirection","ClientAction","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData","Villagers","ForceCamera","WaitUntilPopupIsClosed","LinkedReengagementStep","RewindOnConditionFail","ProgressWithCondition","LinkedMission"
"String","String","String","int","boolean","boolean","String","String","String","String","int","int","String","String","int","int","boolean","String","String","String","int","boolean","String","String","String","boolean","String","boolean","String","String","String","String","String","String","String","int","int","String","int","int","int","boolean","boolean","int","boolean","boolean","String"
"Capital Peak Intro",,"CAPITAL",,,,"custom",,,,,,,,,,,"noPopups && isMainDistrict","enableCinematic(true)","TID_CAPITAL_TUTORIAL_7",,"TRUE","tutorial_friendly","grand_builder_happy","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_04.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && isMainDistrict",,"TID_CAPITAL_TUTORIAL_8",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && isMainDistrict",,"TID_CAPITAL_TUTORIAL_9",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && isMainDistrict",,"TID_CAPITAL_TUTORIAL_10",,"TRUE","tutorial_friendly","grand_builder_happy","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && isMainDistrict",,"TID_CAPITAL_TUTORIAL_11",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,"enableCinematic(false)",,,,,,,,,,,,,
"Repair Ruin","Capital Peak Intro","INFO",,,,"custom",,,,,,,,,,,"noPopups && canRepairRuin",,,-1,,,,,,,,,,,"GO:Custom.repairableRuin","down",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && canRepairSelectedRuin",,"TID_TUTORIAL_RUINS_1",,"TRUE","tutorial_friendly","grand_builder_bored","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_vo_hmm_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"noPopups && canRepairSelectedRuin",,"TID_TUTORIAL_RUINS_2",,,"tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_04.ogg","UI:GameObjectButton.rebuild","down",,,,,,,,,,,,"true","true",
,,,,,,,,,,,,,,,,,"canRepairSelectedRuin && showingUpgradeScreen",,"TID_TUTORIAL_RUINS_3",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
