"TID","CN"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","简体中文"
"TID_BUILDING_HOUSE","房屋"
"TID_BUILDING_HOUSING","兵营"
"TID_BUILDING_TOWN_HALL","大本营"
"TID_BUILDING_ELIXIR_PUMP","圣水收集器"
"TID_BUILDING_ELIXIR_STORAGE","圣水瓶"
"TID_BUILDING_GOLD_MINE","金矿"
"TID_BUILDING_GOLD_STORAGE","储金罐"
"TID_BUILDING_BARRACK","训练营"
"TID_BUILDING_CANNON","加农炮"
"TID_BUILDING_TESLA_TOWER","特斯拉电磁塔"
"TID_BUILDING_WALL","城墙"
"TID_BUILDING_FENCE","篱笆"
"TID_BUILDING_WIZARD_TOWER","法师塔"
"TID_BUILDING_AIR_DEFENSE","防空火箭"
"TID_BUILDING_MORTAR","迫击炮"
"TID_WORKER_BUILDING","建筑工人小屋"
"TID_BUILDING_LABORATORY","实验室"
"TID_TRAP_BOMB","隐形炸弹"
"TID_TRAP_EJECT","隐形弹簧"
"TID_TRAP_TIMETRAP","时间陷阱"
"TID_BUTTON_SPEEDUP","立即完成"
"TID_BUTTON_UPGRADE","升级"
"TID_BUTTON_ATTACK","进攻！"
"TID_BUTTON_SHOP","商店"
"TID_BUTTON_SELL","出售"
"TID_BUTTON_CANCEL","取消"
"TID_BUTTON_TRAIN","训练部队"
"TID_BUTTON_COLLECT","收集"
"TID_BUTTON_INFO","信息"
"TID_BUTTON_CLEAR","移除"
"TID_BUTTON_HOME","回营"
"TID_BUTTON_ACCEPT","接受"
"TID_BUTTON_REJECT","拒绝"
"TID_BUTTON_SEND","发送"
"TID_BUTTON_JOIN","加入"
"TID_TAB_GLOBAL_CHAT","公众聊天"
"TID_TAB_ALLIANCE_CHAT","部落内部"
"TID_OBSTACLE_TREE","树"
"TID_OBSTACLE_STONE","石头"
"TID_OBSTACLE_BUSH","灌木"
"TID_OBSTACLE_TRUNK","树干"
"TID_OBSTACLE_MUSHROOM","蘑菇"
"TID_DECORATION_BARBARIAN_STATUE","万能神像"
"TID_DECORATION_TORCH","火把"
"TID_DECORATION_WHITE_FLAG","白旗"
"TID_DECORATION_SKULL_FLAG","航海旗"
"TID_DECORATION_FLOWERBOX1","矢车菊"
"TID_DECORATION_FLOWERBOX2","太阳花"
"TID_DECORATION_WINDMETER","风向标"
"TID_DECORATION_DOWNARROW_FLAG","集合旗"
"TID_DECORATION_UPARROW_FLAG","点标旗"
"TID_DECORATION_SKULL_ALTAR","古代头骨"
"TID_DECORATION_NATIONAL_FLAG","国旗"
"TID_TIME_DAYS","天"
"TID_TIME_HOURS","小时"
"TID_TIME_MINS","分钟"
"TID_TIME_SECS","秒"
"TID_BATTLE_TIME_TITLE","离战斗结束还有："
"TID_POPUP_HEADER_WARNING","警告！"
"TID_POPUP_UNDER_ATTACK","您的村庄正在遭受攻击。稍等片刻您就可以回到村庄！"
"TID_POPUP_TRY_AGAIN","预计等待时间："
"TID_BUTTON_OKAY","确定"
"TID_POPUP_TRAIN_TITLE","训练部队<limit>"
"TID_INVALID_PLACEMENT","您不能在红线范围内派遣部队！"
"TID_ALL_TROOPS_USED","已经派出所有兵力"
"TID_OTHER_TROOP_LEFT","请选择其他兵种"
"TID_DIAMONDS","宝石"
"TID_GOLD","金币"
"TID_ELIXIR","圣水"
"TID_ITEM_LEVEL","<item>（<number>级）"
"TID_SHOP_TITLE","商店"
"TID_ITEM_BROKEN","<item>（损坏）"
"TID_BUILDING_ARCHER_TOWER","箭塔"
"TID_BUILDING_CLASS_ARMY","军队建筑"
"TID_BUILDING_CLASS_DEFENSE","防御设施"
"TID_BUILDING_CLASS_RESOURCE","资源"
"TID_BUILDING_CLASS_WALL","城墙"
"TID_NOT_ENOUGH_WORKERS_HEADER","所有建筑工人都很忙！"
"TID_NOT_ENOUGH_WORKERS_TEXT","立刻完成建筑工人手上的一项工作，空出一个建筑工人？"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","让建筑大师完成他手上的工作，开始新的工作？"
"TID_NOT_ENOUGH_RESOURCE","您没有足够的<resource>！"
"TID_NOT_ENOUGH_RESOURCE_TWO","您没有足够的<resource1>和<resource2>！"
"TID_TOWN_HALL_LEVEL_TOO_LOW","您需要将大本营升至<number>级！"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","您需要将建筑大师大本营升至<number>级！"
"TID_POPUP_UPGRADE_TITLE","确定升至<number>级吗？"
"TID_POPUP_UPGRADE_BUILD_MORE","建造更多："
"TID_RESOURCE_CAP_FULL_GOLD","建造更多储金罐或升级已有的储金罐！"
"TID_RESOURCE_CAP_FULL_ELIXIR","建造更多圣水瓶或升级已有的圣水瓶！"
"TID_RESOURCE_CAP_FULL_GENERIC","建造更多资源仓库或升级已有的资源仓库！"
"TID_POPUP_FRIEND_LIST_TITLE","好友"
"TID_POPUP_SOCIAL_LIST_TITLE","社交"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","连接Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","登录Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","正在加载好友列表..."
"TID_OBSTACLE_TOMBSTONE","墓碑"
"TID_NO_FACEBOOK_FRIENDS","找不到玩《部落冲突》的Facebook好友"
"TID_ATTACK_FAIL_NO_MATCHES","无法找到可进攻的村庄！"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","村庄正遭受攻击，无法攻击！"
"TID_ATTACK_FAIL_TARGET_ONLINE","首领在家，无法攻击！"
"TID_ATTACK_FAIL_SAME_ALLIANCE","无法攻击同一部落的玩家！"
"TID_ATTACK_FAIL_SHIELD","玩家已启用护盾，无法攻击！"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","等级相差超过<level>级，无法攻击！"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","该村庄大本营等级低于<number>，无法攻击。"
"TID_DEFAULT_VILLAGE_NAME","<name>的村庄"
"TID_BATTLE_LOG_TITLE","您遭到了攻击！"
"TID_BATTLE_LOG_ITEM","<name>在<time>之前攻击了您。"
"TID_NO_TROOPS","您需要先训练一些部队。"
"TID_NO_SPELLS","您需要先配制一些法术。"
"TID_ERROR_POP_UP_BANNED_TITLE","账号信息！"
"TID_ERROR_POP_UP_BANNED","您的账号已被临时封禁"
"TID_ERROR_POP_UP_BANNED_BUTTON","确定"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","连接错误"
"TID_ERROR_POP_UP_CONNECTION_FAILED","无法连接至服务器。请检查您的网络连接后再次尝试。"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","重试"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","连接中断"
"TID_ERROR_POP_UP_CONNECTION_LOST","与服务器失去连接，请检查您的网络连接后再次尝试。"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","重试"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","还在吗？"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","因为太久没有进行操作，您已断开连接。"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","重新载入游戏"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","登录失败"
"TID_ERROR_POP_UP_LOGIN_FAILED","请稍后重试。"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","重试"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","可以更新了！"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","好消息！现在可以下载新版本了。"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","更新"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","错误！"
"TID_ERROR_POP_UP_OUT_OF_SYNC","客户端和服务器不同步！请前往您的应用商店查看并下载最新版本，以便获得最佳游戏体验。"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","重新载入游戏"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","系统维护"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","抱歉，服务器正在维护中。请稍后重试。"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","重试"
"TID_BUILDING_ALLIANCE_CASTLE","部落城堡"
"TID_BUILDING_ALLIANCE_MARKER","部落旗帜"
"TID_COMM_MAST","无线电塔"
"TID_TRAP_MINE","隐形炸弹"
"TID_TRAP_EJECTOR","隐形弹簧"
"TID_SHOP_GUARD_2H","两小时村庄守卫"
"TID_SHOP_SHIELD_1D","一天护盾"
"TID_SHOP_SHIELD_2D","两天护盾"
"TID_SHOP_SHIELD_7D","一周护盾"
"TID_ALLIANCE_MAIN_BUTTON","部落"
"TID_ALLIANCE_LIST_HEADER","部落"
"TID_CREATE_ALLIANCE_BUTTON","创建"
"TID_LEAVE_ALLIANCE_BUTTON","退出"
"TID_JOIN_ALLIANCE_TAB","加入部落"
"TID_CREATE_ALLIANCE_TAB","创建部落"
"TID_MY_ALLIANCE_TAB","我的部落"
"TID_ALLIANCE_BUTTON_EDIT","编辑"
"TID_ALLIANCE_CREATE_NAME","部落名称："
"TID_ALLIANCE_CREATE_DESCRIPTION","描述："
"TID_ALLIANCE_CREATE_BADGE","徽章："
"TID_ALLIANCE_CREATE_TYPE","部落类型："
"TID_ALLIANCE_BADGE_BROWSE","浏览"
"TID_ALLIANCE_TYPE_OPEN","任何人都可加入"
"TID_ALLIANCE_TYPE_INVITE_ONLY","只有被批准才能加入"
"TID_ALLIANCE_TYPE_CLOSED","不可加入"
"TID_TOO_SHORT_ALLIANCE_NAME","部落名称太短了！"
"TID_BACK_BUTTON","返回"
"TID_ALLIANCE_SELECT_BADGE","编辑部落徽章"
"TID_ALLIANCE_JOIN_BUTTON","加入"
"TID_ALLIANCE_JOIN_OK","现在您是 <name> 部落的一员了！"
"TID_ALLIANCE_CREATE_OK","您成功创建了一个新的部落！"
"TID_ALLIANCE_BUTTON_LEAVE","退出"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","退出部落吗？"
"TID_ALLIANCE_LEAVE_CONFIRMATION","您确定要退出部落吗？"
"TID_ALLIANCE_ROLE_ADMIN","长老"
"TID_ALLIANCE_ROLE_LEADER","首领"
"TID_ALLIANCE_ROLE_MEMBER","成员"
"TID_ALLIANCE_PROMOTE_BUTTON","晋升为<role>"
"TID_ALLIANCE_DEMOTE_BUTTON","降职为<role>"
"TID_ALLIANCE_ACCEPTED_BY","<name>接受了该请求"
"TID_ALLIANCE_REJECTED_BY","<name>拒绝了该请求"
"TID_ALLIANCE_REQUEST_SENT","请求已发送！"
"TID_ALLIANCE_INVITATION_OK","已成功发送邀请。"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","该玩家未重建部落城堡，无法邀请！"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","玩家已经加入了另一个部落！"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","您已经邀请过该玩家了！"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","我想加入你们的部落"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","是否接受加入请求？"
"TID_KICK_OUT_FROM_ALLIANCE","踢出"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","移交职位？"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","晋升<name>为新的部落首领吗？"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","确定晋升吗？"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","晋升<name>为部落长老吗？"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","确定降职吗？"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","把<name>降为部落成员吗？"
"TID_VISIT_BUTTON","参观"
"TID_VIEW_PROFILE_BUTTON","更多信息"
"TID_INVITE_BUTTON","邀请"
"TID_VIEW_ALLIANCE","查看部落"
"TID_SETTINGS_LANGUAGE","语言"
"TID_SAVE_ALLIANCE_SETTINGS","保存"
"TID_STREAM_DONATE_TEXT","需要增援"
"TID_STREAM_DONATE_BUTTON","增援"
"TID_ALLIANCE_DONATE_HEADER","增援"
"TID_BUTTON_REQUEST_TROOPS","请求"
"TID_TROOP_REQUEST_SENT","请求已发送！"
"TID_ALLIANCE_STREAM_THANKS","感谢您的增援！"
"TID_ALLIANCE_TROOP_RECEIVED","您已获得<avatar>增援的<level>级<troop>！"
"TID_BARBARIAN","野蛮人"
"TID_ARCHER","弓箭手"
"TID_GIANT","巨人"
"TID_DRAGON","飞龙"
"TID_PEKKA","皮卡超人"
"TID_GOBLIN","哥布林"
"TID_WALL_BREAKER","炸弹人"
"TID_GOBLIN_BALLOON","气球兵"
"TID_HEALER","天使"
"TID_WIZARD","法师"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","部落城堡已满！"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","稍等片刻才能再次请求增援哦。"
"TID_ALLIANCE_STREAM_REWARD","您获得了<number>点经验值"
"TID_HOUSING_TROOPS_INSIDE","所有部队："
"TID_UNIT_STORAGE_CAPACITY","部队容量：<number>"
"TID_REGENERATION_TIME","恢复需要：<number>分钟"
"TID_HITPOINTS","生命值：<number>"
"TID_DPS","每秒伤害值：<number>"
"TID_BURST_SIZE","连发数量：<number>连发"
"TID_HEAL","治疗量：<number>"
"TID_TRAIN_COST","训练费用：<number><resource>"
"TID_RESOURCE_STORAGE_CAPACITY","容量：<number>"
"TID_PRODUCTION_RATE","生产速度：每小时<number>"
"TID_PRODUCTION_CAPACITY","容量：<number>"
"TID_TRAINING_TIME","训练时间：<number>"
"TID_TRAINING_TIME_REDUCTION","训练时间减少：<number>"
"TID_HOUSING_INFO","部队驻扎在兵营。建造并升级兵营以容纳更多部队。"
"TID_TOWN_HALL_INFO","大本营是村庄的核心。升级大本营，可解锁新的防御、建筑、陷阱和更多内容。\n摧毁敌军大本营，您将赢得战争，并获得一颗星。\n摧毁敌军50%的建筑及其大本营，可赢得第二颗星。\n如果100%全毁敌军建筑，则获得满分三星。\n小心！敌军也会尝试摧毁您的大本营！\n把大本营建在村庄中心，并在其周围建造城墙、陷阱以及其他防御是最安全的举措。\n敌军十分狡猾，可能在村庄的任何一侧发起进攻！"
"TID_ELIXIR_PUMP_INFO","圣水收集器可以从村庄地下的圣泉中收集圣水。升级您的圣水收集器以使圣水产量最大化。"
"TID_ELIXIR_STORAGE_INFO","圣水瓶用来保存从地下收集的圣水。升级圣水瓶以提升其存储上限。"
"TID_GOLD_MINE_INFO","金矿生产金币。升级金矿提高金币产量和容量。"
