"TID","FR"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Français"
"TID_BUILDING_HOUSE","Maison"
"TID_BUILDING_HOUSING","Camp militaire"
"TID_BUILDING_TOWN_HALL","Hôtel de ville"
"TID_BUILDING_ELIXIR_PUMP","Extracteur d'élixir"
"TID_BUILDING_ELIXIR_STORAGE","Réservoir d'élixir"
"TID_BUILDING_GOLD_MINE","Mine d'or"
"TID_BUILDING_GOLD_STORAGE","Réserve d'or"
"TID_BUILDING_BARRACK","Caserne"
"TID_BUILDING_CANNON","Canon"
"TID_BUILDING_TESLA_TOWER","Tesla camouflée"
"TID_BUILDING_WALL","Rempart"
"TID_BUILDING_FENCE","Barrière"
"TID_BUILDING_WIZARD_TOWER","Tour de sorciers"
"TID_BUILDING_AIR_DEFENSE","Défense anti-aérienne"
"TID_BUILDING_MORTAR","Mortier"
"TID_WORKER_BUILDING","Cabane d'ouvrier"
"TID_BUILDING_LABORATORY","Laboratoire"
"TID_TRAP_BOMB","Piège à bombe"
"TID_TRAP_EJECT","Piège à ressort"
"TID_TRAP_TIMETRAP","Bombe à retardement"
"TID_BUTTON_SPEEDUP","Terminer"
"TID_BUTTON_UPGRADE","Améliorer"
"TID_BUTTON_ATTACK","Attaquer"
"TID_BUTTON_SHOP","Magasin"
"TID_BUTTON_SELL","Vendre"
"TID_BUTTON_CANCEL","Annuler"
"TID_BUTTON_TRAIN","Former"
"TID_BUTTON_COLLECT","Récupérer"
"TID_BUTTON_INFO","Infos"
"TID_BUTTON_CLEAR","Supprimer"
"TID_BUTTON_HOME","Rentrer"
"TID_BUTTON_ACCEPT","Accepter"
"TID_BUTTON_REJECT","Rejeter"
"TID_BUTTON_SEND","Envoyer"
"TID_BUTTON_JOIN","Rejoindre"
"TID_TAB_GLOBAL_CHAT","Général"
"TID_TAB_ALLIANCE_CHAT","Clan"
"TID_OBSTACLE_TREE","Arbre"
"TID_OBSTACLE_STONE","Rocher"
"TID_OBSTACLE_BUSH","Buisson"
"TID_OBSTACLE_TRUNK","Tronc"
"TID_OBSTACLE_MUSHROOM","Champignons"
"TID_DECORATION_BARBARIAN_STATUE","Grande statue"
"TID_DECORATION_TORCH","Torche"
"TID_DECORATION_WHITE_FLAG","Drapeau blanc"
"TID_DECORATION_SKULL_FLAG","Drapeau de pirate"
"TID_DECORATION_FLOWERBOX1","Plant de fleurs roses"
"TID_DECORATION_FLOWERBOX2","Plant de tournesols"
"TID_DECORATION_WINDMETER","Girouette"
"TID_DECORATION_DOWNARROW_FLAG","Drapeau de rassemblement"
"TID_DECORATION_UPARROW_FLAG","Drapeau de positionnement"
"TID_DECORATION_SKULL_ALTAR","Crâne ancien"
"TID_DECORATION_NATIONAL_FLAG","Drapeau national"
"TID_TIME_DAYS","j"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","min"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Fin de la bataille dans :"
"TID_POPUP_HEADER_WARNING","Attention !"
"TID_POPUP_UNDER_ATTACK","On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village."
"TID_POPUP_TRY_AGAIN","Temps restant estimé :"
"TID_BUTTON_OKAY","OK"
"TID_POPUP_TRAIN_TITLE","Former des troupes <limit>"
"TID_INVALID_PLACEMENT","Impossible de déployer des troupes dans la zone rouge !"
"TID_ALL_TROOPS_USED","Toutes les forces sont déployées."
"TID_OTHER_TROOP_LEFT","Sélectionnez une autre unité"
"TID_DIAMONDS","Gemmes"
"TID_GOLD","Or"
"TID_ELIXIR","Élixir"
"TID_ITEM_LEVEL","<item> (niveau <number>)"
"TID_SHOP_TITLE","Magasin"
"TID_ITEM_BROKEN","<item> (cassé)"
"TID_BUILDING_ARCHER_TOWER","Tour d'archères"
"TID_BUILDING_CLASS_ARMY","Bâtiments militaires"
"TID_BUILDING_CLASS_DEFENSE","Défenses"
"TID_BUILDING_CLASS_RESOURCE","Ressources"
"TID_BUILDING_CLASS_WALL","Remparts"
"TID_NOT_ENOUGH_WORKERS_HEADER","Ouvriers tous occupés"
"TID_NOT_ENOUGH_WORKERS_TEXT","Terminer le bâtiment précédent pour libérer un ouvrier ?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Terminer le bâtiment précédent pour libérer le maître ouvrier ?"
"TID_NOT_ENOUGH_RESOURCE","Vous n'avez pas assez de : <resource> !"
"TID_NOT_ENOUGH_RESOURCE_TWO","Vous n'avez pas assez de : <resource1> et <resource2> !"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Vous devez améliorer votre hôtel de ville au niveau <number> !"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Vous devez améliorer votre maison des ouvriers au niveau <number> !"
"TID_POPUP_UPGRADE_TITLE","Améliorer au niveau <number> ?"
"TID_POPUP_UPGRADE_BUILD_MORE","Construire davantage :"
"TID_RESOURCE_CAP_FULL_GOLD","Construisez plus de réserves d'or ou améliorez celles que vous avez déjà !"
"TID_RESOURCE_CAP_FULL_ELIXIR","Construisez plus de réservoirs d'élixir ou améliorez ceux que vous avez déjà !"
"TID_RESOURCE_CAP_FULL_GENERIC","Construisez plus de réserves ou améliorez celles que vous avez déjà !"
"TID_POPUP_FRIEND_LIST_TITLE","Amis"
"TID_POPUP_SOCIAL_LIST_TITLE","Social"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Connexion à Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Connexion à Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Chargement de la liste d'amis..."
"TID_OBSTACLE_TOMBSTONE","Pierre tombale"
"TID_NO_FACEBOOK_FRIENDS","Impossible de trouver vos amis Facebook qui jouent à Clash of Clans."
"TID_ATTACK_FAIL_NO_MATCHES","Impossible de trouver des villages à attaquer."
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Attaque impossible. Ce village subit déjà une attaque !"
"TID_ATTACK_FAIL_TARGET_ONLINE","Attaque impossible. Le propriétaire de ce village est en ligne."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Attaque impossible. Vous ne pouvez pas attaquer un membre de votre clan !"
"TID_ATTACK_FAIL_SHIELD","Attaque impossible. Le bouclier de ce village est activé."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Attaque impossible. La différence de niveaux est supérieure à <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Attaque impossible. L'hôtel de ville de ce village est de niveau inférieur à <number>."
"TID_DEFAULT_VILLAGE_NAME","Village de <name>"
"TID_BATTLE_LOG_TITLE","Vous avez subi une attaque !"
