"Name","FileName","LocalizedName","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","BoomBoxCommunityUrl","BoomBoxCommunityStagingUrl","BoomBoxCommunityContentShowsBadge","BoomBoxEsportsUrl","BoomBoxEsportsStagingUrl","TournamentHubUrl","TournamentHubStagingUrl","BoomBoxProvidesBackButton","HelpshiftLanguageTagOverride","ForcedFontName","SelfHelpUrl","BoomboxLocaleNews","BoomboxLocaleNewsStage","BoomboxLocaleCommunity","BoomboxLocaleCommunityStage","BoomboxLocaleEsports","BoomboxLocaleEsportsStage"
"String","String","String","boolean","boolean","String","String","String","int","boolean","String","boolean","String","String","String","String","boolean","String","String","String","String","boolean","String","String","String","String","String","String","String","String","String"
"EN","localization/texts.csv","English",,,,"en",,1,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","https://inbox.clashofclans.com/community","https://inbox-staging.clashofclans.com/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"EN",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html","en","en","en","en","en","en"
"FR","localization/fr.csv","Français",,,,"fr",,2,,,"true","https://inbox.clashofclans.com/fr","https://inbox-staging.clashofclans.com/fr","https://inbox.clashofclans.com/fr/community","https://inbox-staging.clashofclans.com/fr/community",,"https://inbox.clashofclans.com/fr/esport","https://inbox-staging.clashofclans.com/fr/esport","https://clashofclans.scescdn.com/fr","https://clashofclans-dev.scescdn.com/fr",,"FR",,"https://ingame.help.supercellsupport.com/clash-of-clans/fr/index.html","fr","fr","fr","fr","fr","fr"
"DE","localization/de.csv","Deutsch",,,,"de",,3,,,"true","https://inbox.clashofclans.com/de","https://inbox-staging.clashofclans.com/de","https://inbox.clashofclans.com/de/community","https://inbox-staging.clashofclans.com/de/community",,"https://inbox.clashofclans.com/de/esport","https://inbox-staging.clashofclans.com/de/esport","https://clashofclans.scescdn.com/de","https://clashofclans-dev.scescdn.com/de",,"DE",,"https://ingame.help.supercellsupport.com/clash-of-clans/de/index.html","de","de","de","de","de","de"
"ES","localization/es.csv","Español",,,,"es",,4,,,"true","https://inbox.clashofclans.com/es","https://inbox-staging.clashofclans.com/es","https://inbox.clashofclans.com/es/community","https://inbox-staging.clashofclans.com/es/community",,"https://inbox.clashofclans.com/es/esport","https://inbox-staging.clashofclans.com/es/esport","https://clashofclans.scescdn.com/es","https://clashofclans-dev.scescdn.com/es",,"ES",,"https://ingame.help.supercellsupport.com/clash-of-clans/es/index.html","es","es","es","es","es","es"
"IT","localization/it.csv","Italiano",,,,"it",,5,,,"true","https://inbox.clashofclans.com/it","https://inbox-staging.clashofclans.com/it","https://inbox.clashofclans.com/it/community","https://inbox-staging.clashofclans.com/it/community",,"https://inbox.clashofclans.com/it/esport","https://inbox-staging.clashofclans.com/it/esport","https://clashofclans.scescdn.com/it","https://clashofclans-dev.scescdn.com/it",,"IT",,"https://ingame.help.supercellsupport.com/clash-of-clans/it/index.html","it","it","it","it","it","it"
"NL","localization/nl.csv","Nederlands",,,,"nl",,6,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/nl","https://inbox.clashofclans.com/nl/community","https://inbox-staging.clashofclans.com/nl/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"NL",,"https://ingame.help.supercellsupport.com/clash-of-clans/nl/index.html","en","nl","nl","nl","en","en"
"NO","localization/no.csv","Norsk",,,,,,7,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/no","https://inbox.clashofclans.com/community","https://inbox-staging.clashofclans.com/no/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"NO",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html","en","no","en","no","en","en"
"PT","localization/pt.csv","Português",,,,"pt","pt",8,,,"true","https://inbox.clashofclans.com/pt","https://inbox-staging.clashofclans.com/pt","https://inbox.clashofclans.com/pt/community","https://inbox-staging.clashofclans.com/pt/community",,"https://inbox.clashofclans.com/pt/esport","https://inbox-staging.clashofclans.com/pt/esport","https://clashofclans.scescdn.com/pt","https://clashofclans-dev.scescdn.com/pt",,"PT",,"https://ingame.help.supercellsupport.com/clash-of-clans/pt/index.html","pt","pt","pt","pt","pt","pt"
"TR","localization/tr.csv","Türkçe",,,,"tr",,9,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/tr","https://inbox.clashofclans.com/tr/community","https://inbox-staging.clashofclans.com/tr/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"TR",,"https://ingame.help.supercellsupport.com/clash-of-clans/tr/index.html","en","tr","tr","tr","en","en"
"CN","localization/cn.csv","简体中文","TRUE",,"STHeitiSC-Medium","zh-Hans","zh-Hans",11,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com",,,,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"CN",,"https://ingame.help.supercellsupport.com/clash-of-clans/zh_cn/index.html","en","en",,,"en","en"
"JP","localization/jp.csv","日本語","TRUE",,"HiraKakuProN-W6","ja",,13,,,"true","https://inbox.clashofclans.com/ja","https://inbox-staging.clashofclans.com/ja","https://inbox.clashofclans.com/ja/community","https://inbox-staging.clashofclans.com/ja/community",,"https://inbox.clashofclans.com/ja/esport","https://inbox-staging.clashofclans.com/ja/esport","https://clashofclans.scescdn.com/jp","https://clashofclans-dev.scescdn.com/jp",,"JP",,"https://ingame.help.supercellsupport.com/clash-of-clans/ja/index.html","ja","ja","ja","ja","ja","ja"
"KR","localization/kr.csv","한국어","TRUE",,,"ko",,14,,,"true","https://inbox.clashofclans.com/ko","https://inbox-staging.clashofclans.com/ko","https://inbox.clashofclans.com/ko/community","https://inbox-staging.clashofclans.com/ko/community",,"https://inbox.clashofclans.com/ko/esport","https://inbox-staging.clashofclans.com/ko/esport","https://clashofclans.scescdn.com/ko","https://clashofclans-dev.scescdn.com/ko",,"KR",,"https://ingame.help.supercellsupport.com/clash-of-clans/ko/index.html","ko","ko","ko","ko","ko","ko"
"RU","localization/ru.csv","Pусский",,,,"ru",,10,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/ru","https://inbox.clashofclans.com/ru/community","https://inbox-staging.clashofclans.com/ru/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"RU",,"https://ingame.help.supercellsupport.com/clash-of-clans/ru/index.html","en","ru","ru","ru","en","en"
"TEXT",,"Longest Text",,,,"zh-hans","zh-Hans",1000,"TRUE","AR",,,,,,,,,,,,"EN",,,,,,,,
,,,,,,,,,,"FA",,,,,,,,,,,,,,,,,,,,
"WORD",,"Longest Word",,,,"cn","Zh-Hant",1001,"TRUE","AR",,,,,,,,,,,,"EN",,,,,,,,
,,,,,,,,,,"FA",,,,,,,,,,,,,,,,,,,,
"DOUBLE",,"Double String",,,,"zh-Hans","zh-Hans",1002,"TRUE",,,,,,,,,,,,,"EN",,,,,,,,
"EMPTY",,"Empty Texts",,,,"ko","ko",1003,"TRUE",,,,,,,,,,,,,"EN",,,,,,,,
"CNT","localization/cnt.csv","繁體中文","TRUE",,"STHeitiSC-Medium","zh-Hant","zh-Hant",12,,,"true","https://inbox.clashofclans.com/zh","https://inbox-staging.clashofclans.com/zh","https://inbox.clashofclans.com/zh/community","https://inbox-staging.clashofclans.com/zh/community",,"https://inbox.clashofclans.com/zh/esport","https://inbox-staging.clashofclans.com/zh/esport","https://clashofclans.scescdn.com/zh_TW","https://clashofclans-dev.scescdn.com/zh_TW",,"CNT",,"https://ingame.help.supercellsupport.com/clash-of-clans/zh/index.html","zh","zh","zh","zh","zh","zh"
"AR","localization/ar.csv","العربية",,"TRUE",,"ar",,15,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/ar","https://inbox.clashofclans.com/ar/community","https://inbox-staging.clashofclans.com/ar/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"AR",,"https://ingame.help.supercellsupport.com/clash-of-clans/ar/index.html","en","ar","ar","ar","en","en"
