"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","RotateEmitter","Effect","RotateEffect","SpawnEffect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPositionOnCharacters","SmallRandomHitPositionOnBuildings","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","HitSpellInheritAffectType","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","MaxTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent","UseNormalizeLenghtFix","MaxBounceDistance","StopToTargetTime","SmoothDamage","StartOffsetFromGunBone","PenetratingHitBoxWidth","MaxHitBuildings","ReturningProjectile","RetargetRadius","RetargetTimer","3D","DepthBiasFront","DepthBiasBack","HasBunkerTroops","HitsGroundAndAir"
"String","String","String","boolean","int","String","boolean","String","boolean","String","int","int","int","boolean","String","String","boolean","boolean","boolean","boolean","boolean","boolean","int","String","int","boolean","boolean","int","int","int","int","int","String","String","int","int","boolean","int","int","boolean","boolean","int","int","boolean","int","int","String","int","int","boolean","boolean"
"Cannonball","sc/buildings.sc","basic_turret_ammo","false",0,,"false",,"false",,1200,50,50,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball2","sc/buildings.sc","basic_turret_ammo2","false",0,,"false",,"false",,1200,48,54,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball4","sc/buildings.sc","basic_turret_ammo4","false",0,,"false",,"false",,1200,54,58,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball5","sc/buildings.sc","basic_turret_ammo5","false",0,,"false",,"false",,1200,56,62,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball7","sc/buildings.sc","basic_turret_ammo7","false",0,,"false",,"false",,1200,60,66,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball10","sc/buildings.sc","basic_turret_ammo10","false",0,,"false",,"false",,1200,65,70,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball12","sc/buildings.sc","basic_turret_ammo12","false",0,"Spark Trail","false",,"false",,1200,70,72,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball13","sc/buildings.sc","basic_turret_ammo13","false",0,"Spark Trail B","false",,"false",,1200,75,74,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball14","sc/buildings.sc","basic_turret_ammo14","false",0,"Spark Trail B","false",,"false",,1200,75,76,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Cannonball15","sc/buildings.sc","basic_turret_ammo15","false",0,"Spark Trail Jungle","false",,"false",,1200,75,76,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
