"Name",0
"String","int"
"Markus Aalto",
"Seth Allison",
"Patrick Almgren",
"Marika Appel",
"Cosmin Baltaretu",
"Jakub Barczyk",
"Dennis Belfrage",
"Anna Bouveng",
"David Burke",
"Simião Carvalho",
"John Cipriani",
"Johannes Cole",
"Jonas Collaros",
"Stephan Demirdjian",
"Niko Derome",
"David Edwards",
"James Ellis",
"Fernando Ferri",
"Visa Forsten",
"Jon Franzas",
"Shaun Green",
"Tommi Hakala",
"Stefan Hauk",
"Dylan Harfoot",
"David Häggqvist",
"Lauri Härsilä",
"Harri Hätinen",
"Janne Hilpi",
"Hrvoje Horbec",
"Niklas Höglund",
"Lyla Jeong",
"Eino Joas",
"Pauli Kaila",
"Hazel Kavili",
"Kamil Khan",
"Rene Kivioja",
"Rauli Laatikainen",
"Manuel Langegger",
"Mikko Lehtonen",
"Ilkka Leino",
"Lassi Leppinen",
"Shelly Li",
"Seonhee Lim",
"Mikko Lindstedt",
"Leo Linnamaa",
"Jani Lintunen",
"Lasse Louhento",
"Kalvin Lyle",
"Timo Maaranen",
"Lauri Manninen",
"Ana Martins",
"Adam Massey",
"Stuart McGaw",
"Pete McLaughlin",
"Mikko Niiranen",
"Cira Nordenswan",
"Juho Ojala",
"Heidi Ojennus",
"Taneli Oksama",
"Andreas Papathanasis",
"Markus Pasula",
"Christopher Peake",
"Adria Pereta",
"Diego Ruiz Pomares",
"Asko Puurula",
"Carole Riault",
"Riku Rikala",
"Alexander Roque",
"Anders Rostgaard",
"Jannica Routamo",
"Zixuan Ruan",
"David Salgado",
"Toni Sariola",
"Petri Savola",
"Martin Schjøler",
"Hayato Sekiguchi",
"Jaume Solà",
"Oliver Ström",
"Petri Styrman",
"Ville Suur-Uski",
"Sam Spilsbury",
"Tommi Suvinen",
"Nora Swithenbank",
"Antti Takala",
"Tero Tarkiainen",
"Arto Tervo",
"Rolands Tiss",
"Stijn Tops",
"Vladimir Tsoi",
"Ali Tunc",
"Jouni Utriainen",
"Veli Vainio",
"Antti Varila",
"Tommi Vikkula",
"Jussi Virtanen",
"Darian Vorlick",
"Kimmo Wallgren",
"Tristan Williams",
"Kustaa Vuori",
"Hotloo Xiranood",
"Artem Yarulin",
"Vesa Ylhäinen",
"Yuri Yoshimura",
"Oscar Zhang",
"_",
"Gabriele Aimone",
"Jonatas Chagas",
"Erlend Christoffersen",
"Sean Cornejo",
"Hannu Halonen",
"Greg Harper",
"Timo Heinäpurola",
"Jari Hokkanen",
"Mikko Hokkanen",
"Jessica Hollmeier",
"Daniel Iosca",
"Shen Jin",
"Robert Kamphuis",
"Mikko Kodisoja",
"Kristian Kurki",
"Miki Kuusi",
"Christina Lee",
"Ville Leino",
"Laura Macdonald",
"Marcus Ng",
"Jumpei Oki",
"Ilkka Paananen",
"Douglas Portugal",
"Antti Ripatti",
"Stephen Rosenshein",
"Oscar Subirats",
"Antti Summala",
"Wilhelm Tigerstedt",
"Kalle Väisänen",
"Ryan Wener",
"Sami Yliharju",
"Jessica Yuan",
"Zhao Zeng",
"__",
"Third Parties",
"*",
"Ehrenborg Studios AB",
"Keywords Studios Plc",
"Michel Azevedo Ribeiro Ilustracoes Eireli",
"PinataHEL Oy",
"Surface Digital Ltd.",
"TESTRONIC LABORATORIES LTD",
"Tonally Yours Oy",
