"TID","PT"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Português"
"TID_BUILDING_HOUSE","Casa"
"TID_BUILDING_HOUSING","Acampamento"
"TID_BUILDING_TOWN_HALL","Centro da Vila"
"TID_BUILDING_ELIXIR_PUMP","Coletor de Elixir"
"TID_BUILDING_ELIXIR_STORAGE","Depósito de Elixir"
"TID_BUILDING_GOLD_MINE","Mina de Ouro"
"TID_BUILDING_GOLD_STORAGE","Depósito de Ouro"
"TID_BUILDING_BARRACK","Quartel"
"TID_BUILDING_CANNON","Canhão"
"TID_BUILDING_TESLA_TOWER","Tesla Oculta"
"TID_BUILDING_WALL","Muro"
"TID_BUILDING_FENCE","Cerca"
"TID_BUILDING_WIZARD_TOWER","Torre do Mago"
"TID_BUILDING_AIR_DEFENSE","Defesa Aérea"
"TID_BUILDING_MORTAR","Morteiro"
"TID_WORKER_BUILDING","Cabana do Construtor"
"TID_BUILDING_LABORATORY","Laboratório"
"TID_TRAP_BOMB","Armadilha de Bomba"
"TID_TRAP_EJECT","Armadilha de Mola"
"TID_TRAP_TIMETRAP","Armadilha de Tempo"
"TID_BUTTON_SPEEDUP","Concluir agora"
"TID_BUTTON_UPGRADE","Melhorar"
"TID_BUTTON_ATTACK","Atacar!"
"TID_BUTTON_SHOP","Loja"
"TID_BUTTON_SELL","Vender"
"TID_BUTTON_CANCEL","Cancelar"
"TID_BUTTON_TRAIN","Treinar Tropas"
"TID_BUTTON_COLLECT","Coletar"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Remover"
"TID_BUTTON_HOME","Voltar"
"TID_BUTTON_ACCEPT","Aceitar"
"TID_BUTTON_REJECT","Recusar"
"TID_BUTTON_SEND","Enviar"
"TID_BUTTON_JOIN","Entrar"
"TID_TAB_GLOBAL_CHAT","Global"
"TID_TAB_ALLIANCE_CHAT","Clã"
"TID_OBSTACLE_TREE","Árvore"
"TID_OBSTACLE_STONE","Pedra"
"TID_OBSTACLE_BUSH","Arbusto"
"TID_OBSTACLE_TRUNK","Tronco"
"TID_OBSTACLE_MUSHROOM","Cogumelos"
"TID_DECORATION_BARBARIAN_STATUE","Estátua Poderosa"
"TID_DECORATION_TORCH","Tocha"
"TID_DECORATION_WHITE_FLAG","Bandeira Branca"
"TID_DECORATION_SKULL_FLAG","Bandeira Pirata"
"TID_DECORATION_FLOWERBOX1","Canteiro de Centáureas"
"TID_DECORATION_FLOWERBOX2","Canteiro de Girassóis"
"TID_DECORATION_WINDMETER","Cata-Vento"
"TID_DECORATION_DOWNARROW_FLAG","Bandeira de Seta 1"
"TID_DECORATION_UPARROW_FLAG","Bandeira de Seta 2"
"TID_DECORATION_SKULL_ALTAR","Crânio Antigo"
"TID_DECORATION_NATIONAL_FLAG","Bandeira Nacional"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Batalha termina em:"
"TID_POPUP_HEADER_WARNING","Atenção!"
"TID_POPUP_UNDER_ATTACK","Você está sob ataque! Aguarde, sua vila será carregada automaticamente."
"TID_POPUP_TRY_AGAIN","Tempo restante estimado:"
"TID_BUTTON_OKAY","Ok"
"TID_POPUP_TRAIN_TITLE","Treinar Tropas <limit>"
"TID_INVALID_PLACEMENT","Você não pode mobilizar tropas na área vermelha!"
"TID_ALL_TROOPS_USED","Todas as forças foram mobilizadas."
"TID_OTHER_TROOP_LEFT","Selecione outra unidade."
"TID_DIAMONDS","Gemas"
"TID_GOLD","Ouro"
"TID_ELIXIR","Elixir"
"TID_ITEM_LEVEL","<item> (Nível <number>)"
"TID_SHOP_TITLE","Loja"
"TID_ITEM_BROKEN","<item> (Quebrado)"
"TID_BUILDING_ARCHER_TOWER","Torre Arqueira"
"TID_BUILDING_CLASS_ARMY","Construções do Exército"
"TID_BUILDING_CLASS_DEFENSE","Defesas"
"TID_BUILDING_CLASS_RESOURCE","Recursos"
"TID_BUILDING_CLASS_WALL","Muros"
"TID_NOT_ENOUGH_WORKERS_HEADER","Construtores ocupados!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Completar a construção anterior e liberar um construtor?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Completar a construção anterior e liberar o mestre construtor?"
"TID_NOT_ENOUGH_RESOURCE","Seu estoque de <resource> é insuficiente!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Você não tem <resource1> e <resource2> suficientes!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","É preciso melhorar seu Centro da Vila para o nível <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","É preciso melhorar sua Casa do Construtor para o nível <number>!"
"TID_POPUP_UPGRADE_TITLE","Melhorar para o nível <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Construir mais:"
"TID_RESOURCE_CAP_FULL_GOLD","Construa mais depósitos de ouro ou melhore os já existentes!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Construa mais depósitos de elixir ou melhore os já existentes!"
"TID_RESOURCE_CAP_FULL_GENERIC","Construa mais depósitos ou melhore os já existentes!"
"TID_POPUP_FRIEND_LIST_TITLE","Amigos"
"TID_POPUP_SOCIAL_LIST_TITLE","Social"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Conectar ao Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Entrar no Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Carregando a lista de amigos..."
"TID_OBSTACLE_TOMBSTONE","Lápide"
"TID_NO_FACEBOOK_FRIENDS","Não foi possível encontrar amigos do Facebook que jogam Clash of Clans."
"TID_ATTACK_FAIL_NO_MATCHES","Não foi possível encontrar vilas para atacar!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Impossível atacar: a vila já está sob ataque."
"TID_ATTACK_FAIL_TARGET_ONLINE","Impossível atacar: o dono da vila está on-line."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Você não pode atacar os membros do seu clã!"
"TID_ATTACK_FAIL_SHIELD","Impossível atacar: a vila tem um escudo ativo."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Impossível atacar: a diferença de nível é maior do que <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Impossível atacar a vila: o Centro da Vila está abaixo do nível <number>."
"TID_DEFAULT_VILLAGE_NAME","Vila de <name>"
"TID_BATTLE_LOG_TITLE","Sua vila foi atacada!"
"TID_BATTLE_LOG_ITEM","<name> atacou você <time> atrás."
"TID_NO_TROOPS","Treine algumas tropas primeiro."
"TID_NO_SPELLS","Prepare alguns feitiços primeiro."
"TID_ERROR_POP_UP_BANNED_TITLE","Informação da conta"
