"Name","Deprecated","TID","InfoTID","SWF","ExportName","ExportNameConstruction","ExportNameLocked","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer","IsFadedAndPassableInCombat"
"String","boolean","String","String","String","String","String","String","String","int","int","int","int","int","int","String","int","String","boolean","boolean","boolean","int","int","int","int","int","int","int","boolean","boolean","String","int","boolean","int","boolean","boolean"
"Tree 1",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_tree1_1",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_small_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Tree 2",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_tree1_2",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_big_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Tree 3",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_tree1_3",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_big_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Forest 2x2",,"TID_DECO_FOREST_2",,"sc/buildings_cc.sc","cc_forest_2x2",,,"Diamonds",500,,1,2,2,1,,6,"cc_deco_base2x2",,"TRUE",,,,,,,,,,,"Tree Pickup",,,,,"FALSE"
"Forest 3x3",,"TID_DECO_FOREST_3",,"sc/buildings_cc.sc","cc_forest_3x3",,,"Diamonds",500,,1,3,3,1,,6,"cc_deco_base3x3",,"TRUE",,,,,,,,,,,"Tree Pickup",,,,,"FALSE"
"Pine 1",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_pine_01",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_big_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Pine 2",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_pine_02",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_big_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Pine 3",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_pine_03",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_big_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Pine 4",,"TID_OBSTACLE_TREE",,"sc/buildings_cc.sc","cc_pine_04",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_big_tree",,"TRUE",,,,,,,,,,,"Bush Pickup",,,,,"FALSE"
"Forest2 2x2",,"TID_DECO_FOREST_2",,"sc/buildings_cc.sc","cc_forest2_2x2",,,"Diamonds",500,,1,2,2,1,,6,"cc_deco_base2x2",,"TRUE",,,,,,,,,,,"Tree Pickup",,,,,"FALSE"
"Forest2 3x3",,"TID_DECO_FOREST_3",,"sc/buildings_cc.sc","cc_forest2_3x3",,,"Diamonds",500,,1,3,3,1,,6,"cc_deco_base3x3",,"TRUE",,,,,,,,,,,"Tree Pickup",,,,,"FALSE"
"Small Stone 1_village2",,"TID_OBSTACLE_STONE",,"sc/buildings_cc.sc","cc_deco_2x2_stone_01",,,"Diamonds",500,,10,2,2,1,,,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Small Stone 2_village2",,"TID_OBSTACLE_STONE",,"sc/buildings_cc.sc","cc_deco_2x2_stone_02",,,"Diamonds",500,,10,2,2,1,,,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
