"Name","TaskType","ProgressType","Set","TID","InfoTID","IconSWF","IconExportName","Score","DurationMinutes","Quantity","Quantity2","Data1","Data2","SelectionWeight","Disabled","Group","MinTHLevel","MaxTHLevel","MinBHLevel","MaxBHLevel"
"String","String","String","String","String","String","String","String","int","int","int","int","String","String","int","boolean","String","int","int","int","int"
"DailyTask1","GetHomeBattleStars","Accumulative","Regular","TID_DAILY_TASK_1_TITLE","TID_DAILY_TASK_1_DESC","sc/ui.sc","Get_Daily_Home_Star_Icon",20,1440,1,,,,27,,,,,,
"DailyTask2","GetBuilderBattleStars","Accumulative","Regular","TID_DAILY_TASK_2_TITLE","TID_DAILY_TASK_2_DESC","sc/ui.sc","Get_Daily_BB_Star_Icon",20,1440,1,,,,27,,,,,,
"DailyTask3","DonateTroopCapacity","Accumulative","Regular","TID_TASK_DONATE_TROOPS","TID_CLANGAMES_TASK_INFO_DONATE_TROOPS","sc/ui.sc","Home_Donate_Troops",20,1440,15,,,,27,,,,,,
"DestroyEagleArtillery","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",100,480,5,,"Ancient Artillery",,,,"DestroyBuildings100",11,,,
"DestroyElixirPumps","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRPUMPS","sc/buildings.sc","elixir_pump_lvl6",100,480,40,,"Elixir Pump",,,,"DestroyBuildings100",,,,
"DestroyGoldMines","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDMINES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDMINES","sc/buildings.sc","goldmine_lvl6",100,480,40,,"Gold Mine",,,,"DestroyBuildings100",,,,
"DestroyElixirStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRSTORAGES","sc/buildings.sc","elixir_storage_level6",100,480,20,,"Elixir Storage",,,,"DestroyBuildings100",,,,
"DestroyGoldStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDSTORAGES","sc/buildings.sc","gold_storage_lvl6",100,480,20,,"Gold Storage",,,,"DestroyBuildings100",,,,
"DestroyMortars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_MORTARS","TID_CLANGAMES_TASK_INFO_DESTROY_MORTARS","sc/buildings.sc","mortar_lvl4",100,480,20,,"Mortar",,,,"DestroyBuildings100",,,,
"DestroyWizardTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_WIZARDTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_WIZARDTOWERS","sc/buildings.sc","wizard_tower_lvl4",100,480,25,,"Wizard Tower",,,,"DestroyBuildings100",,,,
"DestroyCannons","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_CANNONS","TID_CLANGAMES_TASK_INFO_DESTROY_CANNONS","sc/buildings.sc","basic_turret_lvl7",100,480,40,,"Cannon",,,,"DestroyBuildings100",,,,
"DestroyArcherTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ARCHERTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_ARCHERTOWERS","sc/buildings.sc","tower_turret_lvl3",100,480,40,,"Archer Tower",,,,"DestroyBuildings100",,,,
"DestroyDarkElixirPumps","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRPUMPS","sc/buildings.sc","darkelixir_pump_lvl4",100,480,12,,"Dark Elixir Pump",,,,"DestroyBuildings100",,,,
"DestroyDarkElixirStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRSTORAGES","sc/buildings.sc","darkelixir_storage_level3",100,480,5,,"Dark Elixir Storage",,,,"DestroyBuildings100",,,,
"DestroyClanCastles","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_CLANCASTLES","TID_CLANGAMES_TASK_INFO_DESTROY_CLANCASTLES","sc/buildings.sc","alliance_castle_lvl2",100,480,5,,"Alliance Castle",,,,"DestroyBuildings100",,,,
"DestroyLaboratories","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_LABORATORIES","TID_CLANGAMES_TASK_INFO_DESTROY_LABORATORIES","sc/buildings.sc","laboratory_lvl6",50,480,4,,"Laboratory",,,,"DestroyBuildings50",,,,
"DestroySpellFactories","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_SPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_SPELLFACTORIES","sc/buildings.sc","spell_factory_lvl3",50,480,4,,"Spell Forge",,,,"DestroyBuildings50",,,,
"DestroyDarkSpellFactories","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_DARKSPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKSPELLFACTORIES","sc/buildings.sc","mini_spell_distillery_lvl1",50,480,4,,"Mini Spell Factory",,,,"DestroyBuildings50",8,,,
"DestroyAirSweepers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_AIRSWEEPERS","TID_CLANGAMES_TASK_INFO_DESTROY_AIRSWEEPERS","sc/buildings.sc","air_mortar_lvl2",50,480,5,,"Air Blaster",,,,"DestroyBuildings50",,,,
"DestroyAirDefenses","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_AIRDEFENSES","TID_CLANGAMES_TASK_INFO_DESTROY_AIRDEFENSES","sc/buildings.sc","fireworks_tower_lvl6",100,480,20,,"Air Defense",,,,"DestroyBuildings100",,,,
"DestroyInfernoTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",100,480,10,,"Dark Tower",,,,"DestroyBuildings100",10,,,
"DestroyBombTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BOMBTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_BOMBTOWERS","sc/buildings.sc","bomb_tower_lvl1",100,480,10,,"Bomb Tower",,,,"DestroyBuildings100",8,,,
"DestroyTeslaTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_TESLATOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_TESLATOWERS","sc/buildings.sc","teslatower_lvl5_setup",100,480,25,,"Tesla Tower",,,,"DestroyBuildings100",,,,
"DestroyXbows","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_XBOWS","TID_CLANGAMES_TASK_INFO_DESTROY_XBOWS","sc/buildings.sc","rapidfire_turret_lvl1",100,480,15,,"Bow",,,,"DestroyBuildings100",9,,,
"DestroyKingAltars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_KINGALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_KINGALTARS","sc/buildings.sc","heroaltar_barbarian_king_lvl1",50,480,4,,"Hero Altar Barbarian King",,,,"DestroyBuildings50",,,,
"DestroyQueenAltars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_QUEENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_QUEENALTARS","sc/buildings.sc","heroaltar_archer_queen_lvl1",50,480,4,,"Hero Altar Archer Queen",,,,"DestroyBuildings50",9,,,
"DestroyWardenAltars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_WARDENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_WARDENALTARS","sc/buildings.sc","heroaltar_elder_lvl1",50,480,3,,"Hero Altar Grand Warden",,,,"DestroyBuildings50",11,,,
"WinHomeBattles","WinHomeBattles","Accumulative","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",100,480,7,,,,,,"Misc100",,,,
"WinHomeBattles3Stars","WinHomeBattles3Stars","Accumulative","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLES3STARS","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES3STARS","sc/ui.sc","Home_Get_3Stars_Icon",150,480,3,,,,,,"Misc150",,,,
"GetHomeBattleStars","GetHomeBattleStars","Accumulative","Regular","TID_CLANGAMES_TASK_GET_HOMEBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLESTARS","sc/ui.sc","Home_Collect_Stars_Icon",100,480,15,,,,,,"Misc100",,,,
"GetHomeBattleDestruction","GetHomeBattleDestruction","Accumulative","Regular","TID_CLANGAMES_TASK_GET_HOMEBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLEDESTRUCTION","sc/ui.sc","Home_Get_Desturction_Icon",100,480,500,,,,,,"Misc100",,,,
"LootGold","LootResources","Accumulative","Regular","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",100,480,2500000,,"Gold",,,,"Misc100",,,,
"LootElixir","LootResources","Accumulative","Regular","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",100,480,2500000,,"Elixir",,,,"Misc100",,,,
"LootDarkElixir","LootResources","Accumulative","Regular","TID_CLANGAMES_TASK_LOOT_DARKELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_DARKELIXIR","sc/ui.sc","Home_Loot_DarkElixir",100,480,25000,,"DarkElixir",,,,"Misc100",,,,
"DonateTroops","DonateTroopCapacity","Accumulative","Regular","TID_CLANGAMES_TASK_DONATE_TROOPS","TID_CLANGAMES_TASK_INFO_DONATE_TROOPS","sc/ui.sc","Home_Donate_Troops",100,480,250,,,,,,"Donate100",,,,
"DonateSpells","DonateSpellCapacity","Accumulative","Regular","TID_CLANGAMES_TASK_DONATE_SPELLS","TID_CLANGAMES_TASK_INFO_DONATE_SPELLS","sc/ui.sc","Home_Donate_Spells",50,480,10,,,,,,"Misc50",,,,
"ClearObstacles","ClearObstacles","Accumulative","Regular","TID_CLANGAMES_TASK_CLEAR_OBSTACLES","TID_CLANGAMES_TASK_INFO_CLEAR_OBSTACLES","sc/ui.sc","Home_Clear_Obstacles",50,480,25,,,,,,"Misc50",,,,
"WinHomeBattlesInRow","WinHomeBattles","Consecutive","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",100,480,3,,,,,,"Misc100",,,,
