"Name","TID","InfoTID"
"String","String","String"
"faq1","TID_FAQ_TITLE_LOSTGEMS","TID_FAQ_TEXT_LOSTGEMS"
"faq2","TID_FAQ_TITLE_BUYING","TID_FAQ_TEXT_BUYING"
"faq3","TID_FAQ_TITLE_GEM_BOX","TID_FAQ_TEXT_GEM_BOX"
"faq4","TID_FAQ_TITLE_CLAN_WARS","TID_FAQ_TEXT_CLAN_WARS"
"faq5","TID_FAQ_TITLE_CHANGENAME","TID_FAQ_TEXT_CHANGENAME"
"faq6","TID_FAQ_TITLE_CHATBAN","TID_FAQ_TEXT_CHATBAN"
"faq7","TID_FAQ_TITLE_DISCONNECTED","TID_FAQ_TEXT_DISCONNECTED"
"faq8","TID_FAQ_TITLE_INTERNET","TID_FAQ_TEXT_INTERNET"
"faq9","TID_FAQ_TITLE_SHIELD","TID_FAQ_TEXT_SHIELD"
"faq10","TID_FAQ_TITLE_DESTROYED","TID_FAQ_TEXT_DESTROYED"
"faq11","TID_FAQ_TITLE_TROPHIES","TID_FAQ_TEXT_TROPHIES"
"faq12","TID_FAQ_TITLE_RESET","TID_FAQ_TEXT_RESET"
"faq13","TID_FAQ_TITLE_MULTIACCOUNT","TID_FAQ_TEXT_MULTIACCOUNT"
"faq14","TID_FAQ_TITLE_MULTIDEVICE","TID_FAQ_TEXT_MULTIDEVICE"
"faq15","TID_FAQ_TITLE_MATCHMAKING","TID_FAQ_TEXT_MATCHMAKING"
"faq16","TID_FAQ_TITLE_CLAN","TID_FAQ_TEXT_CLAN"
"faq17","TID_FAQ_TITLE_RECRUIT","TID_FAQ_TEXT_RECRUIT"
"faq18","TID_FAQ_TITLE_CONTROL","TID_FAQ_TEXT_CONTROL"
"faq19","TID_FAQ_TITLE_CLANSCORE","TID_FAQ_TEXT_CLANSCORE"
"faq20","TID_FAQ_TITLE_TROOPS","TID_FAQ_TEXT_TROOPS"
"faq21","TID_FAQ_TITLE_UPGRADES","TID_FAQ_TEXT_UPGRADES"
"faq22","TID_FAQ_TITLE_SPELLS","TID_FAQ_TEXT_SPELLS"
"faq23","TID_FAQ_TITLE_HEROES","TID_FAQ_TEXT_HEROES"
"faq24","TID_FAQ_TITLE_REPLAY","TID_FAQ_TEXT_REPLAY"
"faq25","TID_FAQ_TITLE_TEXTSIZE","TID_FAQ_TEXT_TEXTSIZE"
