"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English","Français","Deutsch","Español","Italiano","Nederlands","Norsk","Português","Türkçe","日本語","中文","한국어","Русский"
"TID_BUILDING_HOUSE","House","Maison","Haus","Casa","Casa","Huis","Hus","Casa","Ev","住居","房屋","인구","Дом"
"TID_BUILDING_HOUSING","Army Camp","Camp militaire","Armeelager","Campamento","Accampamento","Legerkamp","Militærleir","Acampamento","Ordu Kampı","アーミーキャンプ","兵营","집합소","Военный Лагерь"
"TID_BUILDING_TOWN_HALL","Town Hall","Hôtel de ville","Rathaus","Ayuntamiento","Municipio","Stadhuis","Rådhus","Centro da Vila","Belediye Binası","タウンホール","大本营","마을 회관","Ратуша"
"TID_BUILDING_ELIXIR_PUMP","Elixir Collector","Extracteur d'élixir","Elixiersammler","Recolector de elixir","Estrattore di elisir","Elixirpomp","Eliksirpumpe","Coletor de Elixir","İksir Toplayıcı","エリクサーポンプ","圣水收集器","엘릭서 정제소","Сборщик Эликсира"
"TID_BUILDING_ELIXIR_STORAGE","Elixir Storage","Réservoir d'élixir","Elixierlager","Almacén de elixir","Deposito di elisir","Elixirtank","Eliksirlager","Depósito de Elixir","İksir Deposu","エリクサータンク","圣水瓶","엘릭서 저장소","Эликсирохранилище"
"TID_BUILDING_GOLD_MINE","Gold Mine","Mine d'or","Goldmine","Mina de oro","Miniera d'oro","Goudmijn","Gullgruve","Mina de Ouro","Altın Madeni","金山","金矿","금광","Золотая Шахта"
"TID_BUILDING_GOLD_STORAGE","Gold Storage","Réserve d'or","Goldlager","Almacén de oro","Deposito d'oro","Goudkluis","Gullager","Depósito de Ouro","Altın Deposu","金庫","储金罐","골드 저장소","Золотохранилище"
"TID_BUILDING_BARRACK","Barracks","Caserne","Kaserne","Cuartel","Caserma","Kazerne","Brakker","Quartel","Kışla","兵舎","训练营","훈련소","Казарма"
"TID_BUILDING_CANNON","Cannon","Canon","Kanone","Cañón","Cannone","Kanon","Kanon","Canhão","Top","大砲","加农炮","대포","Пушка"
"TID_BUILDING_TESLA_TOWER","Hidden Tesla","Tesla camouflée","Verborgener Tesla","Torre Tesla","Tesla occulta","Verborgen Tesla","Skjult tesla","Tesla Oculta","Gizli Tesla","かくしテスラ","特斯拉电磁塔","숨겨진 뇌전탑","Потайная Тесла"
"TID_BUILDING_WALL","Wall","Rempart","Mauer","Muro","Muro","Muur","Mur","Muro","Duvar","壁","城墙","장벽","Стена"
