"Name","Description","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes"
"String","String","boolean","boolean","String","String","String","int","boolean","String"
"EN",,,,,"en",,1,,
"FR",,,,,"fr",,2,,
"DE",,,,,"de",,3,,
"ES",,,,,"es",,4,,
"IT",,,,,"it",,5,,
"NL",,,,,"nl",,6,,
"NO",,,,,,,7,,
"PT",,,,,"pt","pt_Br",8,,
"TR",,,,,"tr",,9,,
"CN",,"TRUE",,"STHeitiSC-Medium","zh-Hans","zh_CN",11,,
"JP",,"TRUE",,"HiraKakuProN-W6","ja",,13,,
"KR",,"TRUE",,,"ko",,14,,
"RU",,,,,"ru",,10,,
"TEXT","Longest text",,,,"zh-hans","zh_CN",1000,"TRUE","AR"
,,,,,,,,,"FA"
"WORD","Longest word",,,,"cn","zh_TW",1001,"TRUE","AR"
,,,,,,,,,"FA"
"DOUBLE","Double String",,,,"zh-Hans","zh_CN",1002,"TRUE",
"EMPTY","Empty texts",,,,"ko","ko",1003,"TRUE",
"CNT",,"TRUE",,"STHeitiSC-Medium","zh-Hant","zh_TW",12,,
"AR",,,"TRUE",,"ar",,15,,
"FA",,,"TRUE",,"fa",,16,,
"ID",,,,,"id",,17,,
"MS",,,,,"ms",,18,,
"TL",,,,,,,19,"TRUE",
"VI",,,,,"vi",,20,"TRUE",
"DOUBLEDOUBLE","Double Double String",,,,"zh-Hans","zh_CN",1004,"TRUE",
"QUADRUPLE","Quad String",,,,"zh-Hans","zh_CN",1005,"TRUE",
