"TID","CNT"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","繁體中文"
"TID_BUILDING_HOUSE","房屋"
"TID_BUILDING_HOUSING","兵營"
"TID_BUILDING_TOWN_HALL","大本營"
"TID_BUILDING_ELIXIR_PUMP","聖水收集器"
"TID_BUILDING_ELIXIR_STORAGE","聖水瓶"
"TID_BUILDING_GOLD_MINE","金礦"
"TID_BUILDING_GOLD_STORAGE","儲金罐"
"TID_BUILDING_BARRACK","訓練營"
"TID_BUILDING_CANNON","加農炮"
"TID_BUILDING_TESLA_TOWER","特斯拉電磁塔"
"TID_BUILDING_WALL","城牆"
"TID_BUILDING_FENCE","籬笆"
"TID_BUILDING_WIZARD_TOWER","法師塔"
"TID_BUILDING_AIR_DEFENSE","防空火箭"
"TID_BUILDING_MORTAR","迫擊炮"
"TID_WORKER_BUILDING","建築工人小屋："
"TID_BUILDING_LABORATORY","實驗室"
"TID_TRAP_BOMB","隱形炸彈"
"TID_TRAP_EJECT","隱形彈簧"
"TID_TRAP_TIMETRAP","時間陷阱"
"TID_BUTTON_SPEEDUP","立即完成"
"TID_BUTTON_UPGRADE","升級"
"TID_BUTTON_ATTACK","攻擊！"
"TID_BUTTON_SHOP","商店"
"TID_BUTTON_SELL","賣出"
"TID_BUTTON_CANCEL","取消"
"TID_BUTTON_TRAIN","訓練部隊"
"TID_BUTTON_COLLECT","收集"
"TID_BUTTON_INFO","資訊"
"TID_BUTTON_CLEAR","移除"
"TID_BUTTON_HOME","回營"
"TID_BUTTON_ACCEPT","接受"
"TID_BUTTON_REJECT","拒絕"
"TID_BUTTON_SEND","傳送"
"TID_BUTTON_JOIN","加入"
"TID_TAB_GLOBAL_CHAT","公共聊天"
"TID_TAB_ALLIANCE_CHAT","部落"
"TID_OBSTACLE_TREE","樹木"
"TID_OBSTACLE_STONE","石頭"
"TID_OBSTACLE_BUSH","灌木叢"
"TID_OBSTACLE_TRUNK","樹幹"
"TID_OBSTACLE_MUSHROOM","蘑菇"
"TID_DECORATION_BARBARIAN_STATUE","萬能神像"
"TID_DECORATION_TORCH","火把"
"TID_DECORATION_WHITE_FLAG","白旗"
"TID_DECORATION_SKULL_FLAG","海盜旗"
"TID_DECORATION_FLOWERBOX1","矢車菊"
"TID_DECORATION_FLOWERBOX2","太陽花"
"TID_DECORATION_WINDMETER","風向標"
"TID_DECORATION_DOWNARROW_FLAG","集合旗"
"TID_DECORATION_UPARROW_FLAG","點標旗"
"TID_DECORATION_SKULL_ALTAR","古代頭骨"
"TID_DECORATION_NATIONAL_FLAG","國旗"
"TID_TIME_DAYS","天"
"TID_TIME_HOURS","小時"
"TID_TIME_MINS","分鐘"
"TID_TIME_SECS","秒"
"TID_BATTLE_TIME_TITLE","離戰鬥結束剩下："
"TID_POPUP_HEADER_WARNING","警告!"
