"TID","ES"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Español"
"TID_BUILDING_HOUSE","Casa"
"TID_BUILDING_HOUSING","Campamento"
"TID_BUILDING_TOWN_HALL","Ayuntamiento"
"TID_BUILDING_ELIXIR_PUMP","Recolector de elixir"
"TID_BUILDING_ELIXIR_STORAGE","Almacén de elixir"
"TID_BUILDING_GOLD_MINE","Mina de oro"
"TID_BUILDING_GOLD_STORAGE","Almacén de oro"
"TID_BUILDING_BARRACK","Cuartel"
"TID_BUILDING_CANNON","Cañón"
"TID_BUILDING_TESLA_TOWER","Torre Tesla"
"TID_BUILDING_WALL","Muro"
"TID_BUILDING_FENCE","Valla"
"TID_BUILDING_WIZARD_TOWER","Torre de mago"
"TID_BUILDING_AIR_DEFENSE","Cohetes de defensa"
"TID_BUILDING_MORTAR","Mortero"
"TID_WORKER_BUILDING","Choza de constructor"
"TID_BUILDING_LABORATORY","Laboratorio"
"TID_TRAP_BOMB","Trampa bomba"
"TID_TRAP_EJECT","Trampa con muelle"
"TID_TRAP_TIMETRAP","Trampa de tiempo"
"TID_BUTTON_SPEEDUP","Terminar ya"
"TID_BUTTON_UPGRADE","Mejorar"
"TID_BUTTON_ATTACK","Atacar"
"TID_BUTTON_SHOP","Tienda"
"TID_BUTTON_SELL","Vender"
"TID_BUTTON_CANCEL","Cancelar"
"TID_BUTTON_TRAIN","Entrenar"
"TID_BUTTON_COLLECT","Recoger"
"TID_BUTTON_INFO","Infor."
"TID_BUTTON_CLEAR","Eliminar"
"TID_BUTTON_HOME","Volver"
"TID_BUTTON_ACCEPT","Aceptar"
"TID_BUTTON_REJECT","Rechazar"
"TID_BUTTON_SEND","Enviar"
"TID_BUTTON_JOIN","Unirse"
"TID_TAB_GLOBAL_CHAT","General"
"TID_TAB_ALLIANCE_CHAT","Clan"
"TID_OBSTACLE_TREE","Árbol"
"TID_OBSTACLE_STONE","Roca"
"TID_OBSTACLE_BUSH","Arbusto"
"TID_OBSTACLE_TRUNK","Tronco"
"TID_OBSTACLE_MUSHROOM","Setas"
"TID_DECORATION_BARBARIAN_STATUE","Estatua de poder"
"TID_DECORATION_TORCH","Antorcha"
"TID_DECORATION_WHITE_FLAG","Bandera blanca"
"TID_DECORATION_SKULL_FLAG","Bandera pirata"
"TID_DECORATION_FLOWERBOX1","Macizo de acianos"
"TID_DECORATION_FLOWERBOX2","Macizo de girasoles"
"TID_DECORATION_WINDMETER","Veleta"
"TID_DECORATION_DOWNARROW_FLAG","Bandera de reunión"
"TID_DECORATION_UPARROW_FLAG","Bandera de dirección"
"TID_DECORATION_SKULL_ALTAR","Calavera antigua"
"TID_DECORATION_NATIONAL_FLAG","Bandera nacional"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","La batalla acaba en:"
"TID_POPUP_HEADER_WARNING","¡Cuidado!"
"TID_POPUP_UNDER_ATTACK","¡Te están atacando! Espera, tu aldea se cargará automáticamente."
"TID_POPUP_TRY_AGAIN","Tiempo restante estimado:"
"TID_BUTTON_OKAY","Vale"
"TID_POPUP_TRAIN_TITLE","Entrenar tropas <limit>"
"TID_INVALID_PLACEMENT","No puedes desplegar tropas en la zona roja."
"TID_ALL_TROOPS_USED","¡Todas las unidades desplegadas!"
"TID_OTHER_TROOP_LEFT","Selecciona una unidad diferente."
"TID_DIAMONDS","Gemas"
"TID_GOLD","Oro"
"TID_ELIXIR","Elixir"
"TID_ITEM_LEVEL","<item> (nivel <number>)"
"TID_SHOP_TITLE","Tienda"
"TID_ITEM_BROKEN","<item> (en ruinas)"
"TID_BUILDING_ARCHER_TOWER","Torre de arqueras"
"TID_BUILDING_CLASS_ARMY","Ejército"
"TID_BUILDING_CLASS_DEFENSE","Defensas"
"TID_BUILDING_CLASS_RESOURCE","Recursos"
"TID_BUILDING_CLASS_WALL","Muros"
"TID_NOT_ENOUGH_WORKERS_HEADER","¡No hay constructores libres!"
"TID_NOT_ENOUGH_WORKERS_TEXT","¿Quieres terminar la tarea anterior para liberar a un constructor?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","¿Quieres terminar la tarea anterior para liberar al constructor maestro?"
"TID_NOT_ENOUGH_RESOURCE","¡Necesitas más <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","¡Necesitas más <resource1> y <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Debes mejorar tu ayuntamiento al nivel <number>."
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Debes mejorar el taller del constructor al nivel <number>."
"TID_POPUP_ABOUT_TO_SELL_TITLE","Vender edificio"
"TID_POPUP_TEXT_ABOUT_TO_SELL","¿Seguro que quieres vender <item> por <number> de <resource>?"
"TID_POPUP_UPGRADE_TITLE","¿Mejorar al nivel <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Construye más:"
"TID_RESOURCE_CAP_FULL_GOLD","Construye más almacenes de oro o mejora los que tienes."
"TID_RESOURCE_CAP_FULL_ELIXIR","Construye más almacenes de elixir o mejora los que tienes."
"TID_RESOURCE_CAP_FULL_GENERIC","Construye más almacenes o mejora los que tienes."
"TID_POPUP_FRIEND_LIST_TITLE","Amigos"
"TID_POPUP_SOCIAL_LIST_TITLE","Social"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Conectar con Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Conectar con Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Cargando lista de amigos..."
"TID_OBSTACLE_TOMBSTONE","Lápida"
"TID_NO_FACEBOOK_FRIENDS","No se han encontrado amigos de Facebook que jueguen a Clash of Clans."
"TID_ATTACK_FAIL_NO_MATCHES","No se han encontrado aldeas que atacar."
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","No se puede atacar, la aldea ya está siendo atacada."
"TID_ATTACK_FAIL_TARGET_ONLINE","No puedes atacar, el jefe de la aldea está conectado."
"TID_ATTACK_FAIL_SAME_ALLIANCE","No puedes atacar a miembros de tu clan."
"TID_ATTACK_FAIL_SHIELD","No puedes atacar, la aldea tiene un escudo activo."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","No puedes atacar, la diferencia de nivel es superior a <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","No puedes atacar esta aldea, su ayuntamiento es de nivel inferior a <number>."
"TID_DEFAULT_VILLAGE_NAME","Aldea de <name>"
"TID_BATTLE_LOG_TITLE","¡Te han atacado!"
"TID_BATTLE_LOG_ITEM","<name> te ha atacado hace <time>."
"TID_NO_TROOPS","¡Entrena primero a las tropas!"
"TID_NO_SPELLS","Primero debes elaborar varios hechizos."
"TID_ERROR_POP_UP_BANNED_TITLE","Se te ha vetado."
"TID_ERROR_POP_UP_BANNED","Se te ha vetado temporalmente."
"TID_ERROR_POP_UP_BANNED_BUTTON","Vale"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Error de conexión"
"TID_ERROR_POP_UP_CONNECTION_FAILED","No se ha podido conectar con el servidor. Comprueba tu conexión a Internet y vuelve a intentarlo."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Reintentar"
