"TID","FI"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Suomi"
"TID_BUILDING_HOUSE","Talo"
"TID_BUILDING_HOUSING","Leiri"
"TID_BUILDING_TOWN_HALL","Päärakennus"
"TID_BUILDING_ELIXIR_PUMP","Eliksiiripumppu"
"TID_BUILDING_ELIXIR_STORAGE","Eliksiirisäiliö"
"TID_BUILDING_GOLD_MINE","Kultakaivos"
"TID_BUILDING_GOLD_STORAGE","Kultavarasto"
"TID_BUILDING_BARRACK","Parakki"
"TID_BUILDING_CANNON","Tykki"
"TID_BUILDING_TESLA_TOWER","Kätketty tesla"
"TID_BUILDING_WALL","Muuri"
"TID_BUILDING_FENCE","Aita"
"TID_BUILDING_WIZARD_TOWER","Velhotorni"
"TID_BUILDING_AIR_DEFENSE","Ilmatorjunta"
"TID_BUILDING_MORTAR","Mörssäri"
"TID_WORKER_BUILDING","Rakentajan mökki"
"TID_BUILDING_LABORATORY","Laboratorio"
"TID_TRAP_BOMB","Pommiansa"
"TID_TRAP_EJECT","Heittoansa"
"TID_TRAP_TIMETRAP","Aika-ansa"
"TID_BUTTON_SPEEDUP","Viimeistele nyt"
"TID_BUTTON_UPGRADE","Päivitä"
"TID_BUTTON_ATTACK","Hyökkää!"
"TID_BUTTON_SHOP","Kauppa"
"TID_BUTTON_SELL","Myy"
"TID_BUTTON_CANCEL","Peruuta"
"TID_BUTTON_TRAIN","Kouluta joukkoja"
"TID_BUTTON_COLLECT","Kerää"
"TID_BUTTON_INFO","Tietoa"
"TID_BUTTON_CLEAR","Poista"
"TID_BUTTON_HOME","Palaa kotiin"
"TID_BUTTON_ACCEPT","Hyväksy"
"TID_BUTTON_REJECT","Hylkää"
"TID_BUTTON_SEND","Lähetä"
"TID_BUTTON_JOIN","Liity"
"TID_TAB_GLOBAL_CHAT","Yleinen"
"TID_TAB_ALLIANCE_CHAT","Klaani"
"TID_OBSTACLE_TREE","Puu"
"TID_OBSTACLE_STONE","Kivi"
"TID_OBSTACLE_BUSH","Pensas"
"TID_OBSTACLE_TRUNK","Runko"
"TID_OBSTACLE_MUSHROOM","Sieni"
"TID_DECORATION_BARBARIAN_STATUE","Mahtava patsas"
"TID_DECORATION_TORCH","Soihtu"
"TID_DECORATION_WHITE_FLAG","Valkoinen lippu"
"TID_DECORATION_SKULL_FLAG","Merirosvolippu"
"TID_DECORATION_FLOWERBOX1","Ruiskaunokkipenkki"
"TID_DECORATION_FLOWERBOX2","Auringonkukkapenkki"
"TID_DECORATION_WINDMETER","Tuuliviiri"
"TID_DECORATION_DOWNARROW_FLAG","Kohtaamispaikka"
"TID_DECORATION_UPARROW_FLAG","Nuolilippu"
"TID_DECORATION_SKULL_ALTAR","Muinainen kallo"
"TID_DECORATION_NATIONAL_FLAG","Lippu"
"TID_TIME_DAYS","p"
"TID_TIME_HOURS","t"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Taistelu loppuu:"
"TID_POPUP_HEADER_WARNING","Varoitus!"
"TID_POPUP_UNDER_ATTACK","Kylääsi hyökätään juuri! Odota hetki, kyläsi latautuu automaattisesti."
"TID_POPUP_TRY_AGAIN","Aikaa jäljellä:"
"TID_BUTTON_OKAY","OK"
"TID_POPUP_TRAIN_TITLE","Kouluta joukkoja <limit>"
"TID_INVALID_PLACEMENT","Et voi sijoittaa joukkojasi punaiselle alueelle!"
"TID_ALL_TROOPS_USED","Kaikki joukot sijoitettu."
"TID_OTHER_TROOP_LEFT","Valitse toinen joukko"
"TID_DIAMONDS","jalokiveä"
"TID_GOLD","kultaa"
"TID_ELIXIR","eliksiiriä"
"TID_ITEM_LEVEL","<item> (Taso <number>)"
"TID_SHOP_TITLE","Kauppa"
"TID_ITEM_BROKEN","<item> (rikki)"
"TID_BUILDING_ARCHER_TOWER","Jousiampujatorni"
"TID_BUILDING_CLASS_ARMY","Armeijarakennukset"
"TID_BUILDING_CLASS_DEFENSE","Puolustus"
"TID_BUILDING_CLASS_RESOURCE","Resurssit"
"TID_BUILDING_CLASS_WALL","Muurit"
"TID_NOT_ENOUGH_WORKERS_HEADER","Rakentajia ei ole vapaana!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Viimeistele edellinen rakennus ja vapauta rakentaja?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Viimeistelläänkö edellinen rakennus ja vapautetaanko mestarirakentaja?"
"TID_NOT_ENOUGH_RESOURCE","Sinulla ei ole tarpeeksi <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Sinulla ei ole tarpeeksi <resource1> ja <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Päärakennus täytyy päivittää tasolle <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Rakentajan talo täytyy päivittää tasolle <number>!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Myy rakennus"
"TID_POPUP_TEXT_ABOUT_TO_SELL","Haluatko varmasti myydä kohteen <item> hintaan <number> <resource>?"
"TID_POPUP_UPGRADE_TITLE","Päivitä tasolle <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Rakenna lisää:"
"TID_RESOURCE_CAP_FULL_GOLD","Rakenna lisää tai päivitä nykyisiä kultavarastoja!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Rakenna lisää tai päivitä nykyisiä eliksiirisäiliöitä!"
"TID_RESOURCE_CAP_FULL_GENERIC","Rakenna lisää tai päivitä nykyisiä varastoja!"
"TID_POPUP_FRIEND_LIST_TITLE","Kaverit"
"TID_POPUP_SOCIAL_LIST_TITLE","Kaverit"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Yhdistä Facebookiin"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Kirjaudu Facebookiin"
"TID_LOADING_FACEBOOK_FRIENDS","Lataa kaverilistaa..."
"TID_OBSTACLE_TOMBSTONE"," Hautakivi"
"TID_NO_FACEBOOK_FRIENDS","Facebookista ei löytynyt Clash of Clansia pelaavia kavereita."
"TID_ATTACK_FAIL_NO_MATCHES","Hyökkäyskelpoisia kyliä ei löytynyt!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Hyökkäys epäonnistui! Joku on jo hyökkäämässä tähän kylään."
"TID_ATTACK_FAIL_TARGET_ONLINE","Hyökkäys epäonnistui! Kylän päällikkö on online-tilassa."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Et voi hyökätä klaanikavereidesi kyliin!"
"TID_ATTACK_FAIL_SHIELD","Hyökkäys epäonnistui! Kylän kilpi on aktivoituna."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Hyökkäys epäonnistui! Tasoero on suurempi kuin <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Hyökkäys epäonnistui, koska kylän päärakennus on tasoa <number> alempana."
"TID_DEFAULT_VILLAGE_NAME","Kylä <name>"
