"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","VI","TH","FI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BUILDERBASEBATTLEFEST_MAIN_TITLE","Builder Base Battlefest","Foire aux duels de la base des ouvriers","Kampffest in der Bauarbeiterbasis","Festival bélico de la base del constructor","Festival degli scontri a due","Gevechtsfestijn op de bouwersbasis","Stridsfestival i byggerens base","Evento da Base do Construtor","İnşaatçı Üssü Savaş Şenliği","大工の拠点バトルフェスタ","建筑大师基地战斗盛宴","장인 기지 전투 축제","Боевой фестиваль деревни строителя","مهرجان معارك قاعدة البنّاء","建築大師基地戰鬥盛宴","جشن نبرد پایگاه سازنده","Festival Pertempuran Basis Tukang","Pesta Pertempuran Pangkalan Pembina","Ngày hội Chiến đấu trong Căn cứ Thợ xây","เทศกาลรบฐานช่างก่อสร้าง",
"TID_BUILDERBASEBATTLEFEST_TEXT","Versus Battle Rewards become available every 8 hours during this Builder Base special event!","Récompenses de duel disponibles toutes les 8 heures pendant cet évènement spécial de la base des ouvriers !","Duellbelohnungen sind während des Sonderereignisses für die Bauarbeiterbasis alle 8 Stunden verfügbar!","¡Recompensas de enfrentamientos disponibles cada 8 horas durante este evento especial de la base del constructor!","Le ricompense per gli scontri a due sono disponibili ogni 8 ore durante questo evento speciale della base del costruttore!","Duelbeloningen zijn elke 8 uur beschikbaar gedurende dit speciale bouwersbasisevenement.","I denne spesielle byggerens base-hendelsen blir duellbelønninger tilgjengelige hver 8. time!","Durante o evento especial da base do construtor, as recompensas pelas batalhas simultâneas ficarão disponíveis a cada 8 horas!","Bu İnşaatçı Üssü özel etkinliğinde her 8 saatte bir Karşılıklı Savaş Ödülleri çıkacak!","今回の大工の拠点のスペシャルイベント中は、8時間ごとにバーサス戦報酬が獲得可能になります！","在本次建筑大师基地特别活动期间，每隔8小时就可以再次赢得对抗赛奖励！","장인 기지 특별 이벤트 중에는 8시간마다 대전 보상을 받을 수 있습니다!","Во время особого события деревни строителя награды за бой с противником становятся доступными каждые 8 часов!","تتوفر مكافآت معركة المواجهة كل 8 ساعات أثناء حدث قاعدة البنّاء الخاص هذا!","在本次建築大師基地特別活動期間，每隔8小時就可以再次贏得對抗賽獎勵！","در طول این رویداد ویژه پایگاه سازنده، هر 8 ساعت جایزه‌های نبرد رو در رو موجود خواهد شد!","Hadiah Pertempuran Versus tersedia setiap 8 jam selama acara spesial Basis Tukang ini!","Ganjaran Pertempuran Berbalas tersedia setiap 8 jam semasa acara khas Pangkalan Pembina ini!","Phần thưởng Trận chiến Đối đầu sẽ được trao mỗi 8 giờ trong sự kiện đặc biệt ở Căn cứ Thợ xây này!","ระว่างอีเวนท์พิเศษของฐานช่างก่อสร้างนี้จะมีรางวัลสำหรับการรบประจันหน้าให้ทุกๆ 8 ชั่วโมง!",
"TID_NEWS_GIFTS_TEXT","Get bonus gems for your Clan every time you purchase <c80d8e8>Gems + Clan Gifts</c>.","Obtenez des gemmes en plus pour votre clan à chaque fois que vous achetez un pack <c80d8e8>gemmes + cadeaux de clan</c>.","Sichere deinem Clan jedes Mal Bonusjuwelen, wenn du <c80d8e8>Juwelen + Clangeschenke</c> kaufst.","Consigue gemas para tu clan al comprar <c80d8e8>gemas y regalos del clan</c>.","Ottieni delle gemme bonus per il tuo clan per ogni tuo acquisto di <c80d8e8>gemme & regali del clan</c>.","Krijg bonusedelstenen voor je clan iedere keer als je <c80d8e8>edelstenen + clancadeaus</c> koopt.","Du får ekstra juveler til klanen din når du kjøper <c80d8e8>juveler + klangaver</c>.","Ganhe gemas extras para o seu clã toda vez que comprar <c80d8e8>gemas + presentes do clã</c>.","Satın aldığınız tüm <c80d8e8>Taşlar + Klan Hediyeleri</c> için Klanınız ek taş kazansın.",,,"<c80d8e8>보석 + 클랜 선물</c>을 구매할 때마다 클랜을 위한 보너스 보석을 받으세요.","Получайте кристаллы в подарок для своих товарищей за каждую покупку <c80d8e8>кристаллов и подарков клана</c>.","احصل على جواهر إضافية من أجل قبيلتك في كل مرة تشتري <c80d8e8>الجواهر + هدايا القبيلة</c>.",,"<c80d8e8>جواهر + هدایای قبیله‌ای</c> به قبیله‌تان، جواهر جایزه بدهید.","Dapatkan bonus permata untuk Klanmu setiap kali kamu membeli <c80d8e8>Permata + Hadiah Klan</c>.","Dapatkan permata bonus untuk Klan anda setiap kali anda membeli <c80d8e8>Permata + Hadiah Klan</c>.",,,
"TID_NEWS_OCT_2017_UPDATE_MAIN_TITLE","October Update!","Mise à jour d’octobre","Oktober-Update!","Actualización de octubre","Aggiornamento di ottobre!","Update oktober","Oppdatering for oktober!","Atualização de outubro","Ekim Güncellemesi!","10月のアップデート！","10月更新内容！","10월 업데이트!","Октябрьское обновление!","تحديث أكتوبر!","10月更新內容！","به‌روزرسانی اکتبر!","Pembaruan Oktober!","Kemas kini Oktober!","Cập nhật tháng Mười!","อัปเดตเดือนตุลาคม!",
"TID_NEWS_OCT_2017_UPDATE","Clans, friends and clan friends","Clans, amis et amis du clan","Clans, Freunde und Clanfreunde","Clanes, amigos y amigos del clan","Clan, amici e amici del clan","Clans, vrienden en clanvrienden","Klaner, venner og klanvenner","Clãs, amigos e colegas de clã","Klanlar, arkadaşlar ve klan arkadaşları","クラン、フレンド、クランメンバー","部落、好友和部落成员","클랜, 친구 그리고 클랜 친구","Кланы, друзья и друзья-клановцы","القبائل والأصدقاء وأصدقاء القبائل","部落、好友和部落成員","قبایل، دوستان و دوستان قبیله‌ای","Klan, teman, dan rekan klan","Klan, rakan dan rakan klan","Hội, bạn bè và chiến hữu đồng hội","แคลน, เพื่อน และเพื่อนในแคลน",
"TID_NEWS_OCT_2017_UPDATE_TEXT","• Challenge your clanmates to friendly battles in the Builder Base\n• Work with your clan to unlock new Clan Perk levels and gain access to tiered Clan Badges\n• See the online status of your friends\n• Watch friends' attacks live in both the Home Village and Builder Base","• Défiez les membres de votre clan en combat amical dans la base des ouvriers\n• Coopérez avec votre clan pour obtenir des avantages de clan et des écussons de clan correspondant à votre niveau\n• Vérifiez si vos amis sont en ligne\n• Regardez en live les attaques de vos amis via votre village ou base des ouvriers","• Fordere Clankameraden zu Freundschaftsspielen in der Bauarbeiterbasis heraus\n• Schaltet zusammen neue Clanvorteil-Level frei und holt euch verschiedene Clanabzeichen\n• Lass dir den Onlinestatus deiner Freunde anzeigen\n• Sieh dir die Angriffe deiner Freunde live an – sowohl im Heimatdorf als auch in der Bauarbeiterbasis","• Desafía a tus aliados del clan a batallas amistosas en la base del constructor.\n• Colabora con tu clan para desbloquear nuevos niveles de galardones del clan y conseguir emblemas.\n• Comprueba si tus amigos están conectados.\n• No te pierdas los ataques en directo de tus amigos tanto en la aldea como en la base del constructor.","• Sfida i membri del tuo clan in battaglie amichevoli nella base del costruttore\n• Impegnati insieme al tuo clan per sbloccare nuovi livelli di vantaggi del clan e poter accedere a migliori badge del clan\n• Scopri se i tuoi amici sono online\n• Guarda dal vivo gli attacchi dei tuoi amici, sia nel villaggio base che nella base del costruttore","• Daag je clangenoten uit tot vriendschappelijke gevechten in de bouwersbasis.\n• Werk samen met je clan om nieuwe clanvoordeellevels te ontgrendelen en toegang te krijgen tot verschillende clanemblemen.\n• Zie wie van je vrienden online is.\n• Bekijk de aanvallen van vrienden live in zowel het thuisdorp als de bouwersbasis.","• Utfordre klanvenner til vennskapskamper i byggerens base\n• Samarbeid med klanen om å låse opp nye nivåer for klanfordeler og få tilgang til klasseinndelte klanmerker\n• Se om venner er pålogget eller ikke\n• Se venners angrep både i hjemlandsbyen og i byggerens base","• Desafie seus colegas de clãs em batalhas amistosas na base do construtor.\n• Trabalhe com seu clã para desbloquear os novos níveis de vantagens do clã e obter os emblemas de diferentes níveis.\n• Veja se seus amigos estão on-line.\n• Assista aos ataques de amigos ao vivo na vila principal e na base do construtor.","• İnşaatçı Üssünde klan arkadaşlarını dostluk savaşlarına davet et\n• Yeni Klan Avantası seviyelerinin kilidini açmak ve kademeli Klan rozetlerine ulaşmak için klanınla beraber çalış\n• Arkadaşlarının çevrimiçi durumunu gör\n• Hem Ana Köydeyken hem de İnşaatçı Üssündeyken arkadaşlarının saldırılarını canlı olarak izle","• 大工の拠点でも、クランメンバーにフレンドバトルで挑戦\n• クランと協力して新しいクラン特典レベルをアンロックし、レベルごとのクランの紋章を手に入れよう\n• フレンドのオンライン状態を確認\n• 自分の村でも大工の拠点でも、フレンドの攻撃をライブ観戦しよう","• 在建筑大师基地与您的部落成员展开友谊战\n• 和部落成员一起战斗解锁新的部落特权，获得更特别的部落徽章\n• 查看好友的在线状态\n• 实时观看好友在家乡和建筑大师基地的战斗","• 장인 기지에서 클랜원에게 친선 전투를 신청해 보세요.\n• 클랜원과 협력해 새 클랜 보너스 레벨을 해제하고 레벨별 클랜 배지를 얻으세요.\n• 친구들의 온라인 상태를 볼 수 있습니다.\n• 마을과 장인 기지 모두에서 친구들의 공격을 실시간으로 보세요.","• Вызовите соклановцев на дружеский бой в деревне строителя.\n• Вместе с кланом получайте новые уровни привилегий и символы клана разных уровней.\n• Узнайте, находятся ли сейчас в игре ваши друзья.\n• Наблюдайте за атаками друзей в родной деревне и деревне строителя в прямом эфире.","• تحد زميلك في القبيلة لخوض معارك ودية في قاعدة البنّاء\n• تعاون مع قبيلتك لفتح القفل عن مستويات جديدة من تنشيط القبيلة وتمتع بالوصول إلى شارات القبيلة\n• شاهد الحالة عبر الإنترنت لأصدقائك\n• شاهد حالات هجوم أصدقاءك بشكل حي في كل من قاعدة القرية والبنّاء الرئيسية","• 在建築大師基地與您的部落成員展開友誼戰\n• 和部落成員一起戰鬥解鎖新的部落特權，獲得更特別的部落徽章\n• 查看好友的在線狀態\n• 即時觀看好友在家鄉和建築大師基地的戰鬥","• هم‌قبیله‌ای خود را به نبردهای دوستانه در پایگاه سازنده دعوت کنید\n• با قبیله خود برای بازگشایی قفل سطوح جدید مزایای قبیله و دسترسی به نشان‌های طبقه‌بندی‌شده قبلیه‌ای همکاری کنید\n• وضعیت آنلاین بودن دوستان خود را مشاهده کنید\n• حملات دوستان خود را در دهکده اصلی و پایگاه سازنده به صورت زنده تماشا کنید","• Tantang rekan klan dalam pertempuran persahabatan di Basis Tukang\n• Kerja bersama klan untuk membuka level baru Fasilitas Klan dan raih akses ke Lencana Klan bertingkat\n• Lihat status online teman-temanmu\n• Tonton serangan teman secara langsung baik di Desa Asal maupun Basis Tukang","•Cabar rakan klan anda ke pertempuran persahabatan di Pangkalan Pembina\n•Bekerjasama dengan klan anda untuk membuka kunci tahap Faedah Klan baharu dan mendapat akses ke Lencana Klan berperingkat\n• Lihat status dalam talian rakan anda\n• Lihat serangan rakan anda secara langsung di Kampung Asal dan Pangkalan Pembina","• Thách đấu chiến hữu đồng hội tham gia trận chiến giao hữu trong Căn cứ Thợ xây\n• Phối hợp với hội để mở khóa các cấp Đặc quyền Hội mới và nhận các Huy hiệu Hội theo cấp bậc\n• Xem trạng thái trực tuyến của bạn bè\n• Xem trực tiếp các đợt tấn công của bạn bè trong cả Làng Chính lẫn Căn cứ Thợ xây","• ท้าเพื่อนร่วมแคลนเข้าสู่การต่อสู้ฉันมิตรในฐานช่างก่อสร้าง\n• ทำงานร่วมกับแคลนเพื่อปลดล็อคผลประโยชน์แคลนเลเวลใหม่และได้รับสิทธิเข้าถึงการจัดระดับตราสัญลักษณ์แคลน\n• ดูสถานะออนไลน์ของเพื่อน\n• ดูการโจมตีของเพื่อนแบบสดๆ ทั้งในหมู่บ้านตนเองและในฐานช่างก่อสร้าง",
"TID_NEWS_OCT_2017_UPDATE_TITLE_2","New building and troop levels","Nouveaux niveaux de bâtiments et de troupes","Neue Gebäude- und Truppenlevel","Nuevos niveles de edificios y tropas","Nuovi livelli per edifici e truppe","Nieuwe gebouwen- en troepenlevels","Nye bygnings- og troppenivåer","Novos níveis para construções e tropas","Yeni bina ve birlik seviyeleri","設備とユニットの新レベル","新的建筑和单位等级","신규 방어시설 및 유닛 레벨","Новые уровни зданий и войск","مستويات جديدة للمباني والقوات","新的建築和單位等級","سطوح جدید نیروها و ساختمان","Level baru bangunan dan peleton","Bangunan dan tahap askar baharu","Cấp công trình và binh lính mới","เลเวลใหม่ๆ ของกองกำลังและสิ่งก่อสร้าง",
"TID_NEWS_OCT_2017_UPDATE_TEXT_2","• New troop levels to Golem and Valkyrie\n• New building levels to Air Sweeper and Bomb Tower\n• 25 more maximum level wall pieces","• Nouveaux niveaux d'amélioration pour golem et valkyrie\n• Nouveaux niveaux d'amélioration pour le propulseur d'air et la tour à bombes\n• 25 pièces de rempart supplémentaires","• Neue Truppenlevel für Golem und Walküre\n• Neue Gebäudelevel für Luftfeger und Bombenturm\n• 25 weitere Mauerstücke auf max. Level","• Nuevos niveles para el gólem y la valquiria\n• Nuevos niveles para el controlador aéreo y la torre bombardera\n• 25 nuevos muros de nivel máximo","• Nuovi livelli per golem e valchirie\n• Nuovi livelli per Volanò e torre bombardiera\n• Altri 25 pezzi di mura di massimo livello","• Nieuwe levels voor de golem en valkyrie\n• Nieuwe levels voor de windmachine en de bomtoren\n• 25 extra maximumlevel muurdelen","• Golemen og valkyrjen har fått nye troppenivåer\n• Luftblåseren og bombetårnet har fått nye bygningsnivåer\n• 25 ekstra murdeler på maksimalt nivå","• Novos níveis para o Golem e a Valquíria.\n• Novos níveis para o dispersor aéreo e a torre de bombas.\n• Mais 25 pedaços de muro de nível máximo.","• Golem ve Valkür için yeni birlik seviyeleri\n• Hava Patlatıcı ve Bomba Kulesi için yeni bina seviyeleri\n• 25 tane daha maksimum seviyeli duvar parçası","• ゴーレムとバルキリーに新たなユニットレベルを追加\n• エアスイーパーとボムタワーに新たな建物レベルを追加\n• 最大レベルにできる壁が25個追加","• 戈仑石人和瓦基丽武神可升至新的等级\n• 空气炮和炸弹塔可升至新的等级\n• 可升至12级的城墙数量增加25块","• 발키리와 골렘의 신규 레벨이 추가되었습니다.\n• 바람 방출기와 폭탄 타워의 신규 레벨이 추가되었습니다.\n• 최대 레벨의 장벽이 25개 추가되었습니다.","• Новые уровни голема и валькирии.\n• Новые уровни чистильщика и башни-бомбежки.\n• Еще 25 участков стены максимального уровня.","• مستويات جديدة للقوات في الغولم وفالكيري\n• مستويات مباني جديدة للمراقب الجوي وبرج القنابل\n• 25 قطعة إضافية من الجدار بالحد الأقصى للمستوى","• 戈侖石人和瓦基麗武神可升至新的等級\n• 空氣炮和炸彈塔可升至新的等級\n• 可升至12級的城牆數量增加25塊","سطوح جدید نیرو برای غول سنگی و والکری\n• سطوح جدید ساختمان برای جاروی هوایی و برج بمب\n• 25 قطعه دیوار بیشتر با سطح حداکثری","• Level baru peleton untuk Golem dan Valkyrie\n• Level baru bangunan untuk Penyapu Udara dan Menara Bom\n• 25 lagi bagian tembok level maksimum","• Tahap askar baharu bagi Golem dan Valkyrie\n• Tahap bangunan baharu bagi Penyapu Udara dan Menara Bom\n• 25 benteng tahap maksimum","• Cấp binh lính mới cho Thạch nhân và Valkyrie\n• Cấp công trình mới cho Tháp Thổi khí và Tháp Bom\n• Thêm 25 mảnh tường thành cấp tối đa","• เลเวลใหม่ๆ ของกองกำลังอย่างโกเล็มและวัลคีรี\n• เลเวลใหม่ๆ ของสิ่งก่อสร้างอย่างเครื่องกวาดอากาศและหอคอยระเบิด\n• กำแพงเลเวลสูงสุดเพิ่มขึ้น 25 ชิ้น",
"TID_DIAMOND_BUNDLE_TH4_INFO","• <gems> Gems\n• <res0> Gold\n• Air Defense level 1\n\nNo building time, no storage limits!\n\nDon't miss this <cffec78><value>X value</c> ONE time offer!","• <gems> gemmes\n• <res0> pièces d'or\n• Défense anti-aérienne niveau 1\n\nAucune durée de construction, aucune limite de stockage !\n\nNe manquez pas cette <cffec78>offre UNIQUE de valeur X<value></c> !","• <gems> Juwelen\n• <res0> Gold\n• Luftabwehr Level 1\n\nSofortige Fertigstellung, kein Lagerlimit!\n\nVerpasse nicht dieses EINMALIGE Angebot mit <cffec78><value>-fachem Wert</c>!","• <gems> gemas\n• <res0> de oro\n• Cohetes de defensa de nivel 1\n\n¡Sin tiempo de construcción ni límite de almacenaje!\n\n¡No te pierdas esta oferta única <cffec78><value> veces más barata</c>!","• <gems> gemme\n• <res0> oro\n• Difesa aerea livello 1\n\nNessun tempo di costruzione, nessun limite per i depositi!\n\nNon perderti questa offerta UNICA dal <cffec78>valore moltiplicato per <value></c>!","• <gems> edelstenen\n• <res0> goud\n• Luchtafweer level 1\n\nGeen bouwtijd, geen opslaglimieten!\n\nMis deze <cffec78><value>x zo voordelige</c> en EENMALIGE aanbieding niet!","• <gems> Juveler\n• <res0> Gull\n• Luftforsvar på nivå 1\n\nIngen byggetid, ingen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X høyere verdi</c>!","• <gems> Gemas\n• <res0> Ouro\n• Defesa Aérea nível 1\n\nSem tempo de construção, sem limite de armazenamento!\n\nNão perca esta oferta única! <cffec78><value>X mais barato</c>.","• <gems> Taş\n• <res0> Altın\n• 1. seviye Hava Savunması\n\nİnşa süresi ve depo sınırı yok!\n\n<cffec78><value> kat değerli</c> bu TEK seferlik fırsatı kaçırma!","• <gems>エメラルド\n• <res0>ゴールド\n• レベル1対空砲\n\n建設時間なし、収容量制限なし！\n\nこの<cffec78><value>xバリュー</c>のスターターパックは、1度きりの限定提供となります！","• <gems>宝石\n• <res0>金币\n• 1级防空火箭\n\n礼包中的建筑无需花费建造时间，存放礼包中的资源不受最大储量限制！\n\n该<cffec78><value>倍超值礼包</c>只可购买\n一次，千万不要错过哦！","• 보석 <gems>개\n• <res0> 골드\n• 바람 방출기 1레벨\n\n즉시 건설할 수 있고 저장소 한도가 없습니다!\n\n이번 한 번뿐인 <cffec78><value>배 가치</c>의 구매 기회를 놓치지 마세요!","• Кристаллы — <gems>.\n• Золото — <res0>.\n• Воздушная оборона 1-го уровня.\n\nСтроится мгновенно и без ограничений!\n\nЭтот набор выгоднее в <cffec78><value> р.</c> и доступен лишь однажды!","• <gems> من الجواهر\n• <res0> من الذهب\n• دفاع جوي من المستوى 1\n\nبدون وقت للبناء وبلا حدود على التخزين!\n\nلا تفوّت هذا العرض الذي يعطي <cffec78><value> أضعاف القيمة</c> ويأتي مرة واحدة!","• <gems>寶石\n• <res0>金幣\n• 1級防空火箭\n\n超值包中的建築無需花費建造時間，存放超值包中的資源不受最大儲存量限制！\n\n該<cffec78><value>倍超值包</c>只可購買\n一次，千萬不要錯過喔！","• <gems> جواهر\n• <res0> طلا\n• دفاع هوایی سطح ١\n\nبدون نیاز به صرف زمان برای ساخت، و بدون محدودیت ذخیره‌سازی!\n\nاین پیشنهاد به ارزش <cffec78><value>X</c> فقط یک بار اتفاق می‌افتد؛ آن را از دست ندهید!","• <gems> Permata\n• <res0> Emas\n• Pertahanan Udara level 1\n\nTanpa waktu pembangunan, tanpa batas penyimpanan!\n\nJangan lewatkan penawaran SATU kali bernilai <cffec78><value>X</c> ini!","• <gems> Permata\n• <res0> Emas\n• Pertahanan Udara tahap 1\n\nTiada masa pembinaan, tiada had penyimpanan!\n\nJangan ketinggalan <cffec78><value>nilai X</c> ini ialah tawaran SATU kali!","• <gems> Ngọc\n• <res0> Vàng\n• Tháp Phòng không cấp 1\n\nKhông có thời gian xây dựng, không có giới hạn lưu trữ!\n\nĐừng bỏ lỡ ưu đãi MỘT lần <cffec78><value>X giá trị</c> này!","• อัญมณี <gems> เม็ด\n• ทองคำ <res0> เหรียญ\n• การป้องกันทางอากาศเลเวล 1\n\nไม่มีช่วงเวลาสร้าง ไม่มีขีดจำกัดคลัง!\n\nอย่าพลาดข้อเสนอ <cffec78>มูลค่า X<value></c> เพียงครั้งเดียวนี้!",
