"Name","TrophyLimitLow","TrophyLimitHigh","GoldReward","ElixirReward","BonusGold","BonusElixir","SeasonTrophyReset","MaxDiamondCost"
"string","int","int","int","int","int","int","int","int"
"Start",0,100,5000,5000,10000,10000,,80
"League1",100,200,10000,10000,15000,15000,,120
"League2",200,300,15000,15000,15000,15000,,160
"League3",300,400,20000,20000,15000,15000,,190
"League4",400,500,25000,25000,15000,15000,,220
"League5",500,600,30000,30000,15000,15000,,250
"League6",600,700,35000,35000,15000,15000,,270
"League7",700,800,40000,40000,15000,15000,,290
"League8",800,900,45000,45000,15000,15000,,310
"League9",900,1000,50000,50000,20000,20000,,330
"League10",1000,1200,60000,60000,20000,20000,,350
"League11",1200,1400,65000,65000,20000,20000,,370
"League12",1400,1600,70000,70000,20000,20000,,390
"League13",1600,1800,75000,75000,25000,25000,,410
"League14",1800,2000,80000,80000,30000,30000,,430
"League15",2000,2200,90000,90000,30000,30000,,460
"League16",2200,2400,95000,95000,30000,30000,,480
"League17",2400,2600,100000,100000,30000,30000,,500
"League18",2600,2800,105000,105000,35000,35000,,520
"League19",2800,3000,110000,110000,40000,40000,,540
"League20",3000,3200,120000,120000,40000,40000,,560
"League21",3200,3400,125000,125000,40000,40000,,580
"League22",3400,3600,130000,130000,40000,40000,,600
"League23",3600,3800,135000,135000,45000,45000,,620
"League24",3800,4000,140000,140000,50000,50000,,640
"League25",4000,1000000,150000,150000,50000,50000,4000,680
