"Name","FileName","LocalizedName","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","HelpshiftLanguageTagOverride","ForcedFontName"
"String","String","String","boolean","boolean","String","String","String","int","boolean","String","boolean","String","String","String","String"
"EN","localization/texts.csv","English",,,,"en",,1,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","EN",
"FR","localization/fr.csv","Français",,,,"fr",,2,,,,"https://inbox.clashofclans.com/fr","https://inbox-staging.clashofclans.com/fr","FR",
"DE","localization/de.csv","Deutsch",,,,"de",,3,,,,"https://inbox.clashofclans.com/de","https://inbox-staging.clashofclans.com/de","DE",
"ES","localization/es.csv","Español",,,,"es",,4,,,,"https://inbox.clashofclans.com/es","https://inbox-staging.clashofclans.com/es","ES",
"IT","localization/it.csv","Italiano",,,,"it",,5,,,,"https://inbox.clashofclans.com/it","https://inbox-staging.clashofclans.com/it","IT",
"NL","localization/nl.csv","Nederlands",,,,"nl",,6,,,,"https://inbox.clashofclans.com/nl","https://inbox-staging.clashofclans.com/nl","NL",
"NO","localization/no.csv","Norsk",,,,,,7,,,,"https://inbox.clashofclans.com/no","https://inbox-staging.clashofclans.com/no","NO",
"PT","localization/pt.csv","Português",,,,"pt","pt_Br",8,,,,"https://inbox.clashofclans.com/pt","https://inbox-staging.clashofclans.com/pt","PT",
"TR","localization/tr.csv","Türkçe",,,,"tr",,9,,,,"https://inbox.clashofclans.com/tr","https://inbox-staging.clashofclans.com/tr","TR",
"CN","localization/cn.csv","简体中文","TRUE",,"STHeitiSC-Medium","zh-Hans","zh_CN",11,,,,"https://inbox.clashofclans.com/cn","https://inbox-staging.clashofclans.com/cn","ZH-HANS",
"JP","localization/jp.csv","日本語","TRUE",,"HiraKakuProN-W6","ja",,13,,,,"https://inbox.clashofclans.com/jp","https://inbox-staging.clashofclans.com/jp","JP",
"KR","localization/kr.csv","한국어","TRUE",,,"ko",,14,,,,"https://inbox.clashofclans.com/ko","https://inbox-staging.clashofclans.com/ko","KR",
"RU","localization/ru.csv","Pусский",,,,"ru",,10,,,,"https://inbox.clashofclans.com/ru","https://inbox-staging.clashofclans.com/ru","RU",
"TEXT",,"Longest Text",,,,"zh-hans","zh_CN",1000,"TRUE","AR","true","http://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com","https://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com","EN",
,,,,,,,,,,"FA",,,,,
"WORD",,"Longest Word",,,,"cn","zh_TW",1001,"TRUE","AR",,,,"EN",
,,,,,,,,,,"FA",,,,,
"DOUBLE",,"Double String",,,,"zh-Hans","zh_CN",1002,"TRUE",,,,,"EN",
"EMPTY",,"Empty Texts",,,,"ko","ko",1003,"TRUE",,,,,"EN",
"CNT","localization/cnt.csv","繁體中文","TRUE",,"STHeitiSC-Medium","zh-Hant","zh_TW",12,,,,"https://inbox.clashofclans.com/zh","https://inbox-staging.clashofclans.com/zh","ZH-HANT",
"AR","localization/ar.csv","العربية",,"TRUE",,"ar",,15,,,,"https://inbox.clashofclans.com/ar","https://inbox-staging.clashofclans.com/ar","AR",
"FA","localization/fa.csv","فارسی",,"TRUE",,,,16,,,,,,,
"ID","localization/id.csv","Bahasa Indonesia",,,,"id",,17,,,,"https://inbox.clashofclans.com/id","https://inbox-staging.clashofclans.com/id",,
"MS","localization/ms.csv","Bahasa Melayu",,,,"ms",,18,,,,"https://inbox.clashofclans.com/ms","https://inbox-staging.clashofclans.com/ms",,
"TEST",,"Test Language",,,,,,999,"TRUE",,,,,,
"VI","localization/vi.csv","Tiếng Việt",,,,"vi",,19,,,,"https://inbox.clashofclans.com/vi","https://inbox-staging.clashofclans.com/vi",,
"DOUBLEDOUBLE",,"Double Double String",,,,"zh-Hans","zh_CN",1004,"TRUE",,,,,,
"QUADRUPLE",,"Quad String",,,,"zh-Hans","zh_CN",1005,"TRUE",,,,,,
"TH","localization/th.csv","ภาษาไทย",,,"HelveticaNeue-Bold","th",,20,,,,"https://inbox.clashofclans.com/th","https://inbox-staging.clashofclans.com/th",,
"FI","localization/fi.csv","Suomi",,,,"fi",,21,"TRUE",,,"https://inbox.clashofclans.com/fi","https://inbox-staging.clashofclans.com/fi",,
