"TID","KR"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","한국어"
"TID_BUILDING_HOUSE","인구"
"TID_BUILDING_HOUSING","집합소"
"TID_BUILDING_TOWN_HALL","마을회관"
"TID_BUILDING_ELIXIR_PUMP","엘릭서 정제소"
"TID_BUILDING_ELIXIR_STORAGE","엘릭서 저장소"
"TID_BUILDING_GOLD_MINE","금광"
"TID_BUILDING_GOLD_STORAGE","골드 저장소"
"TID_BUILDING_BARRACK","훈련소"
"TID_BUILDING_CANNON","대포"
"TID_BUILDING_TESLA_TOWER","숨겨진 뇌전탑"
"TID_BUILDING_WALL","장벽"
"TID_BUILDING_FENCE","울타리"
"TID_BUILDING_WIZARD_TOWER","마법사 타워"
"TID_BUILDING_AIR_DEFENSE","대공포"
"TID_BUILDING_MORTAR","박격포"
"TID_WORKER_BUILDING","장인의 집"
"TID_BUILDING_LABORATORY","연구소"
"TID_TRAP_BOMB","폭탄 함정"
"TID_TRAP_EJECT","점핑 트랩"
"TID_TRAP_TIMETRAP","시간 함정"
"TID_BUTTON_SPEEDUP","즉시 완료"
"TID_BUTTON_UPGRADE","업그레이드"
"TID_BUTTON_ATTACK","공격!"
"TID_BUTTON_SHOP","상점"
"TID_BUTTON_SELL","판매"
"TID_BUTTON_CANCEL","취소"
"TID_BUTTON_TRAIN","유닛 훈련"
"TID_BUTTON_COLLECT","저장"
"TID_BUTTON_INFO","정보"
"TID_BUTTON_CLEAR","제거"
"TID_BUTTON_HOME","돌아가기"
"TID_BUTTON_ACCEPT","수락"
"TID_BUTTON_REJECT","거절"
"TID_BUTTON_SEND","전송"
"TID_BUTTON_JOIN","가입"
"TID_TAB_GLOBAL_CHAT","전체"
"TID_TAB_ALLIANCE_CHAT","클랜"
"TID_OBSTACLE_TREE","나무"
"TID_OBSTACLE_STONE","바위"
"TID_OBSTACLE_BUSH","덤불"
"TID_OBSTACLE_TRUNK","나무 기둥"
"TID_OBSTACLE_MUSHROOM","꽃버섯"
"TID_DECORATION_BARBARIAN_STATUE","전사 동상"
"TID_DECORATION_TORCH","횃불"
"TID_DECORATION_WHITE_FLAG","하얀 깃발"
"TID_DECORATION_SKULL_FLAG","해적 깃발"
"TID_DECORATION_FLOWERBOX1","국화 화단"
"TID_DECORATION_FLOWERBOX2","해바라기 화단"
"TID_DECORATION_WINDMETER","풍향계"
"TID_DECORATION_DOWNARROW_FLAG","하향 깃발"
"TID_DECORATION_UPARROW_FLAG","상향 깃발"
"TID_DECORATION_SKULL_ALTAR","고대 유물"
"TID_DECORATION_NATIONAL_FLAG","국기"
"TID_TIME_DAYS","일"
"TID_TIME_HOURS","시간"
"TID_TIME_MINS","분"
"TID_TIME_SECS","초"
"TID_BATTLE_TIME_TITLE","남은 시간:"
"TID_POPUP_HEADER_WARNING","경고!"
"TID_POPUP_UNDER_ATTACK","공격받고 있습니다! 잠시 후 마을을 확인할 수 있습니다."
"TID_POPUP_TRY_AGAIN","예상 대기 시간:"
"TID_BUTTON_OKAY","확인"
"TID_POPUP_TRAIN_TITLE","유닛 훈련 <limit>"
"TID_INVALID_PLACEMENT","빨간색 지역에는 병력을 배치할 수 없습니다!"
"TID_ALL_TROOPS_USED","유닛을 모두 투입했습니다."
"TID_OTHER_TROOP_LEFT","다른 유닛을 선택하세요."
"TID_DIAMONDS","보석"
"TID_GOLD","골드"
"TID_ELIXIR","엘릭서"
"TID_ITEM_LEVEL","<item> (<number>레벨)"
"TID_SHOP_TITLE","상점"
"TID_ITEM_BROKEN","<item> (잔해)"
"TID_BUILDING_ARCHER_TOWER","아처 타워"
"TID_BUILDING_CLASS_ARMY","군사 시설"
"TID_BUILDING_CLASS_DEFENSE","방어 시설"
"TID_BUILDING_CLASS_RESOURCE","자원 시설"
"TID_BUILDING_CLASS_WALL","장벽"
"TID_NOT_ENOUGH_WORKERS_HEADER","장인이 모자랍니다!"
"TID_NOT_ENOUGH_WORKERS_TEXT","진행 중인 건설을 즉시 완료하고 장인을 불러올까요?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","이전 건설을 완료하고 마스터 장인을 불러올까요?"
"TID_NOT_ENOUGH_RESOURCE","<resource> 부족!"
"TID_NOT_ENOUGH_RESOURCE_TWO","<resource1> 및 <resource2>의 수량이 부족합니다!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","마을회관을 <number>레벨로 업그레이드해야 합니다!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","장인회관을 <number>레벨로 업그레이드해야 합니다!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","건물 판매"
"TID_POPUP_TEXT_ABOUT_TO_SELL","<item>:\n<resource> <number>개에 판매할까요?"
"TID_POPUP_UPGRADE_TITLE","<number>레벨로 업그레이드"
"TID_POPUP_UPGRADE_BUILD_MORE","필요한 건물:"
"TID_RESOURCE_CAP_FULL_GOLD","골드 저장소를 더 건설하거나 업그레이드하세요!"
"TID_RESOURCE_CAP_FULL_ELIXIR","엘릭서 저장소를 더 건설하거나 업그레이드하세요!"
"TID_RESOURCE_CAP_FULL_GENERIC","저장소를 더 건설하거나 업그레이드하세요!"
"TID_POPUP_FRIEND_LIST_TITLE","친구"
"TID_POPUP_SOCIAL_LIST_TITLE","소셜"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Facebook에 연결"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Facebook에 로그인"
"TID_LOADING_FACEBOOK_FRIENDS","친구 목록을 불러오는 중..."
"TID_OBSTACLE_TOMBSTONE","묘비"
"TID_NO_FACEBOOK_FRIENDS","클래시 오브 클랜을 즐기는 Facebook 친구를 찾을 수 없습니다."
"TID_ATTACK_FAIL_NO_MATCHES","공격할 마을을 찾을 수 없습니다!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","공격할 수 없습니다! 이미 공격받고 있는 마을입니다."
"TID_ATTACK_FAIL_TARGET_ONLINE","공격할 수 없습니다! 마을 주인이 접속 중입니다."
"TID_ATTACK_FAIL_SAME_ALLIANCE","클랜원은 공격할 수 없습니다!"
"TID_ATTACK_FAIL_SHIELD","공격할 수 없습니다! 보호막이 적용된 마을입니다."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","레벨이 <level> 이상 차이 나는 마을은 공격할 수 없습니다!"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","마을회관이 <number>레벨 미만인 마을은 공격할 수 없습니다."
"TID_DEFAULT_VILLAGE_NAME","<name> 님의 마을"
"TID_BATTLE_LOG_TITLE","적이 마을을 공격했습니다!"
"TID_BATTLE_LOG_ITEM","<name> 님이 <time> 전에 마을을 공격했습니다."
"TID_NO_TROOPS","먼저 유닛을 훈련해야 합니다."
"TID_NO_SPELLS","먼저 마법을 만들어야 합니다!"
"TID_ERROR_POP_UP_BANNED_TITLE","계정 정지!"
"TID_ERROR_POP_UP_BANNED","일시적으로 로그인할 수 없습니다."
"TID_ERROR_POP_UP_BANNED_BUTTON","확인"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","접속 오류"
"TID_ERROR_POP_UP_CONNECTION_FAILED","서버에 연결할 수 없습니다. 인터넷 연결 상태를 확인하고 다시 시도해주세요."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","다시 시도"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","연결 실패"
"TID_ERROR_POP_UP_CONNECTION_LOST","서버와의 연결이 끊어졌습니다. 인터넷 연결 상태를 확인하고 다시 시도해주세요."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","다시 시도"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","거기 계세요?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","활동이 없어 연결이 끊어졌습니다."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","새로 고침"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","로그인 실패"
"TID_ERROR_POP_UP_LOGIN_FAILED","잠시 후 다시 시도해주세요."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","다시 시도"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","업데이트가 있습니다!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","새로운 버전이 출시되었습니다. 게임을 업데이트해야 합니다."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","업데이트"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","오류!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","클라이언트와 서버가 동기화되지 않았습니다!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","새로 고침"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","서버 점검"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","다시 시도"
"TID_BUILDING_ALLIANCE_CASTLE","클랜 성"
"TID_BUILDING_ALLIANCE_MARKER","클랜 깃발"
"TID_COMM_MAST","방송탑"
"TID_TRAP_MINE","폭탄"
"TID_TRAP_EJECTOR","점핑 트랩"
"TID_SHOP_GUARD_2H","2시간 가드"
"TID_SHOP_SHIELD_1D","1일 보호막"
"TID_SHOP_SHIELD_2D","2일 보호막"
"TID_SHOP_SHIELD_7D","1주일 보호막"
"TID_ALLIANCE_MAIN_BUTTON","클랜"
