"TID","EN"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English"
"TID_BUILDING_HOUSE","House"
"TID_BUILDING_HOUSING","Army Camp"
"TID_BUILDING_TOWN_HALL","Town Hall"
"TID_BUILDING_ELIXIR_PUMP","Elixir Collector"
"TID_BUILDING_ELIXIR_STORAGE","Elixir Storage"
"TID_BUILDING_GOLD_MINE","Gold Mine"
"TID_BUILDING_GOLD_STORAGE","Gold Storage"
"TID_BUILDING_BARRACK","Barracks"
"TID_BUILDING_CANNON","Cannon"
"TID_BUILDING_TESLA_TOWER","Hidden Tesla"
"TID_BUILDING_WALL","Wall"
"TID_BUILDING_FENCE","Fence"
"TID_BUILDING_WIZARD_TOWER","Wizard Tower"
"TID_BUILDING_AIR_DEFENSE","Air Defense"
"TID_BUILDING_MORTAR","Mortar"
"TID_WORKER_BUILDING","Builder's Hut"
"TID_BUILDING_LABORATORY","Laboratory"
"TID_TRAP_BOMB","Bomb Trap"
"TID_TRAP_EJECT","Spring Trap"
"TID_TRAP_TIMETRAP","Time Trap"
"TID_BUTTON_SPEEDUP","Finish Now"
"TID_BUTTON_UPGRADE","Upgrade"
"TID_BUTTON_ATTACK","Attack!"
"TID_BUTTON_SHOP","Shop"
"TID_BUTTON_SELL","Sell"
"TID_BUTTON_CANCEL","Cancel"
"TID_BUTTON_TRAIN","Train Troops"
"TID_BUTTON_COLLECT","Collect"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Remove"
"TID_BUTTON_HOME","Return Home"
"TID_BUTTON_ACCEPT","Accept"
"TID_BUTTON_REJECT","Reject"
"TID_BUTTON_SEND","Send"
"TID_BUTTON_JOIN","Join"
"TID_TAB_GLOBAL_CHAT","Global"
"TID_TAB_ALLIANCE_CHAT","Clan"
"TID_OBSTACLE_TREE","Tree"
"TID_OBSTACLE_STONE","Stone"
"TID_OBSTACLE_BUSH","Bush"
"TID_OBSTACLE_TRUNK","Trunk"
"TID_OBSTACLE_MUSHROOM","Mushroom"
"TID_DECORATION_BARBARIAN_STATUE","Mighty Statue"
"TID_DECORATION_TORCH","Torch"
"TID_DECORATION_WHITE_FLAG","White Flag"
"TID_DECORATION_SKULL_FLAG","Pirate Flag"
"TID_DECORATION_FLOWERBOX1","Cornflower Bed"
"TID_DECORATION_FLOWERBOX2","Sunflower Bed"
"TID_DECORATION_WINDMETER","Weather Vane"
"TID_DECORATION_DOWNARROW_FLAG","Rally Flag"
"TID_DECORATION_UPARROW_FLAG","Point Flag"
"TID_DECORATION_SKULL_ALTAR","Ancient Skull"
"TID_DECORATION_NATIONAL_FLAG","National Flag"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Battle ends in:"
"TID_POPUP_HEADER_WARNING","Warning!"
"TID_POPUP_UNDER_ATTACK","You are under attack! Please wait, your village will load automatically."
"TID_POPUP_TRY_AGAIN","Estimated time left:"
"TID_BUTTON_OKAY","Okay"
"TID_POPUP_TRAIN_TITLE","Train troops <limit>"
"TID_INVALID_PLACEMENT","You cannot deploy troops on the red area!"
"TID_ALL_TROOPS_USED","All forces deployed"
"TID_OTHER_TROOP_LEFT","Select a different unit"
"TID_DIAMONDS","Gems"
"TID_GOLD","Gold"
"TID_ELIXIR","Elixir"
"TID_ITEM_LEVEL","<item> (Level <number>)"
"TID_SHOP_TITLE","Shop"
"TID_ITEM_BROKEN","<item> (Broken)"
"TID_BUILDING_ARCHER_TOWER","Archer Tower"
"TID_BUILDING_CLASS_ARMY","Army Buildings"
"TID_BUILDING_CLASS_DEFENSE","Defenses"
"TID_BUILDING_CLASS_RESOURCE","Resources"
"TID_BUILDING_CLASS_WALL","Walls"
"TID_NOT_ENOUGH_WORKERS_HEADER","All builders are busy!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Complete the previous building and free up a builder?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Complete the previous building and free up the Master Builder?"
"TID_NOT_ENOUGH_RESOURCE","You don't have enough <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","You don't have enough <resource1> and <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","You need to upgrade your Town Hall to level <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","You need to upgrade your Builder Hall to level <number>!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Sell building"
"TID_POPUP_TEXT_ABOUT_TO_SELL","Do you really want to sell <item> for <number> <resource>?"
"TID_POPUP_UPGRADE_TITLE","Upgrade to level <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Build more:"
"TID_RESOURCE_CAP_FULL_GOLD","Build more or upgrade existing Gold Storages!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Build more or upgrade existing Elixir Storages!"
"TID_RESOURCE_CAP_FULL_GENERIC","Build more or upgrade existing storages!"
"TID_POPUP_FRIEND_LIST_TITLE","Friends"
"TID_POPUP_SOCIAL_LIST_TITLE","Social"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Connect to Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Login to Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Loading friend list..."
"TID_OBSTACLE_TOMBSTONE","Tombstone"
"TID_NO_FACEBOOK_FRIENDS","Unable to find Facebook friends who play Clash of Clans"
"TID_ATTACK_FAIL_NO_MATCHES","Unable to find villages to attack!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Can't attack! Village is already under attack."
"TID_ATTACK_FAIL_TARGET_ONLINE","Can't attack! Village owner is online."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Can't attack your own clan members!"
"TID_ATTACK_FAIL_SHIELD","Can't attack! Village has active Shield"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Can't attack! Level difference is more than <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Can't attack this village because its Town Hall is below level <number>."
"TID_DEFAULT_VILLAGE_NAME","<name>'s Village"
"TID_BATTLE_LOG_TITLE","You've been attacked!"
