"Name","TaskType","ProgressType","Category","Set","TID","InfoTID","IconSWF","IconExportName","MinScore","MaxScore","MinDurationMinutes","MaxDurationMinutes","MinQuantity","MaxQuantity","MinQuantity2","MaxQuantity2","Data1","Data2","SelectionWeight","MinLeague","MaxLeague","Disabled"
"String","String","String","String","String","String","String","String","String","int","int","int","int","int","int","int","int","String","String","int","int","int","boolean"
"DestroyEagleArtillery","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",150,150,480,480,3,3,,,"Ancient Artillery",,45,0,10,
"DestroyElixirPumps","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRPUMPS","sc/buildings.sc","elixir_pump_lvl6",75,75,480,480,15,15,,,"Elixir Pump",,45,0,10,
"DestroyGoldMines","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDMINES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDMINES","sc/buildings.sc","goldmine_lvl6",75,75,480,480,15,15,,,"Gold Mine",,45,0,10,
"DestroyElixirStorages","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRSTORAGES","sc/buildings.sc","elixir_storage_level6",100,100,480,480,10,10,,,"Elixir Storage",,45,0,10,
"DestroyGoldStorages","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDSTORAGES","sc/buildings.sc","gold_storage_lvl6",100,100,480,480,10,10,,,"Gold Storage",,45,0,10,
"DestroyMortars","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_MORTARS","TID_CLANGAMES_TASK_INFO_DESTROY_MORTARS","sc/buildings.sc","mortar_lvl4",100,100,480,480,8,8,,,"Mortar",,45,0,10,
"DestroyWizardTowers","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_WIZARDTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_WIZARDTOWERS","sc/buildings.sc","wizard_tower_lvl4",100,100,480,480,8,8,,,"Wizard Tower",,45,0,10,
"DestroyCannons","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_CANNONS","TID_CLANGAMES_TASK_INFO_DESTROY_CANNONS","sc/buildings.sc","basic_turret_lvl7",75,75,480,480,15,15,,,"Cannon",,45,0,10,
"DestroyArcherTowers","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_ARCHERTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_ARCHERTOWERS","sc/buildings.sc","tower_turret_lvl3",75,75,480,480,15,15,,,"Archer Tower",,45,0,10,
